Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
1.0,Fri,2021-08-13,21:00,Valencia,1.5,1–0,1.4,Getafe,9868.0,Estadio de Mestalla,Jesús Gil,Match Report,,22,SP1
1.0,Sat,2021-08-14,19:30,Mallorca,0.5,1–1,0.6,Betis,6279.0,Iberostar Estadi,Antonio Matéu Lahoz,Match Report,,22,SP1
1.0,Sat,2021-08-14,19:30,Cádiz,0.6,1–1,0.9,Levante,6941.0,Estadio Nuevo Mirandilla,Santiago Jaime,Match Report,,22,SP1
1.0,Sat,2021-08-14,22:00,Alavés,1.7,1–4,1.7,Real Madrid,3968.0,Estadio de Mendizorroza,César Soto,Match Report,,22,SP1
1.0,Sat,2021-08-14,22:00,Osasuna,0.9,0–0,0.5,Espanyol,6715.0,Estadio El Sadar,Miguel Ángel Ortiz Arias,Match Report,,22,SP1
1.0,Sun,2021-08-15,17:30,Celta Vigo,2.3,1–2,1.5,Atlético Madrid,5401.0,Estadio de Balaídos,José Luis Munuera,Match Report,,22,SP1
1.0,Sun,2021-08-15,20:00,Barcelona,2.8,4–2,0.8,Real Sociedad,20384.0,Camp Nou,Alejandro Hernández,Match Report,,22,SP1
1.0,Sun,2021-08-15,22:15,Sevilla,3.7,3–0,0.4,Rayo Vallecano,13962.0,Estadio Ramón Sánchez Pizjuán,Isidro Díaz de Mera,Match Report,,22,SP1
1.0,Mon,2021-08-16,20:00,Villarreal,1.1,0–0,0.3,Granada,7837.0,Estadio de la Cerámica,Pablo González,Match Report,,22,SP1
1.0,Mon,2021-08-16,22:00,Elche,1.1,0–0,0.6,Athletic Club,9145.0,Estadio Manuel Martínez Valero,Adrián Cordero,Match Report,,22,SP1
,,,,,,,,,,,,,,22,SP1
2.0,Fri,2021-08-20,21:00,Betis,1.1,1–1,1.6,Cádiz,23745.0,Estadio Benito Villamarín,Valentín Pizarro,Match Report,,22,SP1
