Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
1.0,Fri,2017-08-18,20:15,Leganés,1.3,1–0,1.1,Alavés,9231.0,Estadio Municipal de Butarque,José Munuera,Match Report,,18,SP1
1.0,Fri,2017-08-18,22:15,Valencia,1.4,1–0,0.2,Las Palmas,35971.0,Estadio de Mestalla,Jesús Gil,Match Report,,18,SP1
1.0,Sat,2017-08-19,18:15,Celta Vigo,1.8,2–3,2.1,Real Sociedad,16961.0,Estadio de Balaídos,Antonio Matéu Lahoz,Match Report,,18,SP1
1.0,Sat,2017-08-19,20:15,Girona,2.2,2–2,0.7,Atlético Madrid,11511.0,Estadi Municipal de Montilivi,Juan Martínez,Match Report,,18,SP1
1.0,Sat,2017-08-19,22:15,Sevilla,2.4,1–1,1.3,Espanyol,30487.0,Estadio Ramón Sánchez Pizjuán,Alejandro Hernández,Match Report,,18,SP1
1.0,Sun,2017-08-20,18:15,Athletic Club,1.2,0–0,0.5,Getafe,37884.0,San Mamés,Mario Melero,Match Report,,18,SP1
1.0,Sun,2017-08-20,20:15,Barcelona,1.1,2–0,0.1,Betis,56480.0,Camp Nou,Daniel Trujillo,Match Report,,18,SP1
1.0,Sun,2017-08-20,22:15,La Coruña,1.7,0–3,2.1,Real Madrid,27770.0,Estadio Municipal de Riazor,José González,Match Report,,18,SP1
1.0,Mon,2017-08-21,20:15,Levante,1.4,1–0,0.5,Villarreal,19500.0,Estadio Ciudad de Valencia,Alfonso Álvarez,Match Report,,18,SP1
1.0,Mon,2017-08-21,22:00,Málaga,0.9,0–1,1.4,Eibar,24753.0,Estadio La Rosaleda,David Medié,Match Report,,18,SP1
,,,,,,,,,,,,,,18,SP1
2.0,Fri,2017-08-25,20:15,Real Sociedad,2.0,3–0,0.2,Villarreal,19931.0,Estadio Municipal de Anoeta,Daniel Ask,Match Report,,18,SP1
2.0,Fri,2017-08-25,22:00,Betis,1.6,2–1,0.3,Celta Vigo,45761.0,Estadio Benito Villamarín,Ricardo de Burgos,Match Report,,18,SP1
2.0,Sat,2017-08-26,18:15,Alavés,0.9,0–2,2.5,Barcelona,19356.0,Estadio de Mendizorroza,Carlos del Cerro,Match Report,,18,SP1
2.0,Sat,2017-08-26,20:15,Girona,1.4,1–0,0.4,Málaga,9966.0,Estadi Municipal de Montilivi,Santiago Jaime,Match Report,,18,SP1
2.0,Sat,2017-08-26,20:15,Levante,2.4,2–2,0.8,La Coruña,17370.0,Estadio Ciudad de Valencia,Alberola Rojas,Match Report,,18,SP1
2.0,Sat,2017-08-26,21:15,Las Palmas,1.4,1–5,0.4,Atlético Madrid,20384.0,Estadio de Gran Canaria,Ignacio Iglesias,Match Report,,18,SP1
2.0,Sun,2017-08-27,18:15,Espanyol,1.2,0–1,1.2,Leganés,18383.0,RCDE Stadium,Pablo González,Match Report,,18,SP1
2.0,Sun,2017-08-27,18:15,Eibar,1.2,0–1,1.1,Athletic Club,5932.0,Estadio Municipal de Ipurúa,José Sánchez,Match Report,,18,SP1
2.0,Sun,2017-08-27,20:15,Getafe,1.8,0–1,1.2,Sevilla,10039.0,Coliseum Alfonso Pérez,Alberto Undiano,Match Report,,18,SP1
2.0,Sun,2017-08-27,22:15,Real Madrid,3.2,2–2,0.9,Valencia,65107.0,Estadio Santiago Bernabéu,David Fernández,Match Report,,18,SP1
,,,,,,,,,,,,,,18,SP1
3.0,Fri,2017-09-08,21:00,Leganés,1.6,1–2,0.4,Getafe,11454.0,Estadio Municipal de Butarque,Alfonso Álvarez,Match Report,,18,SP1
3.0,Sat,2017-09-09,13:00,Real Madrid,3.1,1–1,0.7,Levante,67789.0,Estadio Santiago Bernabéu,Alejandro Hernández,Match Report,,18,SP1
3.0,Sat,2017-09-09,16:15,Valencia,0.5,0–0,0.6,Atlético Madrid,43859.0,Estadio de Mestalla,José González,Match Report,,18,SP1
3.0,Sat,2017-09-09,18:30,Sevilla,3.0,3–0,0.8,Eibar,32469.0,Estadio Ramón Sánchez Pizjuán,Antonio Matéu Lahoz,Match Report,,18,SP1
3.0,Sat,2017-09-09,20:45,Barcelona,5.1,5–0,0.7,Espanyol,72857.0,Camp Nou,Jesús Gil,Match Report,,18,SP1
3.0,Sun,2017-09-10,12:00,La Coruña,1.0,2–4,2.0,Real Sociedad,21942.0,Estadio Municipal de Riazor,José Munuera,Match Report,,18,SP1
3.0,Sun,2017-09-10,16:15,Athletic Club,1.6,2–0,0.4,Girona,39952.0,San Mamés,Daniel Trujillo,Match Report,,18,SP1
3.0,Sun,2017-09-10,18:30,Celta Vigo,2.7,1–0,0.5,Alavés,17384.0,Estadio de Balaídos,Mario Melero,Match Report,,18,SP1
3.0,Sun,2017-09-10,20:45,Villarreal,1.5,3–1,0.9,Betis,18638.0,Estadio de la Cerámica,David Medié,Match Report,,18,SP1
