Round,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
,,,,,,,,,,,,,,,20,D1
Regular season,5.0,Fri,2019-09-20,20:30,Schalke 04,1.0,2–1,0.8,Mainz 05,58687.0,Veltins-Arena,Daniel Schlager,Match Report,,20,D1
Regular season,5.0,Sat,2019-09-21,15:30,Freiburg,1.3,1–1,1.0,Augsburg,23800.0,Schwarzwald-Stadion,Bastian Dankert,Match Report,,20,D1
Regular season,5.0,Sat,2019-09-21,15:30,Bayern Munich,2.7,4–0,1.2,Köln,75000.0,Allianz Arena,Patrick Ittrich,Match Report,,20,D1
Regular season,5.0,Sat,2019-09-21,15:30,Leverkusen,1.4,2–0,0.2,Union Berlin,27430.0,BayArena,Robert Hartmann,Match Report,,20,D1
Regular season,5.0,Sat,2019-09-21,15:30,Hertha BSC,1.2,2–1,1.9,Paderborn 07,43588.0,Olympiastadion Berlin,Frank Willenborg,Match Report,,20,D1
Regular season,5.0,Sat,2019-09-21,18:30,Werder Bremen,0.7,0–3,1.5,RB Leipzig,40550.0,Weserstadion,Tobias Stieler,Match Report,,20,D1
Regular season,5.0,Sun,2019-09-22,15:30,M'Gladbach,3.5,2–1,1.2,Düsseldorf,52413.0,Stadion im Borussia-Park,Christian Dingert,Match Report,,20,D1
Regular season,5.0,Sun,2019-09-22,18:00,Eint Frankfurt,1.3,2–2,1.9,Dortmund,51500.0,Deutsche Bank Park,Markus Schmidt,Match Report,,20,D1
Regular season,5.0,Mon,2019-09-23,20:30,Wolfsburg,0.9,1–1,0.7,Hoffenheim,21120.0,Volkswagen Arena,Benjamin Cortus,Match Report,,20,D1
,,,,,,,,,,,,,,,20,D1
Regular season,6.0,Fri,2019-09-27,20:30,Union Berlin,0.9,1–2,2.0,Eint Frankfurt,22012.0,Stadion An der Alten Försterei,Sascha Stegemann,Match Report,,20,D1
Regular season,6.0,Sat,2019-09-28,15:30,Augsburg,0.3,0–3,0.9,Leverkusen,27113.0,WWK Arena,Robert Kampka,Match Report,,20,D1
Regular season,6.0,Sat,2019-09-28,15:30,Mainz 05,1.3,0–1,0.8,Wolfsburg,24303.0,Opel Arena,Felix Brych,Match Report,,20,D1
Regular season,6.0,Sat,2019-09-28,15:30,Hoffenheim,1.3,0–3,2.8,M'Gladbach,29030.0,PreZero Arena,Harm Osmers,Match Report,,20,D1
Regular season,6.0,Sat,2019-09-28,15:30,Paderborn 07,0.3,2–3,3.1,Bayern Munich,15000.0,Benteler-Arena,Felix Zwayer,Match Report,,20,D1
Regular season,6.0,Sat,2019-09-28,15:30,RB Leipzig,1.3,1–3,3.2,Schalke 04,42146.0,Red Bull Arena,Manuel Gräfe,Match Report,,20,D1
Regular season,6.0,Sat,2019-09-28,18:30,Dortmund,1.5,2–2,0.8,Werder Bremen,81365.0,Signal Iduna Park,Deniz Aytekin,Match Report,,20,D1
Regular season,6.0,Sun,2019-09-29,15:30,Düsseldorf,1.5,1–2,1.7,Freiburg,39244.0,Merkur Spielarena,Daniel Siebert,Match Report,,20,D1
Regular season,6.0,Sun,2019-09-29,18:00,Köln,0.8,0–4,1.8,Hertha BSC,49700.0,RheinEnergieSTADION,Sören Storks,Match Report,,20,D1
,,,,,,,,,,,,,,,20,D1
Regular season,7.0,Fri,2019-10-04,20:30,Hertha BSC,2.0,3–1,1.3,Düsseldorf,37128.0,Olympiastadion Berlin,Martin Petersen,Match Report,,20,D1
Regular season,7.0,Sat,2019-10-05,15:30,Paderborn 07,1.6,1–2,2.9,Mainz 05,14217.0,Benteler-Arena,Patrick Ittrich,Match Report,,20,D1
