Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
Regular season,1.0,Fri,2017-07-28,20:30,Antwerp,0–0,Anderlecht,11394.0,Bosuilstadion,Jonathan Lardot,Match Report,,18,B1
Regular season,1.0,Sat,2017-07-29,18:00,Lokeren,0–4,Club Brugge,6421.0,Daknamstadion,Sébastien Delferière,Match Report,,18,B1
Regular season,1.0,Sat,2017-07-29,20:00,Eupen,0–5,Zulte Waregem,2543.0,Stadion am Kehrweg,Nicolas Laforge,Match Report,,18,B1
Regular season,1.0,Sat,2017-07-29,20:00,Genk,3–3,Waasland-Bev,13545.0,Luminus Arena,Bram Van Driessche,Match Report,,18,B1
Regular season,1.0,Sat,2017-07-29,20:30,Charleroi,1–0,Kortrijk,8567.0,Stade du Pays de Charleroi,Nathan Verboomen,Match Report,,18,B1
Regular season,1.0,Sun,2017-07-30,14:30,Mechelen,1–1,Standard Liège,13700.0,AFAS-stadion Achter de Kazerne,Lawrence Visser,Match Report,,18,B1
Regular season,1.0,Sun,2017-07-30,18:00,Sint-Truiden,3–2,Gent,5574.0,Stayen,Wim Smet,Match Report,,18,B1
Regular season,1.0,Sun,2017-07-30,20:00,Oostende,0–1,Excel Mouscron,5343.0,Versluys Arena,Alexandre Boucaut,Match Report,,18,B1
,,,,,,,,,,,,,18,B1
Regular season,2.0,Fri,2017-08-04,20:30,Standard Liège,2–1,Genk,20394.0,Stade Maurice Dufrasne,Sébastien Delferière,Match Report,,18,B1
Regular season,2.0,Sat,2017-08-05,18:00,Excel Mouscron,2–5,Charleroi,3067.0,Stade Le Canonnier,Wim Smet,Match Report,,18,B1
Regular season,2.0,Sat,2017-08-05,20:00,Waasland-Bev,2–2,Mechelen,3862.0,Freethiel-Stadion,Wesley Alen,Match Report,,18,B1
Regular season,2.0,Sat,2017-08-05,20:00,Kortrijk,1–0,Lokeren,4241.0,Guldensporenstadion,Jan Boterberg,Match Report,,18,B1
Regular season,2.0,Sat,2017-08-05,20:30,Zulte Waregem,2–0,Sint-Truiden,8567.0,Regenboogstadion,Bram Van Driessche,Match Report,,18,B1
Regular season,2.0,Sun,2017-08-06,14:30,Gent,0–1,Antwerp,18714.0,GHELAMCO-arena,Lawrence Visser,Match Report,,18,B1
Regular season,2.0,Sun,2017-08-06,18:00,Anderlecht,1–0,Oostende,18880.0,Stade Constant Vanden Stock,Bart Vertenten,Match Report,,18,B1
Regular season,2.0,Sun,2017-08-06,20:00,Club Brugge,3–1,Eupen,26723.0,Jan Breydelstadion,Alexandre Boucaut,Match Report,,18,B1
,,,,,,,,,,,,,18,B1
Regular season,3.0,Fri,2017-08-11,20:30,Zulte Waregem,1–2,Club Brugge,11201.0,Regenboogstadion,Lawrence Visser,Match Report,,18,B1
Regular season,3.0,Sat,2017-08-12,18:00,Mechelen,1–1,Gent,9717.0,AFAS-stadion Achter de Kazerne,Jonathan Lardot,Match Report,,18,B1
Regular season,3.0,Sat,2017-08-12,20:00,Lokeren,0–2,Excel Mouscron,3747.0,Daknamstadion,Nathan Verboomen,Match Report,,18,B1
Regular season,3.0,Sat,2017-08-12,20:00,Eupen,1–2,Kortrijk,2112.0,Stadion am Kehrweg,Wesley Alen,Match Report,,18,B1
Regular season,3.0,Sat,2017-08-12,20:30,Oostende,0–3,Waasland-Bev,5980.0,Versluys Arena,Sébastien Delferière,Match Report,,18,B1
Regular season,3.0,Sun,2017-08-13,14:30,Antwerp,3–5,Genk,11197.0,Bosuilstadion,Bart Vertenten,Match Report,,18,B1
Regular season,3.0,Sun,2017-08-13,18:00,Charleroi,2–0,Anderlecht,14330.0,Stade du Pays de Charleroi,Bram Van Driessche,Match Report,,18,B1
Regular season,3.0,Sun,2017-08-13,20:00,Sint-Truiden,1–0,Standard Liège,6899.0,Stayen,Alexandre Boucaut,Match Report,,18,B1
,,,,,,,,,,,,,18,B1
Regular season,4.0,Fri,2017-08-18,20:30,Standard Liège,0–4,Zulte Waregem,17880.0,Stade Maurice Dufrasne,Jonathan Lardot,Match Report,,18,B1
Regular season,4.0,Sat,2017-08-19,18:00,Genk,0–1,Charleroi,14650.0,Luminus Arena,Alexandre Boucaut,Match Report,,18,B1
Regular season,4.0,Sat,2017-08-19,20:00,Waasland-Bev,2–3,Lokeren,6197.0,Freethiel-Stadion,Bart Vertenten,Match Report,,18,B1
Regular season,4.0,Sat,2017-08-19,20:00,Eupen,2–1,Oostende,2479.0,Stadion am Kehrweg,Bert Put,Match Report,,18,B1
Regular season,4.0,Sat,2017-08-19,20:30,Mechelen,1–2,Antwerp,13323.0,AFAS-stadion Achter de Kazerne,Bram Van Driessche,Match Report,,18,B1
Regular season,4.0,Sun,2017-08-20,14:30,Anderlecht,2–3,Sint-Truiden,19111.0,Stade Constant Vanden Stock,Wim Smet,Match Report,,18,B1
Regular season,4.0,Sun,2017-08-20,18:00,Kortrijk,1–2,Club Brugge,7805.0,Guldensporenstadion,Sébastien Delferière,Match Report,,18,B1
Regular season,4.0,Sun,2017-08-20,20:00,Excel Mouscron,3–2,Gent,4122.0,Stade Le Canonnier,Nicolas Laforge,Match Report,,18,B1
,,,,,,,,,,,,,18,B1
Regular season,5.0,Fri,2017-08-25,20:30,Kortrijk,1–1,Excel Mouscron,4434.0,Guldensporenstadion,Jonathan Lardot,Match Report,,18,B1
Regular season,5.0,Sat,2017-08-26,18:00,Charleroi,3–2,Zulte Waregem,10499.0,Stade du Pays de Charleroi,Bart Vertenten,Match Report,,18,B1
Regular season,5.0,Sat,2017-08-26,20:00,Lokeren,3–0,Eupen,3351.0,Daknamstadion,Lawrence Visser,Match Report,,18,B1
Regular season,5.0,Sat,2017-08-26,20:00,Sint-Truiden,1–0,Waasland-Bev,5165.0,Stayen,Jan Boterberg,Match Report,,18,B1
Regular season,5.0,Sat,2017-08-26,20:30,Genk,1–0,Mechelen,14165.0,Luminus Arena,Wim Smet,Match Report,,18,B1
Regular season,5.0,Sun,2017-08-27,14:30,Club Brugge,4–0,Standard Liège,24507.0,Jan Breydelstadion,Nicolas Laforge,Match Report,,18,B1
Regular season,5.0,Sun,2017-08-27,18:00,Gent,0–0,Anderlecht,18621.0,GHELAMCO-arena,Sébastien Delferière,Match Report,,18,B1
Regular season,5.0,Sun,2017-08-27,20:00,Oostende,3–4,Antwerp,6318.0,Versluys Arena,Alexandre Boucaut,Match Report,,18,B1
,,,,,,,,,,,,,18,B1
Regular season,6.0,Fri,2017-09-08,20:30,Anderlecht,3–2,Lokeren,19023.0,Stade Constant Vanden Stock,Nicolas Laforge,Match Report,,18,B1
Regular season,6.0,Sat,2017-09-09,18:00,Excel Mouscron,2–1,Club Brugge,9579.0,Stade Le Canonnier,Alexandre Boucaut,Match Report,,18,B1
Regular season,6.0,Sat,2017-09-09,20:00,Waasland-Bev,5–1,Eupen,3477.0,Freethiel-Stadion,Jonathan Lardot,Match Report,,18,B1
Regular season,6.0,Sat,2017-09-09,20:00,Antwerp,1–1,Sint-Truiden,10083.0,Bosuilstadion,Wesley Alen,Match Report,,18,B1
Regular season,6.0,Sat,2017-09-09,20:30,Zulte Waregem,2–2,Kortrijk,10014.0,Regenboogstadion,Christof Dierick,Match Report,,18,B1
Regular season,6.0,Sun,2017-09-10,14:30,Gent,1–1,Genk,17741.0,GHELAMCO-arena,Bart Vertenten,Match Report,,18,B1
Regular season,6.0,Sun,2017-09-10,18:00,Standard Liège,0–0,Charleroi,21048.0,Stade Maurice Dufrasne,Wim Smet,Match Report,,18,B1
Regular season,6.0,Sun,2017-09-10,20:00,Mechelen,1–1,Oostende,8727.0,AFAS-stadion Achter de Kazerne,Nathan Verboomen,Match Report,,18,B1
,,,,,,,,,,,,,18,B1
Regular season,7.0,Fri,2017-09-15,20:30,Club Brugge,2–0,Mechelen,19852.0,Jan Breydelstadion,Lawrence Visser,Match Report,,18,B1
Regular season,7.0,Sat,2017-09-16,18:00,Kortrijk,2–2,Anderlecht,9134.0,Guldensporenstadion,Alexandre Boucaut,Match Report,,18,B1
Regular season,7.0,Sat,2017-09-16,20:00,Charleroi,2–2,Waasland-Bev,8882.0,Stade du Pays de Charleroi,Bert Put,Match Report,,18,B1
Regular season,7.0,Sat,2017-09-16,20:00,Lokeren,1–1,Antwerp,6851.0,Daknamstadion,Jan Boterberg,Match Report,,18,B1
Regular season,7.0,Sat,2017-09-16,20:30,Sint-Truiden,2–1,Genk,10649.0,Stayen,Jonathan Lardot,Match Report,,18,B1
Regular season,7.0,Sun,2017-09-17,14:30,Zulte Waregem,2–1,Excel Mouscron,8508.0,Regenboogstadion,Nathan Verboomen,Match Report,,18,B1
Regular season,7.0,Sun,2017-09-17,18:00,Oostende,0–2,Gent,6442.0,Versluys Arena,Wim Smet,Match Report,,18,B1
