Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
5.0,Sun,2019-09-01,12:15,Twente,2.1,3–1,2.0,Utrecht,25500.0,De Grolsch Veste,Jeroen Manschot,Match Report,,20,N1
5.0,Sun,2019-09-01,14:30,Sparta R'dam,1.5,1–4,3.0,Ajax,10599.0,Sparta-Stadion Het Kasteel,Jochem Kamphuis,Match Report,,20,N1
5.0,Sun,2019-09-01,16:45,Willem II,1.3,0–1,1.3,Feyenoord,13875.0,Koning Willem II Stadion,Bas Nijhuis,Match Report,,20,N1
5.0,Sun,2019-09-01,16:45,Vitesse,2.0,2–1,2.1,AZ Alkmaar,13290.0,GelreDome,Dennis Higler,Match Report,,20,N1
5.0,Sun,2019-09-01,20:00,RKC Waalwijk,0.7,1–3,1.9,PSV Eindhoven,6000.0,Mandemakers Stadion,Kevin Blom,Match Report,,20,N1
,,,,,,,,,,,,,,20,N1
6.0,Sat,2019-09-14,18:30,AZ Alkmaar,3.6,5–1,0.8,Sparta R'dam,8327.0,AFAS Stadion,Danny Makkelie,Match Report,,20,N1
6.0,Sat,2019-09-14,18:30,Ajax,3.4,4–1,1.4,Heerenveen,52921.0,Johan Cruyff ArenA,Allard Lindhout,Match Report,,20,N1
6.0,Sat,2019-09-14,19:45,VVV-Venlo,0.8,2–1,1.4,Groningen,6265.0,Seacon Stadion De Koel,Martin van den Kerkhof,Match Report,,20,N1
6.0,Sat,2019-09-14,20:45,Utrecht,2.4,3–1,1.1,Emmen,17661.0,Stadion Galgenwaard,Rob Dieperink,Match Report,,20,N1
6.0,Sat,2019-09-14,20:45,PSV Eindhoven,3.6,5–0,1.5,Vitesse,33300.0,Philips Stadion,Pol van Boekel,Match Report,,20,N1
6.0,Sun,2019-09-15,12:15,Zwolle,2.2,6–2,0.5,RKC Waalwijk,13028.0,MAC³PARK Stadion,Jeroen Manschot,Match Report,,20,N1
6.0,Sun,2019-09-15,14:30,Feyenoord,3.7,3–2,0.5,ADO Den Haag,40000.0,Stadion Feijenoord,Serdar Gözübüyük,Match Report,,20,N1
6.0,Sun,2019-09-15,14:30,Heracles Almelo,1.8,4–1,1.2,Willem II,11254.0,Erve Asito,Joey Kooij,Match Report,,20,N1
6.0,Sun,2019-09-15,16:45,Fortuna Sittard,1.8,2–3,1.2,Twente,7377.0,Fortuna Sittard Stadion,Dennis Higler,Match Report,,20,N1
,,,,,,,,,,,,,,20,N1
7.0,Fri,2019-09-20,20:00,Twente,1.0,2–3,0.9,Heracles Almelo,29300.0,De Grolsch Veste,Jochem Kamphuis,Match Report,,20,N1
7.0,Sat,2019-09-21,18:30,Sparta R'dam,3.8,4–0,1.0,RKC Waalwijk,10231.0,Sparta-Stadion Het Kasteel,Christiaan Bax,Match Report,,20,N1
7.0,Sat,2019-09-21,19:45,Willem II,3.1,1–0,0.4,VVV-Venlo,13227.0,Koning Willem II Stadion,Rob Dieperink,Match Report,,20,N1
7.0,Sat,2019-09-21,19:45,Groningen,1.0,2–0,0.6,Zwolle,16471.0,Hitachi Capital Mobility Stadion,Sander Van der Eijk,Match Report,,20,N1
