Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
Regular season,1.0,Fri,2020-09-18,18:30,Hamburger SV,2–1,Düsseldorf,1000.0,Volksparkstadion,Christian Dingert,Match Report,,21,D2
Regular season,1.0,Fri,2020-09-18,18:30,Jahn R'burg,1–1,Nürnberg,3011.0,Jahnstadion,Matthias Jöllenbeck,Match Report,,21,D2
Regular season,1.0,Sat,2020-09-19,13:00,W'burg Kickers,0–3,Erzgebirge Aue,,flyeralarm Arena,Thorben Siewer,Match Report,,21,D2
Regular season,1.0,Sat,2020-09-19,13:00,Hannover 96,2–0,Karlsruher,500.0,HDI-Arena,Tobias Stieler,Match Report,,21,D2
Regular season,1.0,Sat,2020-09-19,13:00,Sandhausen,3–2,Darmstadt 98,754.0,BWT-Stadion Am Hardtwald,Guido Winkmann,Match Report,,21,D2
Regular season,1.0,Sun,2020-09-20,13:30,Holstein Kiel,1–0,Paderborn 07,1709.0,Holstein-Stadion,Bastian Dankert,Match Report,,21,D2
Regular season,1.0,Sun,2020-09-20,13:30,Heidenheim,2–0,Braunschweig,2052.0,Voith-Arena,Nicolas Winter,Match Report,,21,D2
Regular season,1.0,Sun,2020-09-20,13:30,Greuther Fürth,1–1,Osnabrück,3000.0,Sportpark Ronhof Thomas Sommer,Robert Kampka,Match Report,,21,D2
Regular season,1.0,Mon,2020-09-21,20:30,Bochum,2–2,St. Pauli,3500.0,Vonovia Ruhrstadion,Robert Schröder,Match Report,,21,D2
,,,,,,,,,,,,,21,D2
Regular season,2.0,Fri,2020-09-25,18:30,Osnabrück,2–1,Hannover 96,3200.0,Stadion an der Bremer Brücke,Aarne Aarnink,Match Report,,21,D2
Regular season,2.0,Fri,2020-09-25,18:30,Erzgebirge Aue,1–1,Greuther Fürth,999.0,Sparkassen-Erzgebirgsstadion,Felix Brych,Match Report,,21,D2
Regular season,2.0,Sat,2020-09-26,13:00,Braunschweig,0–0,Holstein Kiel,3512.0,Eintracht-Stadion,Martin Thomsen,Match Report,,21,D2
Regular season,2.0,Sat,2020-09-26,13:00,Düsseldorf,1–0,W'burg Kickers,7500.0,Merkur Spielarena,Robert Hartmann,Match Report,,21,D2
Regular season,2.0,Sat,2020-09-26,13:00,Darmstadt 98,0–0,Jahn R'burg,1721.0,Merck-Stadion am Böllenfalltor,Patrick Alt,Match Report,,21,D2
Regular season,2.0,Sun,2020-09-27,13:30,Nürnberg,1–0,Sandhausen,6505.0,Max-Morlock-Stadion,Tobias Reichel,Match Report,,21,D2
Regular season,2.0,Sun,2020-09-27,13:30,St. Pauli,4–2,Heidenheim,2226.0,Millerntor-Stadion,Sven Jablonski,Match Report,,21,D2
Regular season,2.0,Sun,2020-09-27,13:30,Karlsruher,0–1,Bochum,1200.0,Wildparkstadion,Marco Fritz,Match Report,,21,D2
Regular season,2.0,Mon,2020-09-28,20:30,Paderborn 07,3–4,Hamburger SV,300.0,Benteler-Arena,Guido Winkmann,Match Report,,21,D2
,,,,,,,,,,,,,21,D2
Regular season,3.0,Fri,2020-10-02,18:30,Sandhausen,1–0,St. Pauli,1393.0,BWT-Stadion Am Hardtwald,Sven Waschitzki,Match Report,,21,D2
Regular season,3.0,Fri,2020-10-02,18:30,Bochum,0–0,Osnabrück,4231.0,Vonovia Ruhrstadion,Alexander Sather,Match Report,,21,D2
Regular season,3.0,Sat,2020-10-03,13:00,Jahn R'burg,1–0,Karlsruher,3042.0,Jahnstadion,Lasse Koslowski,Match Report,,21,D2
Regular season,3.0,Sat,2020-10-03,13:00,Hannover 96,4–1,Braunschweig,7300.0,HDI-Arena,Daniel Siebert,Match Report,,21,D2
Regular season,3.0,Sat,2020-10-03,13:00,Heidenheim,0–0,Paderborn 07,2559.0,Voith-Arena,Timo Gerach,Match Report,,21,D2
Regular season,3.0,Sun,2020-10-04,13:30,W'burg Kickers,2–2,Greuther Fürth,1877.0,flyeralarm Arena,Michael Bacher,Match Report,,21,D2
Regular season,3.0,Sun,2020-10-04,13:30,Holstein Kiel,2–1,Düsseldorf,1973.0,Holstein-Stadion,Patrick Ittrich,Match Report,,21,D2
Regular season,3.0,Mon,2020-10-05,20:30,Nürnberg,2–3,Darmstadt 98,6772.0,Max-Morlock-Stadion,Sören Storks,Match Report,,21,D2
,,,,,,,,,,,,,21,D2
Regular season,4.0,Sat,2020-10-17,13:00,Greuther Fürth,0–1,Hamburger SV,3325.0,Sportpark Ronhof Thomas Sommer,Martin Petersen,Match Report,,21,D2
Regular season,4.0,Sat,2020-10-17,13:00,Karlsruher,3–0,Sandhausen,1200.0,Wildparkstadion,Frank Willenborg,Match Report,,21,D2
Regular season,4.0,Sat,2020-10-17,13:00,Braunschweig,2–1,Bochum,3815.0,Eintracht-Stadion,Christof Günsch,Match Report,,21,D2
Regular season,4.0,Sun,2020-10-18,13:30,W'burg Kickers,0–2,Holstein Kiel,1300.0,flyeralarm Arena,Matthias Jöllenbeck,Match Report,,21,D2
Regular season,4.0,Sun,2020-10-18,13:30,Düsseldorf,2–2,Jahn R'burg,,Merkur Spielarena,Robert Kampka,Match Report,,21,D2
Regular season,4.0,Sun,2020-10-18,13:30,Erzgebirge Aue,2–1,Heidenheim,500.0,Sparkassen-Erzgebirgsstadion,Benjamin Brand,Match Report,,21,D2
