Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
1.0,Sat,2018-08-18,18:00,Chievo,1.1,2–3,3.1,Juventus,29500.0,Stadio Marc'Antonio Bentegodi,Fabrizio Pasqua,Match Report,,19,I1
1.0,Sat,2018-08-18,20:30,Lazio,1.0,1–2,1.4,Napoli,32000.0,Stadio Olimpico,Luca Banti,Match Report,,19,I1
1.0,Sun,2018-08-19,18:00,Torino,0.6,0–1,1.2,Roma,18000.0,Stadio Olimpico di Torino,Marco Di Bello,Match Report,,19,I1
1.0,Sun,2018-08-19,20:30,Sassuolo,1.5,1–0,1.1,Inter,19104.0,Stadio Città del Tricolore,Maurizio Mariani,Match Report,,19,I1
1.0,Sun,2018-08-19,20:30,Empoli,1.3,2–0,0.9,Cagliari,7335.0,Stadio Carlo Castellani,Daniele Chiffi,Match Report,,19,I1
1.0,Sun,2018-08-19,20:30,Parma,1.5,2–2,1.9,Udinese,13141.0,Stadio Ennio Tardini,Giampaolo Calvarese,Match Report,,19,I1
1.0,Sun,2018-08-19,20:30,Bologna,1.0,0–1,0.6,SPAL,21158.0,Stadio Renato Dall'Ara,Piero Giacomelli,Match Report,,19,I1
1.0,Mon,2018-08-20,20:30,Atalanta,2.2,4–0,0.3,Frosinone,18217.0,Stadio Atleti Azzurri d'Italia,Marco Piccinini,Match Report,,19,I1
,,,,,,,,,,,,,,19,I1
2.0,Sat,2018-08-25,18:00,Juventus,1.6,2–0,0.3,Lazio,40171.0,Allianz Stadium,Massimiliano Irrati,Match Report,,19,I1
2.0,Sat,2018-08-25,20:30,Napoli,1.4,3–2,0.7,Milan,34474.0,Stadio San Paolo,Paolo Valeri,Match Report,,19,I1
2.0,Sun,2018-08-26,18:00,SPAL,1.4,1–0,0.3,Parma,6000.0,Stadio Paolo Mazza,Daniele Orsato,Match Report,,19,I1
2.0,Sun,2018-08-26,20:30,Cagliari,1.3,2–2,1.8,Sassuolo,14432.0,Sardegna Arena,Luca Pairetto,Match Report,,19,I1
2.0,Sun,2018-08-26,20:30,Genoa,1.1,2–1,1.5,Empoli,19523.0,Stadio Comunale Luigi Ferraris,Livio Marinelli,Match Report,,19,I1
2.0,Sun,2018-08-26,20:30,Inter,0.8,2–2,1.1,Torino,59135.0,Stadio Giuseppe Meazza,Paolo Mazzoleni,Match Report,,19,I1
2.0,Sun,2018-08-26,20:30,Frosinone,1.7,0–0,0.9,Bologna,,Stadio Benito Stirpe,Gianluca Manganiello,Match Report,,19,I1
2.0,Sun,2018-08-26,20:30,Udinese,1.8,1–0,0.7,Sampdoria,15770.0,Dacia Arena,Federico La Penna,Match Report,,19,I1
2.0,Sun,2018-08-26,20:30,Fiorentina,3.5,6–1,0.7,Chievo,27790.0,Stadio Artemio Franchi,Rosario Abisso,Match Report,,19,I1
2.0,Mon,2018-08-27,20:30,Roma,2.5,3–3,3.0,Atalanta,41725.0,Stadio Olimpico,Michael Fabbri,Match Report,,19,I1
,,,,,,,,,,,,,,19,I1
3.0,Fri,2018-08-31,20:30,Milan,1.9,2–1,0.3,Roma,57789.0,Stadio Giuseppe Meazza,Marco Guida,Match Report,,19,I1
3.0,Sat,2018-09-01,18:00,Bologna,0.5,0–3,1.9,Inter,26082.0,Stadio Renato Dall'Ara,Marco Di Bello,Match Report,,19,I1
3.0,Sat,2018-09-01,20:30,Parma,1.9,1–2,2.3,Juventus,20814.0,Stadio Ennio Tardini,Daniele Doveri,Match Report,,19,I1
3.0,Sun,2018-09-02,18:00,Fiorentina,0.9,1–0,0.2,Udinese,31009.0,Stadio Artemio Franchi,Antonio Giua,Match Report,,19,I1
3.0,Sun,2018-09-02,20:30,Torino,2.0,1–0,0.9,SPAL,17785.0,Stadio Olimpico di Torino,Fabrizio Pasqua,Match Report,,19,I1
3.0,Sun,2018-09-02,20:30,Chievo,1.1,0–0,1.2,Empoli,8100.0,Stadio Marc'Antonio Bentegodi,Piero Giacomelli,Match Report,,19,I1
3.0,Sun,2018-09-02,20:30,Sampdoria,0.8,3–0,1.2,Napoli,19835.0,Stadio Comunale Luigi Ferraris,Davide Massa,Match Report,,19,I1
3.0,Sun,2018-09-02,20:30,Atalanta,0.4,0–1,0.3,Cagliari,17709.0,Stadio Atleti Azzurri d'Italia,Fabio Maresca,Match Report,,19,I1
3.0,Sun,2018-09-02,20:30,Lazio,2.6,1–0,0.5,Frosinone,34465.0,Stadio Olimpico,Giampaolo Calvarese,Match Report,,19,I1
3.0,Sun,2018-09-02,20:30,Sassuolo,1.7,5–3,1.9,Genoa,9740.0,Stadio Città del Tricolore,Gianluca Rocchi,Match Report,,19,I1
,,,,,,,,,,,,,,19,I1
4.0,Sat,2018-09-15,15:00,Inter,1.3,0–1,0.3,Parma,59648.0,Stadio Giuseppe Meazza,Gianluca Manganiello,Match Report,,19,I1
4.0,Sat,2018-09-15,18:00,Napoli,1.4,1–0,0.3,Fiorentina,20131.0,Stadio San Paolo,Michael Fabbri,Match Report,,19,I1
4.0,Sat,2018-09-15,20:30,Frosinone,0.7,0–5,2.5,Sampdoria,12502.0,Stadio Benito Stirpe,Massimiliano Irrati,Match Report,,19,I1
4.0,Sun,2018-09-16,12:30,Roma,2.4,2–2,1.6,Chievo,39849.0,Stadio Olimpico,Paolo Mazzoleni,Match Report,,19,I1
4.0,Sun,2018-09-16,15:00,Udinese,0.3,1–1,0.7,Torino,18813.0,Dacia Arena,Paolo Valeri,Match Report,,19,I1
