Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
Regular season,4.0,Sat,2019-09-07,20:00,Extremadura,0–0,Numancia,5583.0,Estadio Francisco de la Hera,Iñaki Bikandi,Match Report,,20,SP2
Regular season,4.0,Sun,2019-09-08,12:00,Huesca,1–0,Sporting Gijón,6408.0,Estadio El Alcoraz,José López,Match Report,,20,SP2
Regular season,4.0,Sun,2019-09-08,16:00,Girona,3–1,Rayo Vallecano,8608.0,Estadi Municipal de Montilivi,Gorka Sagues,Match Report,,20,SP2
Regular season,4.0,Sun,2019-09-08,18:00,Elche,1–1,Lugo,10035.0,Estadio Manuel Martínez Valero,Santiago Varón,Match Report,,20,SP2
Regular season,4.0,Sun,2019-09-08,18:00,CD Mirandés,2–1,Oviedo,3494.0,Estadio Municipal de Anduva,Miguel Ángel Ortiz Arias,Match Report,,20,SP2
Regular season,4.0,Sun,2019-09-08,18:30,Alcorcón,0–3,Zaragoza,3525.0,Estadio Santo Domingo,Oliver De La Fuente,Match Report,,20,SP2
,,,,,,,,,,,,,20,SP2
Regular season,5.0,Fri,2019-09-13,21:00,Rayo Vallecano,2–0,Racing Sant,9649.0,Estadio del Rayo Vallecano,Alejandro Muñíz,Match Report,,20,SP2
Regular season,5.0,Sat,2019-09-14,16:00,Numancia,1–0,Huesca,4035.0,Nuevo Estadio Los Pajaritos,Daniel Trujillo,Match Report,,20,SP2
Regular season,5.0,Sat,2019-09-14,16:00,CD Mirandés,1–1,Málaga,2812.0,Estadio Municipal de Anduva,Víctor Areces,Match Report,,20,SP2
Regular season,5.0,Sat,2019-09-14,17:30,Las Palmas,0–3,Almería,10077.0,Estadio de Gran Canaria,Aitor Gorostegui,Match Report,,20,SP2
Regular season,5.0,Sat,2019-09-14,20:30,Ponferradina,1–1,Alcorcón,5192.0,Estadio El Toralín,Dámaso Arcediano,Match Report,,20,SP2
Regular season,5.0,Sat,2019-09-14,20:30,Cádiz,2–0,Girona,15535.0,Estadio Ramón de Carranza,Daniel Ocón,Match Report,,20,SP2
Regular season,5.0,Sun,2019-09-15,12:00,Albacete,0–4,Tenerife,7875.0,Estadio Carlos Belmonte,Álvaro Moreno,Match Report,,20,SP2
Regular season,5.0,Sun,2019-09-15,16:00,Oviedo,0–2,Elche,11263.0,Estadio Nuevo Carlos Tartiere,Jorge Figueroa,Match Report,,20,SP2
Regular season,5.0,Sun,2019-09-15,18:00,Zaragoza,3–1,Extremadura,25798.0,Estadio de la Romareda,Jon González,Match Report,,20,SP2
Regular season,5.0,Sun,2019-09-15,20:00,Lugo,2–0,Fuenlabrada,2915.0,Estadio Anxo Carro,Saúl Ais,Match Report,,20,SP2
Regular season,5.0,Sun,2019-09-15,21:00,Sporting Gijón,1–1,La Coruña,18570.0,Estadio Municipal El Molinón,Juan Pulido,Match Report,,20,SP2
,,,,,,,,,,,,,20,SP2
Regular season,6.0,Tue,2019-09-17,19:00,Racing Sant,4–0,CD Mirandés,12304.0,Campos de Sport de El Sardinero,Iñaki Bikandi,Match Report,,20,SP2
Regular season,6.0,Tue,2019-09-17,19:00,Málaga,1–1,Rayo Vallecano,13616.0,Estadio La Rosaleda,Isidro Díaz de Mera,Match Report,,20,SP2
Regular season,6.0,Tue,2019-09-17,19:00,Almería,3–1,Girona,11034.0,Estadio de los Juegos Mediterráneos,José López,Match Report,,20,SP2
