Round,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
Regular season,4.0,Sat,2021-08-21,12:30,QPR,1.8,2–2,1.5,Barnsley,11882.0,Kiyan Prince Foundation Stadium,Gavin Ward,Match Report,,22,E2
Regular season,4.0,Sat,2021-08-21,15:00,Derby County,0.6,0–0,0.9,Middlesbrough,16123.0,iPro Stadium,Andrew Davies,Match Report,,22,E2
Regular season,4.0,Sat,2021-08-21,15:00,Blackburn,1.5,1–2,3.4,West Brom,11926.0,Ewood Park,Tony Harrington,Match Report,,22,E2
Regular season,4.0,Sat,2021-08-21,15:00,Preston,1.6,1–0,1.5,P'borough Utd,9952.0,Deepdale Stadium,Dean Whitestone,Match Report,,22,E2
Regular season,4.0,Sat,2021-08-21,15:00,Sheffield Utd,0.8,1–2,1.1,Huddersfield,28036.0,Bramall Lane,Michael Salisbury,Match Report,,22,E2
Regular season,4.0,Sat,2021-08-21,15:00,Stoke City,1.0,1–0,0.1,Nott'ham Forest,21346.0,Bet365 Stadium,Oliver Langford,Match Report,,22,E2
Regular season,4.0,Sat,2021-08-21,15:00,Cardiff City,2.9,3–1,1.6,Millwall,18168.0,Cardiff City Stadium,James Linington,Match Report,,22,E2
Regular season,4.0,Sat,2021-08-21,15:00,Luton Town,1.5,0–5,3.5,Birmingham City,10014.0,Kenilworth Road Stadium,John Busby,Match Report,,22,E2
Regular season,4.0,Sat,2021-08-21,15:00,Fulham,1.4,2–0,0.5,Hull City,16189.0,Craven Cottage,Tim Robinson,Match Report,,22,E2
Regular season,4.0,Sat,2021-08-21,15:00,Bournemouth,1.4,2–2,2.0,Blackpool,9187.0,Vitality Stadium,Steve Martin,Match Report,,22,E2
Regular season,4.0,Sat,2021-08-21,15:00,Coventry City,2.4,2–1,1.1,Reading,16464.0,Coventry Building Society Arena,David Webb,Match Report,,22,E2
,,,,,,,,,,,,,,,22,E2
Regular season,5.0,Sat,2021-08-28,12:30,Derby County,1.2,1–1,0.7,Nott'ham Forest,22991.0,iPro Stadium,Tim Robinson,Match Report,,22,E2
Regular season,5.0,Sat,2021-08-28,12:30,Cardiff City,1.1,1–2,0.7,Bristol City,20891.0,Cardiff City Stadium,David Webb,Match Report,,22,E2
Regular season,5.0,Sat,2021-08-28,15:00,Hull City,0.3,0–0,1.7,Bournemouth,10199.0,MKM Stadium,Geoff Eltringham,Match Report,,22,E2
Regular season,5.0,Sat,2021-08-28,15:00,Preston,0.9,3–1,0.7,Swansea City,10180.0,Deepdale Stadium,Thomas Bramall,Match Report,,22,E2
Regular season,5.0,Sat,2021-08-28,15:00,QPR,0.9,2–0,1.3,Coventry City,14774.0,Kiyan Prince Foundation Stadium,Dean Whitestone,Match Report,,22,E2
Regular season,5.0,Sat,2021-08-28,15:00,Millwall,1.7,2–1,1.2,Blackpool,11049.0,The Den,Gavin Ward,Match Report,,22,E2
Regular season,5.0,Sat,2021-08-28,15:00,Luton Town,1.0,0–0,0.7,Sheffield Utd,9774.0,Kenilworth Road Stadium,Andrew Davies,Match Report,,22,E2
Regular season,5.0,Sat,2021-08-28,15:00,Middlesbrough,1.8,1–1,0.5,Blackburn,20542.0,Riverside Stadium,Michael Salisbury,Match Report,,22,E2
Regular season,5.0,Sat,2021-08-28,15:00,Huddersfield,2.6,4–0,0.6,Reading,14613.0,The John Smith's Stadium,Leigh Doughty,Match Report,,22,E2
Regular season,5.0,Sat,2021-08-28,15:00,Fulham,4.7,3–0,1.0,Stoke City,16791.0,Craven Cottage,Jarred Gillett,Match Report,,22,E2
Regular season,5.0,Sat,2021-08-28,15:00,Barnsley,0.3,1–1,2.5,Birmingham City,13950.0,Oakwell Stadium,Matt Donohue,Match Report,,22,E2
Regular season,5.0,Sat,2021-08-28,20:00,P'borough Utd,0.2,0–1,2.5,West Brom,10163.0,Weston Homes Stadium,James Linington,Match Report,,22,E2
,,,,,,,,,,,,,,,22,E2
Regular season,6.0,Fri,2021-09-10,20:00,Birmingham City,2.0,2–0,0.5,Derby County,14912.0,St Andrew's Trillion Trophy Stadium,Gavin Ward,Match Report,,22,E2
Regular season,6.0,Sat,2021-09-11,15:00,Bournemouth,2.2,3–0,0.1,Barnsley,,Vitality Stadium,James Linington,Match Report,,22,E2
Regular season,6.0,Sat,2021-09-11,15:00,Reading,1.5,3–3,2.6,QPR,14928.0,Select Car Leasing Stadium,Geoff Eltringham,Match Report,,22,E2
Regular season,6.0,Sat,2021-09-11,15:00,Coventry City,1.7,2–0,0.7,Middlesbrough,18515.0,Coventry Building Society Arena,Leigh Doughty,Match Report,,22,E2
Regular season,6.0,Sat,2021-09-11,15:00,Blackpool,0.5,1–0,1.4,Fulham,11268.0,Bloomfield Road,John Busby,Match Report,,22,E2
Regular season,6.0,Sat,2021-09-11,15:00,Sheffield Utd,4.0,6–2,1.7,P'borough Utd,27359.0,Bramall Lane,Steve Martin,Match Report,,22,E2
Regular season,6.0,Sat,2021-09-11,15:00,Bristol City,0.7,0–0,1.3,Preston,17967.0,Ashton Gate Stadium,Tim Robinson,Match Report,,22,E2
Regular season,6.0,Sat,2021-09-11,15:00,Swansea City,1.0,0–0,0.1,Hull City,16317.0,Swansea.com Stadium,Keith Stroud,Match Report,,22,E2
