Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
Regular season,1.0,Fri,2019-07-26,20:30,Stuttgart,2–1,Hannover 96,52021.0,Mercedes-Benz Arena,Felix Brych,Match Report,,20,D2
Regular season,1.0,Sat,2019-07-27,13:00,Dresden,0–1,Nürnberg,29753.0,DDV-Stadion,Felix Zwayer,Match Report,,20,D2
Regular season,1.0,Sat,2019-07-27,15:30,Holstein Kiel,1–1,Sandhausen,10103.0,Holstein-Stadion,Tobias Stieler,Match Report,,20,D2
Regular season,1.0,Sat,2019-07-27,15:30,Osnabrück,1–3,Heidenheim,12909.0,Stadion an der Bremer Brücke,Sascha Stegemann,Match Report,,20,D2
Regular season,1.0,Sun,2019-07-28,13:30,Hamburger SV,1–1,Darmstadt 98,44475.0,Volksparkstadion,Robert Hartmann,Match Report,,20,D2
Regular season,1.0,Sun,2019-07-28,15:30,Wehen,1–2,Karlsruher,6871.0,BRITA-Arena,Christian Dingert,Match Report,,20,D2
Regular season,1.0,Sun,2019-07-28,15:30,Jahn R'burg,3–1,Bochum,10268.0,Jahnstadion,Robert Schröder,Match Report,,20,D2
Regular season,1.0,Sun,2019-07-28,15:30,Greuther Fürth,0–2,Erzgebirge Aue,9970.0,Sportpark Ronhof Thomas Sommer,Daniel Siebert,Match Report,,20,D2
Regular season,1.0,Mon,2019-07-29,20:30,Arminia,1–1,St. Pauli,23857.0,SchücoArena Kunstrasenplatz,Bastian Dankert,Match Report,,20,D2
,,,,,,,,,,,,,20,D2
Regular season,2.0,Fri,2019-08-02,18:30,Bochum,3–3,Arminia,21708.0,Vonovia Ruhrstadion,Martin Petersen,Match Report,,20,D2
Regular season,2.0,Fri,2019-08-02,18:30,Sandhausen,0–1,Osnabrück,5025.0,BWT-Stadion Am Hardtwald,Florian Badstübner,Match Report,,20,D2
Regular season,2.0,Fri,2019-08-02,20:30,St. Pauli,1–3,Greuther Fürth,29546.0,Millerntor-Stadion,Sven Jablonski,Match Report,,20,D2
Regular season,2.0,Sat,2019-08-03,13:00,Karlsruher,4–2,Dresden,13099.0,Wildparkstadion,Frank Willenborg,Match Report,,20,D2
Regular season,2.0,Sat,2019-08-03,15:30,Hannover 96,1–1,Jahn R'burg,28500.0,HDI-Arena,Daniel Schlager,Match Report,,20,D2
Regular season,2.0,Sun,2019-08-04,13:30,Heidenheim,2–2,Stuttgart,15000.0,Voith-Arena,Benjamin Cortus,Match Report,,20,D2
Regular season,2.0,Sun,2019-08-04,15:30,Erzgebirge Aue,3–2,Wehen,9500.0,Sparkassen-Erzgebirgsstadion,Robert Kempter,Match Report,,20,D2
Regular season,2.0,Sun,2019-08-04,15:30,Darmstadt 98,2–0,Holstein Kiel,13065.0,Merck-Stadion am Böllenfalltor,Aarne Aarnink,Match Report,,20,D2
Regular season,2.0,Mon,2019-08-05,20:30,Nürnberg,0–4,Hamburger SV,44497.0,Max-Morlock-Stadion,Harm Osmers,Match Report,,20,D2
,,,,,,,,,,,,,20,D2
Regular season,3.0,Fri,2019-08-16,18:30,Hamburger SV,1–0,Bochum,41737.0,Volksparkstadion,Christian Dingert,Match Report,,20,D2
Regular season,3.0,Fri,2019-08-16,18:30,Sandhausen,3–2,Nürnberg,7542.0,BWT-Stadion Am Hardtwald,Robert Kampka,Match Report,,20,D2
Regular season,3.0,Sat,2019-08-17,13:00,Stuttgart,2–1,St. Pauli,53315.0,Mercedes-Benz Arena,Guido Winkmann,Match Report,,20,D2
Regular season,3.0,Sat,2019-08-17,13:00,Arminia,3–1,Erzgebirge Aue,15021.0,SchücoArena Kunstrasenplatz,Martin Thomsen,Match Report,,20,D2
Regular season,3.0,Sat,2019-08-17,13:00,Wehen,0–3,Hannover 96,5607.0,BRITA-Arena,Timo Gerach,Match Report,,20,D2
Regular season,3.0,Sun,2019-08-18,13:30,Dresden,2–1,Heidenheim,26350.0,DDV-Stadion,Patrick Alt,Match Report,,20,D2
Regular season,3.0,Sun,2019-08-18,13:30,Greuther Fürth,1–0,Jahn R'burg,9665.0,Sportpark Ronhof Thomas Sommer,Marco Fritz,Match Report,,20,D2
Regular season,3.0,Sun,2019-08-18,13:30,Holstein Kiel,2–1,Karlsruher,11758.0,Holstein-Stadion,Sascha Stegemann,Match Report,,20,D2
Regular season,3.0,Mon,2019-08-19,20:30,Osnabrück,4–0,Darmstadt 98,14101.0,Stadion an der Bremer Brücke,Patrick Ittrich,Match Report,,20,D2
,,,,,,,,,,,,,20,D2
Regular season,4.0,Fri,2019-08-23,18:30,Darmstadt 98,0–0,Dresden,14610.0,Merck-Stadion am Böllenfalltor,Matthias Jöllenbeck,Match Report,,20,D2
Regular season,4.0,Fri,2019-08-23,18:30,Erzgebirge Aue,0–0,Stuttgart,13950.0,Sparkassen-Erzgebirgsstadion,Felix Zwayer,Match Report,,20,D2
Regular season,4.0,Sat,2019-08-24,13:00,Jahn R'burg,1–3,Arminia,9514.0,Jahnstadion,Pascal Müller,Match Report,,20,D2
Regular season,4.0,Sat,2019-08-24,13:00,Bochum,3–3,Wehen,14189.0,Vonovia Ruhrstadion,Daniel Schlager,Match Report,,20,D2
Regular season,4.0,Sat,2019-08-24,13:00,Hannover 96,1–1,Greuther Fürth,25300.0,HDI-Arena,René Rohde,Match Report,,20,D2
Regular season,4.0,Sun,2019-08-25,13:30,Karlsruher,2–4,Hamburger SV,15000.0,Wildparkstadion,Sören Storks,Match Report,,20,D2
Regular season,4.0,Sun,2019-08-25,13:30,Nürnberg,1–0,Osnabrück,27083.0,Max-Morlock-Stadion,Sven Waschitzki,Match Report,,20,D2
Regular season,4.0,Sun,2019-08-25,13:30,Heidenheim,0–2,Sandhausen,10500.0,Voith-Arena,Frank Willenborg,Match Report,,20,D2
Regular season,4.0,Mon,2019-08-26,20:30,St. Pauli,2–1,Holstein Kiel,29546.0,Millerntor-Stadion,Markus Schmidt,Match Report,,20,D2
,,,,,,,,,,,,,20,D2
Regular season,5.0,Fri,2019-08-30,18:30,Sandhausen,1–0,Darmstadt 98,7681.0,BWT-Stadion Am Hardtwald,Johann Pfeifer,Match Report,,20,D2
Regular season,5.0,Fri,2019-08-30,18:30,Nürnberg,2–2,Heidenheim,27444.0,Max-Morlock-Stadion,Florian Heft,Match Report,,20,D2
Regular season,5.0,Sat,2019-08-31,13:00,Dresden,3–3,St. Pauli,29953.0,DDV-Stadion,Benjamin Cortus,Match Report,,20,D2
Regular season,5.0,Sat,2019-08-31,13:00,Arminia,2–2,Greuther Fürth,15820.0,SchücoArena Kunstrasenplatz,Tobias Reichel,Match Report,,20,D2
Regular season,5.0,Sat,2019-08-31,13:00,Wehen,0–5,Jahn R'burg,3857.0,BRITA-Arena,Daniel Siebert,Match Report,,20,D2
Regular season,5.0,Sun,2019-09-01,13:30,Hamburger SV,3–0,Hannover 96,54732.0,Volksparkstadion,Bastian Dankert,Match Report,,20,D2
Regular season,5.0,Sun,2019-09-01,13:30,Osnabrück,3–0,Karlsruher,14003.0,Stadion an der Bremer Brücke,Michael Bacher,Match Report,,20,D2
Regular season,5.0,Sun,2019-09-01,13:30,Holstein Kiel,1–1,Erzgebirge Aue,9465.0,Holstein-Stadion,Lasse Koslowski,Match Report,,20,D2
Regular season,5.0,Mon,2019-09-02,20:30,Stuttgart,2–1,Bochum,48624.0,Mercedes-Benz Arena,Manuel Gräfe,Match Report,,20,D2
,,,,,,,,,,,,,20,D2
Regular season,6.0,Fri,2019-09-13,18:30,Greuther Fürth,2–1,Wehen,8730.0,Sportpark Ronhof Thomas Sommer,Benedikt Kempkes,Match Report,,20,D2
Regular season,6.0,Fri,2019-09-13,18:30,Karlsruher,1–0,Sandhausen,13517.0,Wildparkstadion,Felix Zwayer,Match Report,,20,D2
Regular season,6.0,Sat,2019-09-14,13:00,Jahn R'burg,2–3,Stuttgart,15200.0,Jahnstadion,Tobias Stieler,Match Report,,20,D2
Regular season,6.0,Sat,2019-09-14,13:00,Heidenheim,3–0,Holstein Kiel,10800.0,Voith-Arena,Nicolas Winter,Match Report,,20,D2
Regular season,6.0,Sat,2019-09-14,13:00,Hannover 96,0–2,Arminia,37200.0,HDI-Arena,Patrick Ittrich,Match Report,,20,D2
Regular season,6.0,Sun,2019-09-15,13:30,Bochum,2–2,Dresden,16859.0,Vonovia Ruhrstadion,Christof Günsch,Match Report,,20,D2
Regular season,6.0,Sun,2019-09-15,13:30,Darmstadt 98,3–3,Nürnberg,15220.0,Merck-Stadion am Böllenfalltor,Alexander Sather,Match Report,,20,D2
Regular season,6.0,Sun,2019-09-15,13:30,Erzgebirge Aue,1–0,Osnabrück,9750.0,Sparkassen-Erzgebirgsstadion,Thorben Siewer,Match Report,,20,D2
Regular season,6.0,Mon,2019-09-16,20:30,St. Pauli,2–0,Hamburger SV,29226.0,Millerntor-Stadion,Sven Jablonski,Match Report,,20,D2
,,,,,,,,,,,,,20,D2
Regular season,7.0,Fri,2019-09-20,18:30,Heidenheim,1–0,Darmstadt 98,10800.0,Voith-Arena,Florian Badstübner,Match Report,,20,D2
Regular season,7.0,Fri,2019-09-20,18:30,Holstein Kiel,1–2,Hannover 96,15034.0,Holstein-Stadion,Martin Thomsen,Match Report,,20,D2
Regular season,7.0,Sat,2019-09-21,13:00,Wehen,2–5,Arminia,4621.0,BRITA-Arena,Patrick Alt,Match Report,,20,D2
Regular season,7.0,Sat,2019-09-21,13:00,Sandhausen,1–1,Bochum,5339.0,BWT-Stadion Am Hardtwald,Pascal Müller,Match Report,,20,D2
Regular season,7.0,Sat,2019-09-21,13:00,Stuttgart,2–0,Greuther Fürth,50543.0,Mercedes-Benz Arena,Sören Storks,Match Report,,20,D2
Regular season,7.0,Sat,2019-09-21,13:00,Nürnberg,1–1,Karlsruher,30332.0,Max-Morlock-Stadion,Marco Fritz,Match Report,,20,D2
Regular season,7.0,Sun,2019-09-22,13:30,Hamburger SV,4–0,Erzgebirge Aue,44021.0,Volksparkstadion,Tobias Reichel,Match Report,,20,D2
Regular season,7.0,Sun,2019-09-22,13:30,Dresden,2–1,Jahn R'burg,27260.0,DDV-Stadion,Robert Kempter,Match Report,,20,D2
Regular season,7.0,Sun,2019-09-22,13:30,Osnabrück,1–1,St. Pauli,16000.0,Stadion an der Bremer Brücke,Martin Petersen,Match Report,,20,D2
,,,,,,,,,,,,,20,D2
Regular season,8.0,Fri,2019-09-27,18:30,Arminia,0–1,Stuttgart,26124.0,SchücoArena Kunstrasenplatz,Timo Gerach,Match Report,,20,D2
Regular season,8.0,Fri,2019-09-27,18:30,Wehen,2–0,Osnabrück,3723.0,BRITA-Arena,Benjamin Cortus,Match Report,,20,D2
Regular season,8.0,Sat,2019-09-28,13:00,Jahn R'burg,2–2,Hamburger SV,15210.0,Jahnstadion,Tobias Welz,Match Report,,20,D2
Regular season,8.0,Sat,2019-09-28,13:00,Bochum,2–2,Darmstadt 98,14321.0,Vonovia Ruhrstadion,René Rohde,Match Report,,20,D2
Regular season,8.0,Sat,2019-09-28,13:00,Karlsruher,1–1,Heidenheim,12713.0,Wildparkstadion,Bastian Dankert,Match Report,,20,D2
Regular season,8.0,Sun,2019-09-29,13:30,Erzgebirge Aue,4–1,Dresden,15300.0,Sparkassen-Erzgebirgsstadion,Robert Hartmann,Match Report,,20,D2
Regular season,8.0,Sun,2019-09-29,13:30,St. Pauli,2–0,Sandhausen,29546.0,Millerntor-Stadion,Matthias Jöllenbeck,Match Report,,20,D2
Regular season,8.0,Sun,2019-09-29,13:30,Greuther Fürth,0–3,Holstein Kiel,9350.0,Sportpark Ronhof Thomas Sommer,Aarne Aarnink,Match Report,,20,D2
Regular season,8.0,Mon,2019-09-30,20:30,Hannover 96,0–4,Nürnberg,26800.0,HDI-Arena,Martin Petersen,Match Report,,20,D2
,,,,,,,,,,,,,20,D2
Regular season,9.0,Fri,2019-10-04,18:30,Stuttgart,1–2,Wehen,49627.0,Mercedes-Benz Arena,Johann Pfeifer,Match Report,,20,D2
Regular season,9.0,Fri,2019-10-04,18:30,Darmstadt 98,1–1,Karlsruher,14850.0,Merck-Stadion am Böllenfalltor,Felix Brych,Match Report,,20,D2
Regular season,9.0,Sat,2019-10-05,13:00,Sandhausen,2–2,Erzgebirge Aue,5042.0,BWT-Stadion Am Hardtwald,Christof Günsch,Match Report,,20,D2
Regular season,9.0,Sat,2019-10-05,13:00,Dresden,0–2,Hannover 96,28359.0,DDV-Stadion,Christian Dingert,Match Report,,20,D2
Regular season,9.0,Sat,2019-10-05,13:00,Hamburger SV,2–0,Greuther Fürth,44180.0,Volksparkstadion,Florian Heft,Match Report,,20,D2
Regular season,9.0,Sun,2019-10-06,13:30,Heidenheim,2–3,Bochum,10350.0,Voith-Arena,Michael Bacher,Match Report,,20,D2
Regular season,9.0,Sun,2019-10-06,13:30,Nürnberg,1–1,St. Pauli,32117.0,Max-Morlock-Stadion,Lasse Koslowski,Match Report,,20,D2
Regular season,9.0,Sun,2019-10-06,13:30,Holstein Kiel,1–2,Jahn R'burg,10065.0,Holstein-Stadion,Sven Waschitzki,Match Report,,20,D2
Regular season,9.0,Mon,2019-10-07,20:30,Osnabrück,0–1,Arminia,15800.0,Stadion an der Bremer Brücke,Markus Schmidt,Match Report,,20,D2
,,,,,,,,,,,,,20,D2
Regular season,10.0,Fri,2019-10-18,18:30,Greuther Fürth,2–0,Dresden,9770.0,Sportpark Ronhof Thomas Sommer,Robert Kampka,Match Report,,20,D2
Regular season,10.0,Fri,2019-10-18,18:30,Erzgebirge Aue,4–3,Nürnberg,14000.0,Sparkassen-Erzgebirgsstadion,Daniel Schlager,Match Report,,20,D2
Regular season,10.0,Sat,2019-10-19,13:00,Wehen,0–0,Heidenheim,5023.0,BRITA-Arena,Alexander Sather,Match Report,,20,D2
Regular season,10.0,Sat,2019-10-19,13:00,St. Pauli,0–1,Darmstadt 98,29412.0,Millerntor-Stadion,Tobias Reichel,Match Report,,20,D2
Regular season,10.0,Sat,2019-10-19,13:00,Jahn R'burg,1–0,Sandhausen,11342.0,Jahnstadion,Thorben Siewer,Match Report,,20,D2
Regular season,10.0,Sun,2019-10-20,13:30,Stuttgart,0–1,Holstein Kiel,54176.0,Mercedes-Benz Arena,Benedikt Kempkes,Match Report,,20,D2
Regular season,10.0,Sun,2019-10-20,13:30,Bochum,3–3,Karlsruher,14954.0,Vonovia Ruhrstadion,Nicolas Winter,Match Report,,20,D2
Regular season,10.0,Sun,2019-10-20,13:30,Hannover 96,0–0,Osnabrück,37600.0,HDI-Arena,Florian Badstübner,Match Report,,20,D2
Regular season,10.0,Mon,2019-10-21,20:30,Arminia,1–1,Hamburger SV,26515.0,SchücoArena Kunstrasenplatz,Frank Willenborg,Match Report,,20,D2
,,,,,,,,,,,,,20,D2
Regular season,11.0,Fri,2019-10-25,18:30,Darmstadt 98,1–0,Erzgebirge Aue,14095.0,Merck-Stadion am Böllenfalltor,Manuel Gräfe,Match Report,,20,D2
Regular season,11.0,Fri,2019-10-25,18:30,Holstein Kiel,2–1,Bochum,12390.0,Holstein-Stadion,Timo Gerach,Match Report,,20,D2
Regular season,11.0,Sat,2019-10-26,13:00,Dresden,0–1,Arminia,25197.0,DDV-Stadion,Felix Zwayer,Match Report,,20,D2
Regular season,11.0,Sat,2019-10-26,13:00,Karlsruher,3–3,Hannover 96,13370.0,Wildparkstadion,Guido Winkmann,Match Report,,20,D2
