Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
Regular season,1.0,Fri,2017-07-28,20:00,Sochaux,2–0,Bourg-Péronnas,7363.0,Stade Auguste-Bonal,Pierre Gaillouste,Match Report,,18,F2
Regular season,1.0,Fri,2017-07-28,20:00,Brest,2–3,Châteauroux,7571.0,Stade Francis-Le Blé,Aurélien Petit,Match Report,,18,F2
Regular season,1.0,Fri,2017-07-28,20:00,Niort,0–0,Ajaccio,3519.0,Stade René Gaillard,Alexandre Perreau Niel,Match Report,,18,F2
Regular season,1.0,Fri,2017-07-28,20:00,Nîmes,0–1,Reims,7065.0,Stade des Costières,Tony Chapron,Match Report,,18,F2
Regular season,1.0,Fri,2017-07-28,20:00,Valenciennes,1–1,Gazélec Ajaccio,6826.0,Stade du Hainaut,Jeremy Stinat,Match Report,,18,F2
Regular season,1.0,Fri,2017-07-28,20:00,Paris FC,0–0,Clermont Foot,1679.0,Stade Sébastien Charléty,Florent Batta,Match Report,,18,F2
Regular season,1.0,Fri,2017-07-28,20:00,Orléans,3–1,Nancy,4601.0,Stade de la Source,Willy Delajod,Match Report,,18,F2
Regular season,1.0,Fri,2017-07-28,20:00,Tours,0–3,Le Havre,4506.0,Stade de la Vallée du Cher,Sylvain Palhies,Match Report,,18,F2
Regular season,1.0,Sat,2017-07-29,15:00,Lorient,1–1,Quevilly-Rouen,9011.0,Stade Yves Allainmat - Le Moustoir,Stéphane Jochem,Match Report,,18,F2
Regular season,1.0,Mon,2017-07-31,20:45,Auxerre,1–0,Lens,12870.0,Stade de l'Abbé Deschamps,Hakim Ben El Hadj Salem,Match Report,,18,F2
,,,,,,,,,,,,,18,F2
Regular season,2.0,Fri,2017-08-04,20:00,Gazélec Ajaccio,0–0,Lorient,3461.0,Stade François Coty,Sylvain Palhies,Match Report,,18,F2
Regular season,2.0,Fri,2017-08-04,20:00,Clermont Foot,2–0,Tours,2622.0,Stade Gabriel Montpied,Bastien Dechepy,Match Report,,18,F2
Regular season,2.0,Fri,2017-08-04,20:00,Nancy,0–0,Niort,11225.0,Stade Marcel Picot,Eric Wattellier,Match Report,,18,F2
Regular season,2.0,Fri,2017-08-04,20:00,Lens,1–2,Nîmes,25265.0,Stade Bollaert-Delelis,Florent Batta,Match Report,,18,F2
Regular season,2.0,Fri,2017-08-04,20:00,Châteauroux,0–1,Valenciennes,3724.0,Stade Gaston Petit,Faouzi Benchabane,Match Report,,18,F2
Regular season,2.0,Fri,2017-08-04,20:00,Le Havre,4–1,Auxerre,8353.0,Stade Océane,Johan Hamel,Match Report,,18,F2
Regular season,2.0,Fri,2017-08-04,20:00,Quevilly-Rouen,1–1,Sochaux,1167.0,Stade Robert Diochon,Cédric Dos Santos,Match Report,,18,F2
Regular season,2.0,Fri,2017-08-04,20:00,Ajaccio,2–1,Brest,2781.0,Stade François Coty,William Lavis,Match Report,,18,F2
Regular season,2.0,Fri,2017-08-04,20:00,Bourg-Péronnas,1–2,Paris FC,2014.0,Stade Marcel-Verchère,Mehdi Mokhtari,Match Report,,18,F2
Regular season,2.0,Sat,2017-08-05,15:00,Reims,2–0,Orléans,8152.0,Stade Auguste-Delaune II,Pierre Gaillouste,Match Report,,18,F2
,,,,,,,,,,,,,18,F2
Regular season,3.0,Fri,2017-08-11,20:00,Quevilly-Rouen,1–4,Bourg-Péronnas,588.0,Stade Robert Diochon,Bastien Dechepy,Match Report,,18,F2
Regular season,3.0,Fri,2017-08-11,20:00,Paris FC,0–3,Le Havre,1878.0,Stade Sébastien Charléty,William Lavis,Match Report,,18,F2
Regular season,3.0,Fri,2017-08-11,20:00,Niort,2–0,Auxerre,3535.0,Stade René Gaillard,Faouzi Benchabane,Match Report,,18,F2
Regular season,3.0,Fri,2017-08-11,20:00,Valenciennes,0–0,Clermont Foot,6091.0,Stade du Hainaut,Cédric Dos Santos,Match Report,,18,F2
Regular season,3.0,Fri,2017-08-11,20:00,Brest,0–0,Gazélec Ajaccio,6711.0,Stade Francis-Le Blé,Eric Wattellier,Match Report,,18,F2
Regular season,3.0,Fri,2017-08-11,20:00,Tours,0–1,Reims,3554.0,Stade de la Vallée du Cher,Willy Delajod,Match Report,,18,F2
Regular season,3.0,Fri,2017-08-11,20:00,Orléans,0–0,Ajaccio,3849.0,Stade de la Source,Aurélien Petit,Match Report,,18,F2
Regular season,3.0,Sat,2017-08-12,15:00,Sochaux,3–2,Lens,10327.0,Stade Auguste-Bonal,Amaury Delerue,Match Report,,18,F2
Regular season,3.0,Mon,2017-08-14,18:45,Lorient,3–0,Châteauroux,9105.0,Stade Yves Allainmat - Le Moustoir,Jeremy Stinat,Match Report,,18,F2
Regular season,3.0,Mon,2017-08-14,20:45,Nîmes,0–0,Nancy,8839.0,Stade des Costières,Karim Abed,Match Report,,18,F2
,,,,,,,,,,,,,18,F2
Regular season,4.0,Fri,2017-08-18,20:00,Clermont Foot,0–2,Lorient,3065.0,Stade Gabriel Montpied,Pierre Gaillouste,Match Report,,18,F2
Regular season,4.0,Fri,2017-08-18,20:00,Gazélec Ajaccio,1–0,Quevilly-Rouen,3150.0,Stade François Coty,William Lavis,Match Report,,18,F2
Regular season,4.0,Fri,2017-08-18,20:00,Niort,2–1,Tours,3462.0,Stade René Gaillard,Mehdi Mokhtari,Match Report,,18,F2
Regular season,4.0,Fri,2017-08-18,20:00,Auxerre,1–3,Orléans,7998.0,Stade de l'Abbé Deschamps,Benoît Bastien,Match Report,,18,F2
Regular season,4.0,Fri,2017-08-18,20:00,Ajaccio,2–0,Paris FC,3320.0,Stade François Coty,Jeremy Stinat,Match Report,,18,F2
Regular season,4.0,Fri,2017-08-18,20:00,Nancy,2–2,Sochaux,12178.0,Stade Marcel Picot,Sylvain Palhies,Match Report,,18,F2
Regular season,4.0,Fri,2017-08-18,20:00,Reims,3–0,Bourg-Péronnas,8376.0,Stade Auguste-Delaune II,Alexandre Perreau Niel,Match Report,,18,F2
Regular season,4.0,Fri,2017-08-18,20:00,Le Havre,1–0,Valenciennes,9977.0,Stade Océane,Eric Wattellier,Match Report,,18,F2
Regular season,4.0,Sat,2017-08-19,15:00,Lens,2–4,Brest,24680.0,Stade Bollaert-Delelis,Nicolas Rainville,Match Report,,18,F2
Regular season,4.0,Mon,2017-08-21,20:45,Châteauroux,1–0,Nîmes,3093.0,Stade Gaston Petit,Florent Batta,Match Report,,18,F2
,,,,,,,,,,,,,18,F2
Regular season,5.0,Fri,2017-08-25,20:00,Tours,1–3,Ajaccio,3322.0,Stade de la Vallée du Cher,Jérôme Miguelgorry,Match Report,,18,F2
Regular season,5.0,Fri,2017-08-25,20:00,Quevilly-Rouen,0–2,Clermont Foot,621.0,Stade Robert Diochon,Faouzi Benchabane,Match Report,,18,F2
Regular season,5.0,Fri,2017-08-25,20:00,Valenciennes,4–1,Niort,6140.0,Stade du Hainaut,Willy Delajod,Match Report,,18,F2
Regular season,5.0,Fri,2017-08-25,20:00,Bourg-Péronnas,2–0,Gazélec Ajaccio,2016.0,Stade Marcel-Verchère,Cédric Dos Santos,Match Report,,18,F2
Regular season,5.0,Fri,2017-08-25,20:00,Brest,2–1,Nancy,7561.0,Stade Francis-Le Blé,Hakim Ben El Hadj Salem,Match Report,,18,F2
Regular season,5.0,Fri,2017-08-25,20:00,Paris FC,2–1,Auxerre,1927.0,Stade Sébastien Charléty,Bastien Dechepy,Match Report,,18,F2
Regular season,5.0,Fri,2017-08-25,20:00,Nîmes,1–0,Le Havre,6239.0,Stade des Costières,Sébastien Desiage,Match Report,,18,F2
Regular season,5.0,Fri,2017-08-25,20:00,Sochaux,1–5,Châteauroux,8431.0,Stade Auguste-Bonal,Thomas Léonard,Match Report,,18,F2
Regular season,5.0,Sat,2017-08-26,15:00,Lorient,2–1,Reims,8516.0,Stade Yves Allainmat - Le Moustoir,Aurélien Petit,Match Report,,18,F2
Regular season,5.0,Mon,2017-08-28,20:45,Orléans,2–0,Lens,6413.0,Stade de la Source,Benoît Millot,Match Report,,18,F2
,,,,,,,,,,,,,18,F2
