Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
Regular season,5.0,Fri,2018-08-24,20:00,Orléans,4–0,Paris FC,3420.0,Stade de la Source,Bastien Dechepy,Match Report,,19,F2
Regular season,5.0,Fri,2018-08-24,20:00,Brest,1–0,Le Havre,7056.0,Stade Francis-Le Blé,Aurélien Petit,Match Report,,19,F2
Regular season,5.0,Fri,2018-08-24,20:00,Red Star,1–0,Auxerre,1333.0,Stade de Paris,Pignard Jérémie,Match Report,,19,F2
Regular season,5.0,Fri,2018-08-24,20:00,Clermont Foot,1–0,Sochaux,2544.0,Stade Gabriel Montpied,Mehdi Mokhtari,Match Report,,19,F2
Regular season,5.0,Fri,2018-08-24,20:00,Ajaccio,0–0,Lorient,2882.0,Stade François Coty,William Lavis,Match Report,,19,F2
Regular season,5.0,Fri,2018-08-24,20:00,Grenoble,0–0,Châteauroux,6522.0,Stade des Alpes,Pierre Gaillouste,Match Report,,19,F2
Regular season,5.0,Fri,2018-08-24,20:00,Nancy,0–1,Niort,9096.0,Stade Marcel Picot,Romain Lissorgue,Match Report,,19,F2
Regular season,5.0,Fri,2018-08-24,20:00,Troyes,0–1,Metz,6196.0,Stade de l'Aube,Ruddy Buquet,Match Report,,19,F2
Regular season,5.0,Mon,2018-08-27,20:45,Valenciennes,0–0,Gazélec Ajaccio,6350.0,Stade du Hainaut,Nicolas Rainville,Match Report,,19,F2
,,,,,,,,,,,,,19,F2
Regular season,6.0,Fri,2018-08-31,20:00,Auxerre,0–2,Brest,5595.0,Stade de l'Abbé Deschamps,Benjamin Lepaysant,Match Report,,19,F2
Regular season,6.0,Fri,2018-08-31,20:00,Valenciennes,0–4,Clermont Foot,6384.0,Stade du Hainaut,Arnaud Baert,Match Report,,19,F2
Regular season,6.0,Fri,2018-08-31,20:00,Paris FC,2–0,Troyes,2858.0,Stade Sébastien Charléty,Sylvain Palhies,Match Report,,19,F2
Regular season,6.0,Fri,2018-08-31,20:00,Châteauroux,1–0,Nancy,2777.0,Stade Gaston Petit,Yohann Rouinsard,Match Report,,19,F2
Regular season,6.0,Fri,2018-08-31,20:00,Le Havre,3–1,Orléans,5987.0,Stade Océane,Mehdi Mokhtari,Match Report,,19,F2
Regular season,6.0,Fri,2018-08-31,20:00,Sochaux,1–0,Béziers,6322.0,Stade Auguste-Bonal,William Lavis,Match Report,,19,F2
Regular season,6.0,Fri,2018-08-31,20:00,Niort,2–0,Ajaccio,3565.0,Stade René Gaillard,Romain Lissorgue,Match Report,,19,F2
Regular season,6.0,Fri,2018-08-31,20:00,Gazélec Ajaccio,2–1,Red Star,2718.0,Stade François Coty,Bartolomeu Varela,Match Report,,19,F2
Regular season,6.0,Sat,2018-09-01,15:00,Metz,2–0,Lens,16235.0,Stade Saint-Symphorien,Florent Batta,Match Report,,19,F2
Regular season,6.0,Mon,2018-09-03,20:45,Lorient,1–0,Grenoble,6591.0,Stade Yves Allainmat - Le Moustoir,Faouzi Benchabane,Match Report,,19,F2
,,,,,,,,,,,,,19,F2
Regular season,7.0,Fri,2018-09-14,20:00,Troyes,2–0,Niort,5690.0,Stade de l'Aube,Aurélien Petit,Match Report,,19,F2
Regular season,7.0,Fri,2018-09-14,20:00,Orléans,2–0,Châteauroux,3888.0,Stade de la Source,Romain Lissorgue,Match Report,,19,F2
Regular season,7.0,Fri,2018-09-14,20:00,Nancy,0–1,Le Havre,10283.0,Stade Marcel Picot,Pignard Jérémie,Match Report,,19,F2
Regular season,7.0,Fri,2018-09-14,20:00,Clermont Foot,2–0,Auxerre,2616.0,Stade Gabriel Montpied,Stéphanie Frappart,Match Report,,19,F2
Regular season,7.0,Fri,2018-09-14,20:00,Brest,4–1,Gazélec Ajaccio,6412.0,Stade Francis-Le Blé,Alexandre Perreau Niel,Match Report,,19,F2
Regular season,7.0,Fri,2018-09-14,20:00,Red Star,0–3,Lorient,2236.0,Stade de Paris,Bastien Dechepy,Match Report,,19,F2
Regular season,7.0,Fri,2018-09-14,20:00,Grenoble,4–2,Valenciennes,6091.0,Stade des Alpes,Sébastien Moreira,Match Report,,19,F2
Regular season,7.0,Fri,2018-09-14,20:00,Ajaccio,0–0,Paris FC,2361.0,Stade François Coty,Yohann Rouinsard,Match Report,,19,F2
Regular season,7.0,Sat,2018-09-15,15:00,Lens,2–0,Sochaux,29048.0,Stade Bollaert-Delelis,Bartolomeu Varela,Match Report,,19,F2
Regular season,7.0,Mon,2018-09-17,20:45,Béziers,1–3,Metz,3100.0,Stade de Sauclières,Mikael Lesage,Match Report,,19,F2
,,,,,,,,,,,,,19,F2
Regular season,8.0,Fri,2018-09-21,20:00,Grenoble,1–2,Brest,6646.0,Stade des Alpes,Stéphanie Frappart,Match Report,,19,F2
Regular season,8.0,Fri,2018-09-21,20:00,Châteauroux,2–0,Béziers,2631.0,Stade Gaston Petit,Benjamin Lepaysant,Match Report,,19,F2
Regular season,8.0,Fri,2018-09-21,20:00,Le Havre,1–1,Troyes,5365.0,Stade Océane,Arnaud Baert,Match Report,,19,F2
Regular season,8.0,Fri,2018-09-21,20:00,Sochaux,0–1,Orléans,5537.0,Stade Auguste-Bonal,Pignard Jérémie,Match Report,,19,F2
Regular season,8.0,Fri,2018-09-21,20:00,Gazélec Ajaccio,0–1,Nancy,2652.0,Stade François Coty,Mehdi Mokhtari,Match Report,,19,F2
Regular season,8.0,Fri,2018-09-21,20:00,Lorient,0–0,Clermont Foot,6834.0,Stade Yves Allainmat - Le Moustoir,Johan Hamel,Match Report,,19,F2
Regular season,8.0,Fri,2018-09-21,20:00,Valenciennes,4–1,Red Star,11545.0,Stade du Hainaut,Faouzi Benchabane,Match Report,,19,F2
Regular season,8.0,Fri,2018-09-21,20:00,Auxerre,0–0,Ajaccio,4265.0,Stade de l'Abbé Deschamps,Bastien Dechepy,Match Report,,19,F2
Regular season,8.0,Sat,2018-09-22,15:00,Paris FC,2–1,Metz,5097.0,Stade Sébastien Charléty,Pierre Gaillouste,Match Report,,19,F2
Regular season,8.0,Mon,2018-09-24,20:45,Niort,1–2,Lens,4683.0,Stade René Gaillard,William Lavis,Match Report,,19,F2
,,,,,,,,,,,,,19,F2
Regular season,9.0,Fri,2018-09-28,20:00,Brest,5–1,Châteauroux,6469.0,Stade Francis-Le Blé,Aurélien Petit,Match Report,,19,F2
Regular season,9.0,Fri,2018-09-28,20:00,Orléans,2–0,Lorient,4123.0,Stade de la Source,Stéphanie Frappart,Match Report,,19,F2
