Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
Regular season,1.0,Fri,2017-08-18,20:00,Lorca FC,2–0,Leonesa,4920.0,Estadio Francisco Artés Carrasco,Santiago Varón,Match Report,,18,SP2
Regular season,1.0,Fri,2017-08-18,21:00,Tenerife,1–0,Zaragoza,10287.0,Estadio Heliodoro Rodríguez Lopéz,Dámaso Arcediano,Match Report,,18,SP2
Regular season,1.0,Sat,2017-08-19,19:00,Alcorcón,0–0,Sporting Gijón,2859.0,Estadio Santo Domingo,Gorka Sagues,Match Report,,18,SP2
Regular season,1.0,Sat,2017-08-19,19:00,Osasuna,1–1,Sevilla B,13482.0,Estadio El Sadar,Rubén Eiriz,Match Report,,18,SP2
Regular season,1.0,Sat,2017-08-19,20:30,Numancia,1–0,Huesca,2481.0,Nuevo Estadio Los Pajaritos,Daniel Ocón,Match Report,,18,SP2
Regular season,1.0,Sat,2017-08-19,20:30,Córdoba,1–2,Cádiz,11503.0,Estadio Nuevo Arcángel,Aitor Gorostegui,Match Report,,18,SP2
Regular season,1.0,Sat,2017-08-19,22:00,Valladolid,1–2,Barcelona B,7115.0,Estadio Municipal José Zorrilla,Juan Pulido,Match Report,,18,SP2
Regular season,1.0,Sun,2017-08-20,19:00,Oviedo,2–3,Rayo Vallecano,12531.0,Estadio Nuevo Carlos Tartiere,Adrián Cordero,Match Report,,18,SP2
Regular season,1.0,Sun,2017-08-20,20:30,Gimnàstic,0–1,Almería,5861.0,Nou Estadi de Tarragona,Oliver De La Fuente,Match Report,,18,SP2
Regular season,1.0,Sun,2017-08-20,22:00,Granada,0–0,Albacete,10911.0,Estadio Nuevo Los Cármenes,Álvaro Moreno,Match Report,,18,SP2
Regular season,1.0,Mon,2017-08-21,20:00,Lugo,0–0,Reus,3106.0,Estadio Anxo Carro,José López,Match Report,,18,SP2
,,,,,,,,,,,,,18,SP2
Regular season,2.0,Fri,2017-08-25,20:00,Albacete,0–3,Córdoba,6604.0,Estadio Carlos Belmonte,David Pérez,Match Report,,18,SP2
Regular season,2.0,Sat,2017-08-26,19:00,Huesca,2–0,Lorca FC,3139.0,Estadio El Alcoraz,Víctor Areces,Match Report,,18,SP2
Regular season,2.0,Sat,2017-08-26,19:00,Leonesa,2–1,Osasuna,8108.0,Estadio Municipal Reino de León,Luis Milla,Match Report,,18,SP2
Regular season,2.0,Sat,2017-08-26,20:30,Sevilla B,1–2,Valladolid,2034.0,Estadio Viejo Nervión,Valentín Pizarro,Match Report,,18,SP2
Regular season,2.0,Sat,2017-08-26,20:30,Rayo Vallecano,2–2,Numancia,7250.0,Estadio del Rayo Vallecano,Jorge Figueroa,Match Report,,18,SP2
Regular season,2.0,Sat,2017-08-26,22:00,Almería,1–1,Oviedo,6878.0,Estadio de los Juegos Mediterráneos,Eduardo Prieto,Match Report,,18,SP2
Regular season,2.0,Sun,2017-08-27,19:00,Sporting Gijón,2–0,Lugo,23905.0,Estadio Municipal El Molinón,Jorge Valdés Aller,Match Report,,18,SP2
Regular season,2.0,Sun,2017-08-27,19:00,Zaragoza,1–1,Granada,13761.0,Estadio de la Romareda,Iñaki Bikandi,Match Report,,18,SP2
Regular season,2.0,Sun,2017-08-27,20:30,Reus,1–1,Gimnàstic,4234.0,Estadio Camp Nou Municipal,Guillermo Cuadra,Match Report,,18,SP2
Regular season,2.0,Sun,2017-08-27,20:30,Cádiz,0–0,Alcorcón,14700.0,Estadio Ramón de Carranza,Isidro Díaz de Mera,Match Report,,18,SP2
Regular season,2.0,Mon,2017-08-28,21:00,Barcelona B,0–3,Tenerife,2283.0,Mini Estadi,Saúl Ais,Match Report,,18,SP2
,,,,,,,,,,,,,18,SP2
Regular season,3.0,Fri,2017-09-01,21:30,Granada,2–2,Barcelona B,11505.0,Estadio Nuevo Los Cármenes,Dámaso Arcediano,Match Report,,18,SP2
Regular season,3.0,Sat,2017-09-02,16:00,Numancia,1–0,Almería,2274.0,Nuevo Estadio Los Pajaritos,Rubén Eiriz,Match Report,,18,SP2
Regular season,3.0,Sat,2017-09-02,16:00,Lugo,0–1,Cádiz,2990.0,Estadio Anxo Carro,Daniel Ocón,Match Report,,18,SP2
