Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
Regular season,1.0,Fri,2021-07-23,20:45,Standard Liège,1–1,Genk,9200.0,Stade Maurice Dufrasne,Lawrence Visser,Match Report,,22,B1
Regular season,1.0,Sat,2021-07-24,16:15,OH Leuven,1–1,Zulte Waregem,3300.0,King Power at Den Dreef Stadion,Bert Put,Match Report,,22,B1
Regular season,1.0,Sat,2021-07-24,18:30,Kortrijk,2–0,R.F.C. Seraing,2744.0,Guldensporenstadion,Christof Dierick,Match Report,,22,B1
Regular season,1.0,Sat,2021-07-24,20:45,Oostende,0–3,Charleroi,2800.0,Diaz Arena,Erik Lambrechts,Match Report,,22,B1
Regular season,1.0,Sun,2021-07-25,13:30,Mechelen,3–2,Antwerp,4800.0,AFAS-stadion Achter de Kazerne,Nicolas Laforge,Match Report,,22,B1
Regular season,1.0,Sun,2021-07-25,16:00,Club Brugge,2–2,Eupen,10000.0,Jan Breydelstadion,Bram Van Driessche,Match Report,,22,B1
Regular season,1.0,Sun,2021-07-25,18:30,Anderlecht,1–3,Union SG,6000.0,Lotto Park,Kevin Van Damme,Match Report,,22,B1
Regular season,1.0,Sun,2021-07-25,21:00,Sint-Truiden,2–1,Gent,2000.0,Stayen,Jan Boterberg,Match Report,,22,B1
Regular season,1.0,Tue,2021-07-27,20:00,Beerschot,0–1,Cercle Brugge,3800.0,Olympisch Stadion,Alexandre Boucaut,Match Report,,22,B1
,,,,,,,,,,,,,22,B1
Regular season,2.0,Fri,2021-07-30,20:45,Genk,3–4,Oostende,5069.0,Luminus Arena,Nathan Verboomen,Match Report,,22,B1
Regular season,2.0,Sat,2021-07-31,16:15,Charleroi,0–0,Sint-Truiden,4648.0,Stade du Pays de Charleroi,Lawrence Visser,Match Report,,22,B1
Regular season,2.0,Sat,2021-07-31,18:30,Cercle Brugge,1–1,OH Leuven,2500.0,Jan Breydelstadion,Lothar D'Hondt,Match Report,,22,B1
Regular season,2.0,Sat,2021-07-31,18:30,R.F.C. Seraing,1–0,Mechelen,1684.0,Stade du Pairay,Wesli De Cremer,Match Report,,22,B1
Regular season,2.0,Sat,2021-07-31,20:45,Eupen,1–1,Anderlecht,1442.0,Stadion am Kehrweg,Jonathan Lardot,Match Report,,22,B1
Regular season,2.0,Sun,2021-08-01,13:30,Union SG,0–1,Club Brugge,3200.0,Stade Joseph Mariën,Wim Smet,Match Report,,22,B1
Regular season,2.0,Sun,2021-08-01,16:00,Zulte Waregem,1–2,Standard Liège,4124.0,Elindus Arena,Nicolas Laforge,Match Report,,22,B1
