Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
1.0,Fri,2017-08-11,21:45,Başakşehir,1–0,Bursaspor,,Başakşehir Fatih Terim Stadium,Umit Öztürk,Match Report,,18,T1
1.0,Sat,2017-08-12,20:00,Gençlerbirliği,1–1,Karabükspor,,Ankara 19 Mayıs Stadyumu,Koray Gençerler,Match Report,,18,T1
1.0,Sat,2017-08-12,20:00,Akhisarspor,1–0,Sivasspor,,19 Mayıs Stadyumu,Baris Şimşek,Match Report,,18,T1
1.0,Sat,2017-08-12,21:45,Alanyaspor,1–3,Kasımpaşa,,Bahçeşehir Okulları Stadyumu,Suat Arslanboga,Match Report,,18,T1
1.0,Sat,2017-08-12,21:45,Göztepe,2–2,Fenerbahçe,,Bornova Doğanlar Stadı,Yaşar Kemal Uğurlu,Match Report,,18,T1
1.0,Sun,2017-08-13,20:00,Trabzonspor,2–1,Konyaspor,,Şenol Güneş Stadyumu,Hüseyin Göçek,Match Report,,18,T1
1.0,Sun,2017-08-13,20:00,Yeni Mal'spor,3–1,Osmanlıspor,,Malatya İnönü Stadyumu,Mete Kalkavan,Match Report,,18,T1
1.0,Sun,2017-08-13,21:45,Beşiktaş,2–0,Antalyaspor,41903.0,Vodafone Arena,Cüneyt Çakιr,Match Report,,18,T1
1.0,Mon,2017-08-14,21:45,Galatasaray,4–1,Kayserispor,,Türk Telekom Arena,Halis Özkahya,Match Report,,18,T1
,,,,,,,,,,,,18,T1
2.0,Fri,2017-08-18,21:45,Kasımpaşa,2–2,Beşiktaş,14234.0,Recep Tayyip Erdoğan Stadyumu,Alper Ulusoy,Match Report,,18,T1
2.0,Sat,2017-08-19,19:00,Karabükspor,3–1,Başakşehir,,Dr. Necmettin Şeyhoğlu Stadı,Fırat Aydınus,Match Report,,18,T1
2.0,Sat,2017-08-19,19:45,Bursaspor,3–2,Alanyaspor,,Timsah Arena,Serkan Tokat,Match Report,,18,T1
2.0,Sat,2017-08-19,21:45,Osmanlıspor,1–3,Galatasaray,6704.0,Osmanlı Stadı,Halil Meler,Match Report,,18,T1
2.0,Sat,2017-08-19,21:45,Sivasspor,2–0,Yeni Mal'spor,,Sivas Arena,Serkan Çınar,Match Report,,18,T1
2.0,Sun,2017-08-20,20:00,Kayserispor,1–0,Göztepe,,Kadir Has Şehir Stadı,Özgür Yankaya,Match Report,,18,T1
