Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
Regular season,1.0,Fri,2021-08-13,20:00,Huesca,2–0,Eibar,2944.0,Estadio El Alcoraz,José López,Match Report,,22,SP2
Regular season,1.0,Fri,2021-08-13,22:00,Zaragoza,0–0,UD Ibiza,6745.0,Estadio de la Romareda,Iosu Galech,Match Report,,22,SP2
Regular season,1.0,Sat,2021-08-14,17:00,Real Sociedad B,1–0,Leganés,2597.0,Estadio Municipal de Anoeta,Víctor García Verdura,Match Report,,22,SP2
Regular season,1.0,Sat,2021-08-14,19:30,Girona,2–0,SD Amorebieta,1817.0,Estadi Municipal de Montilivi,David Gálvez,Match Report,,22,SP2
Regular season,1.0,Sat,2021-08-14,22:00,Ponferradina,1–0,Alcorcón,2743.0,Estadio El Toralín,Javier Villanueva,Match Report,,22,SP2
Regular season,1.0,Sun,2021-08-15,17:00,Sporting Gijón,1–0,Burgos,10170.0,Estadio Municipal El Molinón,Gorka Sagues,Match Report,,22,SP2
Regular season,1.0,Sun,2021-08-15,19:30,Oviedo,2–2,Lugo,5769.0,Estadio Carlos Tartiere,Alejandro Quintero,Match Report,,22,SP2
Regular season,1.0,Sun,2021-08-15,21:00,Las Palmas,1–1,Valladolid,7100.0,Estadio de Gran Canaria,Dámaso Arcediano,Match Report,,22,SP2
Regular season,1.0,Sun,2021-08-15,22:00,Fuenlabrada,1–2,Tenerife,1184.0,Estadio Fernando Torres,Saúl Ais,Match Report,,22,SP2
Regular season,1.0,Mon,2021-08-16,20:00,Málaga,0–0,CD Mirandés,6519.0,Estadio La Rosaleda,Juan Pulido,Match Report,,22,SP2
Regular season,1.0,Mon,2021-08-16,22:00,Cartagena,1–3,Almería,4770.0,Estadio Municipal Cartagonova,Aitor Gorostegui,Match Report,,22,SP2
,,,,,,,,,,,,,22,SP2
Regular season,2.0,Fri,2021-08-20,20:00,Valladolid,2–0,Zaragoza,10080.0,Estadio Municipal José Zorrilla,Eduardo Prieto,Match Report,,22,SP2
Regular season,2.0,Fri,2021-08-20,22:00,Almería,2–1,Oviedo,4100.0,Estadio de los Juegos Mediterráneos,Francisco Hernández,Match Report,,22,SP2
Regular season,2.0,Sat,2021-08-21,17:00,Lugo,0–0,Real Sociedad B,1657.0,Estadio Anxo Carro,Raúl González,Match Report,,22,SP2
Regular season,2.0,Sat,2021-08-21,18:30,Tenerife,0–0,Sporting Gijón,4999.0,Estadio Heliodoro Rodríguez Lopéz,Rubén Ávalos,Match Report,,22,SP2
Regular season,2.0,Sat,2021-08-21,22:00,Alcorcón,0–2,Fuenlabrada,1044.0,Estadio Santo Domingo,Jon González,Match Report,,22,SP2
Regular season,2.0,Sun,2021-08-22,17:00,UD Ibiza,2–2,Málaga,2487.0,Estadio Municipal de Can Misses,Oliver De La Fuente,Match Report,,22,SP2
Regular season,2.0,Sun,2021-08-22,19:30,Eibar,0–1,Ponferradina,1146.0,Estadio Municipal de Ipurúa,Álvaro Moreno,Match Report,,22,SP2
Regular season,2.0,Sun,2021-08-22,19:30,Girona,0–0,Las Palmas,2163.0,Estadi Municipal de Montilivi,Luis Milla,Match Report,,22,SP2
Regular season,2.0,Sun,2021-08-22,22:00,Huesca,2–0,Cartagena,3375.0,Estadio El Alcoraz,Daniel Trujillo,Match Report,,22,SP2
Regular season,2.0,Mon,2021-08-23,20:00,CD Mirandés,2–0,SD Amorebieta,2054.0,Estadio Municipal de Anduva,Iván Caparrós,Match Report,,22,SP2
Regular season,2.0,Mon,2021-08-23,22:00,Leganés,0–0,Burgos,3790.0,Estadio Municipal de Butarque,Rafael Sánchez,Match Report,,22,SP2
,,,,,,,,,,,,,22,SP2
Regular season,3.0,Fri,2021-08-27,19:00,Las Palmas,2–1,Huesca,9840.0,Estadio de Gran Canaria,Javier Villanueva,Match Report,,22,SP2
Regular season,3.0,Fri,2021-08-27,22:00,Málaga,1–0,Alcorcón,6884.0,Estadio La Rosaleda,Aitor Gorostegui,Match Report,,22,SP2
Regular season,3.0,Sat,2021-08-28,17:00,Sporting Gijón,2–1,CD Mirandés,10240.0,Estadio Municipal El Molinón,Dámaso Arcediano,Match Report,,22,SP2
Regular season,3.0,Sat,2021-08-28,19:30,Leganés,1–2,UD Ibiza,4454.0,Estadio Municipal de Butarque,Alejandro Quintero,Match Report,,22,SP2
Regular season,3.0,Sat,2021-08-28,19:30,Oviedo,0–0,Tenerife,6381.0,Estadio Carlos Tartiere,José López,Match Report,,22,SP2
