Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
Regular season,1.0,Fri,2018-08-17,20:00,Cádiz,1–0,Almería,13582.0,Estadio Ramón de Carranza,Daniel Trujillo,Match Report,,19,SP2
Regular season,1.0,Fri,2018-08-17,22:00,Albacete,1–1,La Coruña,5934.0,Estadio Carlos Belmonte,Valentín Pizarro,Match Report,,19,SP2
Regular season,1.0,Sat,2018-08-18,19:00,Elche,0–0,Granada,11025.0,Estadio Manuel Martínez Valero,Santiago Varón,Match Report,,19,SP2
Regular season,1.0,Sat,2018-08-18,19:30,Lugo,1–2,Málaga,3290.0,Estadio Anxo Carro,Víctor Areces,Match Report,,19,SP2
Regular season,1.0,Sat,2018-08-18,20:30,Alcorcón,1–1,Sporting Gijón,2483.0,Estadio Santo Domingo,Jorge Figueroa,Match Report,,19,SP2
Regular season,1.0,Sat,2018-08-18,22:00,Córdoba,3–3,Numancia,11685.0,Estadio Nuevo Arcángel,Isidro Díaz de Mera,Match Report,,19,SP2
Regular season,1.0,Sun,2018-08-19,19:00,Oviedo,1–1,Extremadura,13315.0,Estadio Nuevo Carlos Tartiere,Javier Villanueva,Match Report,,19,SP2
Regular season,1.0,Sun,2018-08-19,19:00,Mallorca,1–0,Osasuna,9450.0,Iberostar Estadi,Dámaso Arcediano,Match Report,,19,SP2
Regular season,1.0,Sun,2018-08-19,20:30,Zaragoza,2–1,Majadahonda,18433.0,Estadio de la Romareda,César Soto,Match Report,,19,SP2
Regular season,1.0,Sun,2018-08-19,21:00,Las Palmas,2–0,Reus,12408.0,Estadio de Gran Canaria,Luis Milla,Match Report,,19,SP2
Regular season,1.0,Mon,2018-08-20,20:00,Gimnàstic,1–1,Tenerife,5483.0,Nou Estadi de Tarragona,Saúl Ais,Match Report,,19,SP2
,,,,,,,,,,,,,19,SP2
Regular season,2.0,Fri,2018-08-24,22:00,Extremadura,0–1,La Coruña,10827.0,Estadio Francisco de la Hera,Oliver De La Fuente,Match Report,,19,SP2
Regular season,2.0,Fri,2018-08-24,22:00,Málaga,1–0,Alcorcón,18626.0,Estadio La Rosaleda,Juan Pulido,Match Report,,19,SP2
Regular season,2.0,Sat,2018-08-25,19:00,Numancia,1–1,Cádiz,3251.0,Nuevo Estadio Los Pajaritos,Iñaki Bikandi,Match Report,,19,SP2
Regular season,2.0,Sat,2018-08-25,19:00,Reus,0–0,Zaragoza,6397.0,Estadio Camp Nou Municipal,José López,Match Report,,19,SP2
Regular season,2.0,Sat,2018-08-25,19:30,Las Palmas,1–1,Albacete,12457.0,Estadio de Gran Canaria,Rubén Ávalos,Match Report,,19,SP2
Regular season,2.0,Sat,2018-08-25,22:00,Córdoba,2–4,Oviedo,12754.0,Estadio Nuevo Arcángel,Gorka Sagues,Match Report,,19,SP2
Regular season,2.0,Sun,2018-08-26,19:00,Sporting Gijón,2–0,Gimnàstic,21586.0,Estadio Municipal El Molinón,David Pérez,Match Report,,19,SP2
Regular season,2.0,Sun,2018-08-26,19:30,Osasuna,1–1,Elche,14064.0,Estadio El Sadar,Daniel Ocón,Match Report,,19,SP2
Regular season,2.0,Sun,2018-08-26,20:30,Granada,1–1,Lugo,8307.0,Estadio Nuevo Los Cármenes,Aitor Gorostegui,Match Report,,19,SP2
