Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
5.0,Fri,2019-08-23,20:00,Clermont Foot,1–1,Auxerre,4100.0,Stade Gabriel Montpied,Bastien Dechepy,Match Report,,20,F2
5.0,Fri,2019-08-23,20:00,Niort,1–1,Caen,3456.0,Stade René Gaillard,Olivier Thual,Match Report,,20,F2
5.0,Fri,2019-08-23,20:00,Le Havre,3–1,Grenoble,7810.0,Stade Océane,Arnaud Baert,Match Report,,20,F2
5.0,Fri,2019-08-23,20:00,Le Mans,1–2,Lorient,8060.0,MMArena,Remi Landry,Match Report,,20,F2
5.0,Fri,2019-08-23,20:00,Ajaccio,1–0,Paris FC,3175.0,Stade François Coty,Jérémie Pignard,Match Report,,20,F2
5.0,Fri,2019-08-23,20:00,Chambly Oise,0–0,Châteauroux,3103.0,Stade des Marais,Nicolas Rainville,Match Report,,20,F2
5.0,Sat,2019-08-24,15:00,Troyes,2–0,Lens,6492.0,Stade de l'Aube,Thomas Léonard,Match Report,,20,F2
5.0,Mon,2019-08-26,20:45,Guingamp,0–1,Valenciennes,9100.0,Stade du Roudourou,Cédric Dos Santos,Match Report,,20,F2
,,,,,,,,,,,,20,F2
6.0,Fri,2019-08-30,20:00,Auxerre,3–1,Ajaccio,5583.0,Stade de l'Abbé Deschamps,Sylvain Palhies,Match Report,,20,F2
6.0,Fri,2019-08-30,20:00,Le Mans,2–0,Sochaux,6357.0,MMArena,Benjamin Lepaysant,Match Report,,20,F2
6.0,Fri,2019-08-30,20:00,Nancy,1–1,Rodez Aveyron,10117.0,Stade Marcel Picot,Aurélien Petit,Match Report,,20,F2
6.0,Fri,2019-08-30,20:00,Orléans,0–1,Niort,3348.0,Stade de la Source,Pierre Gaillouste,Match Report,,20,F2
6.0,Fri,2019-08-30,20:00,Valenciennes,1–0,Clermont Foot,6843.0,Stade du Hainaut,Gaël Angoula,Match Report,,20,F2
6.0,Fri,2019-08-30,20:00,Caen,0–3,Le Havre,14578.0,Stade Michel d'Ornano,Thierry Bouille,Match Report,,20,F2
6.0,Fri,2019-08-30,20:00,Châteauroux,0–1,Troyes,2680.0,Stade Gaston Petit,Cédric Dos Santos,Match Report,,20,F2
6.0,Sat,2019-08-31,15:00,Lorient,0–1,Guingamp,13753.0,Stade Yves Allainmat - Le Moustoir,Mikael Lesage,Match Report,,20,F2
6.0,Mon,2019-09-02,19:00,Paris FC,0–3,Chambly Oise,1545.0,Stade Sébastien Charléty,Bartolomeu Varela,Match Report,,20,F2
6.0,Mon,2019-09-02,20:45,Grenoble,2–2,Lens,6651.0,Stade des Alpes,Romain Lissorgue,Match Report,,20,F2
,,,,,,,,,,,,20,F2
7.0,Fri,2019-09-13,20:00,Ajaccio,0–0,Orléans,2826.0,Stade François Coty,Hakim Ben El Hadj Salem,Match Report,,20,F2
7.0,Fri,2019-09-13,20:00,Le Havre,0–0,Paris FC,8594.0,Stade Océane,Mehdi Mokhtari,Match Report,,20,F2
7.0,Fri,2019-09-13,20:00,Guingamp,1–1,Nancy,7861.0,Stade du Roudourou,Nicolas Rainville,Match Report,,20,F2
7.0,Fri,2019-09-13,20:00,Troyes,2–1,Caen,5465.0,Stade de l'Aube,Bartolomeu Varela,Match Report,,20,F2
7.0,Fri,2019-09-13,20:00,Rodez Aveyron,4–1,Le Mans,1425.0,Stade Paul Lignon,Pierre Gaillouste,Match Report,,20,F2
7.0,Fri,2019-09-13,20:00,Chambly Oise,1–4,Auxerre,3627.0,Stade des Marais,Benjamin Lepaysant,Match Report,,20,F2
7.0,Fri,2019-09-13,20:00,Sochaux,0–0,Valenciennes,6627.0,Stade Auguste-Bonal,Arnaud Baert,Match Report,,20,F2
7.0,Fri,2019-09-13,20:00,Niort,0–1,Grenoble,2745.0,Stade René Gaillard,Sylvain Palhies,Match Report,,20,F2
7.0,Sat,2019-09-14,14:45,Clermont Foot,0–2,Lorient,3577.0,Stade Gabriel Montpied,Jérôme Brisard,Match Report,,20,F2
7.0,Mon,2019-09-16,20:45,Lens,1–0,Châteauroux,21089.0,Stade Bollaert-Delelis,Bastien Dechepy,Match Report,,20,F2
,,,,,,,,,,,,20,F2
8.0,Fri,2019-09-20,20:00,Châteauroux,1–1,Grenoble,2448.0,Stade Gaston Petit,Mehdi Mokhtari,Match Report,,20,F2
8.0,Fri,2019-09-20,20:00,Nancy,3–0,Chambly Oise,10062.0,Stade Marcel Picot,Romain Lissorgue,Match Report,,20,F2
8.0,Fri,2019-09-20,20:00,Auxerre,1–2,Troyes,10054.0,Stade de l'Abbé Deschamps,Stéphanie Frappart,Match Report,,20,F2
8.0,Fri,2019-09-20,20:00,Valenciennes,1–1,Niort,7690.0,Stade du Hainaut,Bartolomeu Varela,Match Report,,20,F2
8.0,Fri,2019-09-20,20:00,Paris FC,0–2,Clermont Foot,1493.0,Stade Sébastien Charléty,Thierry Bouille,Match Report,,20,F2
8.0,Fri,2019-09-20,20:00,Sochaux,3–1,Guingamp,6869.0,Stade Auguste-Bonal,Aurélien Petit,Match Report,,20,F2
8.0,Fri,2019-09-20,20:00,Orléans,2–2,Le Havre,4037.0,Stade de la Source,Gaël Angoula,Match Report,,20,F2
8.0,Fri,2019-09-20,20:00,Le Mans,2–4,Ajaccio,7177.0,MMArena,Cédric Dos Santos,Match Report,,20,F2
8.0,Sat,2019-09-21,15:00,Caen,0–2,Lens,11786.0,Stade Michel d'Ornano,Johan Hamel,Match Report,,20,F2
8.0,Mon,2019-09-23,20:45,Lorient,2–1,Rodez Aveyron,6973.0,Stade Yves Allainmat - Le Moustoir,Sylvain Palhies,Match Report,,20,F2
,,,,,,,,,,,,20,F2
9.0,Fri,2019-09-27,20:00,Niort,2–2,Auxerre,3129.0,Stade René Gaillard,Mehdi Mokhtari,Match Report,,20,F2
9.0,Fri,2019-09-27,20:00,Rodez Aveyron,0–2,Sochaux,1828.0,Stade Paul Lignon,Bartolomeu Varela,Match Report,,20,F2
9.0,Fri,2019-09-27,20:00,Ajaccio,2–0,Valenciennes,2580.0,Stade François Coty,Thierry Bouille,Match Report,,20,F2
9.0,Fri,2019-09-27,20:00,Chambly Oise,0–1,Lorient,2981.0,Stade des Marais,Aurélien Petit,Match Report,,20,F2
9.0,Fri,2019-09-27,20:00,Grenoble,1–0,Caen,5742.0,Stade des Alpes,Bastien Dechepy,Match Report,,20,F2
9.0,Fri,2019-09-27,20:00,Le Havre,0–1,Châteauroux,6935.0,Stade Océane,Benjamin Lepaysant,Match Report,,20,F2
9.0,Fri,2019-09-27,20:00,Clermont Foot,2–2,Nancy,2488.0,Stade Gabriel Montpied,Arnaud Baert,Match Report,,20,F2
9.0,Fri,2019-09-27,20:00,Troyes,1–2,Orléans,5363.0,Stade de l'Aube,Jeremy Stinat,Match Report,,20,F2
9.0,Sat,2019-09-28,14:45,Lens,2–1,Paris FC,23111.0,Stade Bollaert-Delelis,Nicolas Rainville,Match Report,,20,F2
9.0,Mon,2019-09-30,20:45,Guingamp,3–0,Le Mans,7582.0,Stade du Roudourou,Sylvain Palhies,Match Report,,20,F2
,,,,,,,,,,,,20,F2
10.0,Fri,2019-10-04,20:00,Sochaux,4–0,Clermont Foot,7042.0,Stade Auguste-Bonal,Nicolas Rainville,Match Report,,20,F2
10.0,Fri,2019-10-04,20:00,Valenciennes,0–2,Grenoble,10323.0,Stade du Hainaut,Romain Lissorgue,Match Report,,20,F2
10.0,Fri,2019-10-04,20:00,Guingamp,4–1,Rodez Aveyron,7035.0,Stade du Roudourou,Benjamin Lepaysant,Match Report,,20,F2
10.0,Fri,2019-10-04,20:00,Paris FC,1–0,Troyes,1565.0,Stade Sébastien Charléty,Remi Landry,Match Report,,20,F2
10.0,Fri,2019-10-04,20:00,Nancy,2–1,Niort,10039.0,Stade Marcel Picot,Bastien Dechepy,Match Report,,20,F2
10.0,Fri,2019-10-04,20:00,Le Mans,1–0,Chambly Oise,5032.0,MMArena,Thierry Bouille,Match Report,,20,F2
10.0,Fri,2019-10-04,20:00,Lorient,0–0,Ajaccio,7759.0,Stade Yves Allainmat - Le Moustoir,Gaël Angoula,Match Report,,20,F2
10.0,Fri,2019-10-04,20:00,Caen,1–1,Châteauroux,9277.0,Stade Michel d'Ornano,Eric Wattellier,Match Report,,20,F2
10.0,Sat,2019-10-05,14:45,Auxerre,2–0,Le Havre,6726.0,Stade de l'Abbé Deschamps,Sylvain Palhies,Match Report,,20,F2
10.0,Mon,2019-10-07,20:45,Orléans,1–4,Lens,5684.0,Stade de la Source,Aurélien Petit,Match Report,,20,F2
,,,,,,,,,,,,20,F2
11.0,Fri,2019-10-18,20:00,Châteauroux,0–1,Paris FC,6749.0,Stade Gaston Petit,Amaury Delerue,Match Report,,20,F2
11.0,Fri,2019-10-18,20:00,Niort,0–0,Guingamp,3771.0,Stade René Gaillard,Remi Landry,Match Report,,20,F2
11.0,Fri,2019-10-18,20:00,Clermont Foot,0–1,Rodez Aveyron,3809.0,Stade Gabriel Montpied,Thierry Bouille,Match Report,,20,F2
11.0,Fri,2019-10-18,20:00,Troyes,2–1,Le Mans,8224.0,Stade de l'Aube,Cédric Dos Santos,Match Report,,20,F2
11.0,Fri,2019-10-18,20:00,Ajaccio,0–0,Nancy,2839.0,Stade François Coty,Romain Lissorgue,Match Report,,20,F2
11.0,Fri,2019-10-18,20:00,Caen,0–0,Valenciennes,8945.0,Stade Michel d'Ornano,Bartolomeu Varela,Match Report,,20,F2
11.0,Fri,2019-10-18,20:00,Grenoble,0–0,Orléans,4905.0,Stade des Alpes,Mehdi Mokhtari,Match Report,,20,F2
11.0,Fri,2019-10-18,20:00,Chambly Oise,0–0,Sochaux,3392.0,Stade des Marais,Arnaud Baert,Match Report,,20,F2
11.0,Sat,2019-10-19,15:00,Le Havre,2–2,Lorient,8633.0,Stade Océane,Thomas Léonard,Match Report,,20,F2
11.0,Mon,2019-10-21,20:45,Lens,0–0,Auxerre,28592.0,Stade Bollaert-Delelis,Gaël Angoula,Match Report,,20,F2
,,,,,,,,,,,,20,F2
12.0,Fri,2019-10-25,20:00,Auxerre,0–1,Grenoble,6176.0,Stade de l'Abbé Deschamps,Nicolas Rainville,Match Report,,20,F2
12.0,Fri,2019-10-25,20:00,Orléans,1–1,Châteauroux,4380.0,Stade de la Source,Alexandre Perreau Niel,Match Report,,20,F2
12.0,Fri,2019-10-25,20:00,Le Mans,1–0,Niort,5652.0,MMArena,Aurélien Petit,Match Report,,20,F2
12.0,Fri,2019-10-25,20:00,Guingamp,1–2,Clermont Foot,8589.0,Stade du Roudourou,Pierre Gaillouste,Match Report,,20,F2
12.0,Fri,2019-10-25,20:00,Nancy,0–0,Lens,12479.0,Stade Marcel Picot,Benjamin Lepaysant,Match Report,,20,F2
12.0,Fri,2019-10-25,20:00,Rodez Aveyron,2–0,Chambly Oise,1096.0,Stade Paul Lignon,Bastien Dechepy,Match Report,,20,F2
12.0,Fri,2019-10-25,20:00,Paris FC,2–4,Caen,3052.0,Stade Sébastien Charléty,Mehdi Mokhtari,Match Report,,20,F2
12.0,Fri,2019-10-25,20:00,Sochaux,0–2,Ajaccio,10302.0,Stade Auguste-Bonal,Sylvain Palhies,Match Report,,20,F2
12.0,Sat,2019-10-26,15:00,Lorient,0–1,Troyes,11615.0,Stade Yves Allainmat - Le Moustoir,Arnaud Baert,Match Report,,20,F2
12.0,Mon,2019-10-28,20:45,Valenciennes,0–0,Le Havre,7653.0,Stade du Hainaut,Remi Landry,Match Report,,20,F2
,,,,,,,,,,,,20,F2
13.0,Fri,2019-11-01,20:00,Chambly Oise,1–5,Guingamp,3172.0,Stade des Marais,Cédric Dos Santos,Match Report,,20,F2
13.0,Fri,2019-11-01,20:00,Troyes,1–0,Valenciennes,5967.0,Stade de l'Aube,Alexandre Perreau Niel,Match Report,,20,F2
13.0,Fri,2019-11-01,20:00,Châteauroux,1–0,Auxerre,4229.0,Stade Gaston Petit,Thierry Bouille,Match Report,,20,F2
13.0,Fri,2019-11-01,20:00,Caen,2–1,Orléans,10135.0,Stade Michel d'Ornano,Sylvain Palhies,Match Report,,20,F2
13.0,Fri,2019-11-01,20:00,Ajaccio,1–0,Rodez Aveyron,2935.0,Stade François Coty,Bartolomeu Varela,Match Report,,20,F2
13.0,Sat,2019-11-02,15:00,Lens,1–0,Lorient,32011.0,Stade Bollaert-Delelis,Benoît Millot,Match Report,,20,F2
13.0,Sat,2019-11-02,15:00,Niort,0–2,Sochaux,2896.0,Stade René Gaillard,Gaël Angoula,Match Report,,20,F2
13.0,Sat,2019-11-02,15:00,Clermont Foot,0–1,Le Mans,2646.0,Stade Gabriel Montpied,Romain Lissorgue,Match Report,,20,F2
13.0,Sat,2019-11-02,15:00,Grenoble,0–0,Paris FC,7141.0,Stade des Alpes,Bastien Dechepy,Match Report,,20,F2
13.0,Mon,2019-11-04,20:45,Le Havre,1–1,Nancy,6147.0,Stade Océane,Nicolas Rainville,Match Report,,20,F2
,,,,,,,,,,,,20,F2
14.0,Fri,2019-11-08,20:00,Sochaux,2–0,Le Havre,7384.0,Stade Auguste-Bonal,Thierry Bouille,Match Report,,20,F2
14.0,Fri,2019-11-08,20:00,Orléans,0–1,Paris FC,3803.0,Stade de la Source,Gaël Angoula,Match Report,,20,F2
