Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
Regular season,1.0,Sat,2020-08-22,15:00,Toulouse,0–1,Dunkerque,,Stadium Municipal,Aurélien Petit,Match Report,,21,F2
Regular season,1.0,Sat,2020-08-22,19:00,Auxerre,0–2,Sochaux,,Stade de l'Abbé Deschamps,Mehdi Mokhtari,Match Report,,21,F2
Regular season,1.0,Sat,2020-08-22,19:00,Amiens,1–0,Nancy,,Stade Crédit Agricole la Licorne,Romain Lissorgue,Match Report,,21,F2
Regular season,1.0,Sat,2020-08-22,19:00,Clermont Foot,0–0,Caen,,Stade Gabriel Montpied,Olivier Thual,Match Report,,21,F2
Regular season,1.0,Sat,2020-08-22,19:00,Rodez Aveyron,1–0,Grenoble,,Stade Paul Lignon,Bartolomeu Varela,Match Report,,21,F2
Regular season,1.0,Sat,2020-08-22,19:00,Ajaccio,0–1,Châteauroux,,Stade François Coty,Benjamin Lepaysant,Match Report,,21,F2
Regular season,1.0,Sat,2020-08-22,19:00,Valenciennes,3–0,Pau FC,,Stade du Hainaut,Alexandre Perreau Niel,Match Report,,21,F2
Regular season,1.0,Sat,2020-08-22,19:00,Chambly Oise,0–3,Paris FC,,Stade des Marais,Gaël Angoula,Match Report,,21,F2
Regular season,1.0,Sat,2020-08-22,19:00,Guingamp,0–1,Niort,,Stade du Roudourou,Bastien Dechepy,Match Report,,21,F2
Regular season,1.0,Mon,2020-08-24,20:45,Troyes,2–0,Le Havre,,Stade de l'Aube,Antony Gautier,Match Report,,21,F2
,,,,,,,,,,,,,21,F2
Regular season,2.0,Sat,2020-08-29,15:00,Caen,1–0,Ajaccio,,Stade Michel d'Ornano,Remi Landry,Match Report,,21,F2
Regular season,2.0,Sat,2020-08-29,15:00,Nancy,2–2,Guingamp,,Stade Marcel-Picot (annexe 2),Olivier Thual,Match Report,,21,F2
Regular season,2.0,Sat,2020-08-29,19:00,Sochaux,2–1,Troyes,,Stade Auguste-Bonal,Mikael Lesage,Match Report,,21,F2
Regular season,2.0,Sat,2020-08-29,19:00,Niort,1–1,Chambly Oise,,Stade René Gaillard,Bartolomeu Varela,Match Report,,21,F2
Regular season,2.0,Sat,2020-08-29,19:00,Châteauroux,1–2,Auxerre,,Stade Gaston Petit,Pierre Gaillouste,Match Report,,21,F2
Regular season,2.0,Sat,2020-08-29,19:00,Grenoble,5–3,Toulouse,3435.0,Stade des Alpes,Arnaud Baert,Match Report,,21,F2
Regular season,2.0,Sat,2020-08-29,19:00,Dunkerque,1–1,Clermont Foot,,Stade Marcel-Tribut,Mathieu Vernice,Match Report,,21,F2
Regular season,2.0,Sat,2020-08-29,19:00,Pau FC,1–1,Rodez Aveyron,,Stade Nouste Camp,Benjamin Lepaysant,Match Report,,21,F2
Regular season,2.0,Sat,2020-08-29,19:00,Le Havre,1–0,Amiens,,Stade Océane,Sylvain Palhies,Match Report,,21,F2
Regular season,2.0,Sat,2020-08-29,19:00,Paris FC,1–0,Valenciennes,,Stade Sébastien Charléty,Guillaume Paradis,Match Report,,21,F2
,,,,,,,,,,,,,21,F2
Regular season,3.0,Sat,2020-09-12,15:00,Guingamp,1–3,Le Havre,,Stade du Roudourou,Franck Schneider,Match Report,,21,F2
Regular season,3.0,Sat,2020-09-12,19:00,Niort,1–0,Nancy,,Stade René Gaillard,Alexandre Perreau Niel,Match Report,,21,F2
Regular season,3.0,Sat,2020-09-12,19:00,Chambly Oise,1–2,Grenoble,,Stade des Marais,Mathieu Vernice,Match Report,,21,F2
Regular season,3.0,Sat,2020-09-12,19:00,Valenciennes,1–0,Châteauroux,,Stade du Hainaut,Sylvain Palhies,Match Report,,21,F2
Regular season,3.0,Sat,2020-09-12,19:00,Troyes,2–0,Pau FC,,Stade de l'Aube,Gaël Angoula,Match Report,,21,F2
Regular season,3.0,Sat,2020-09-12,19:00,Amiens,1–2,Paris FC,,Stade Crédit Agricole la Licorne,Arnaud Baert,Match Report,,21,F2
Regular season,3.0,Sat,2020-09-12,19:00,Rodez Aveyron,0–3,Caen,,Stade Paul Lignon,Pierre Gaillouste,Match Report,,21,F2
Regular season,3.0,Sat,2020-09-12,19:00,Auxerre,0–1,Clermont Foot,,Stade de l'Abbé Deschamps,Guillaume Paradis,Match Report,,21,F2
Regular season,3.0,Mon,2020-09-14,20:45,Toulouse,0–0,Sochaux,5000.0,Stadium Municipal,Johan Hamel,Match Report,,21,F2
,,,,,,,,,,,,,21,F2
Regular season,4.0,Sat,2020-09-19,15:00,Clermont Foot,1–1,Toulouse,,Stade Gabriel Montpied,Pierre Gaillouste,Match Report,,21,F2
