Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
1.0,Fri,2021-08-13,20:30,Beşiktaş,3–0,Rizespor,,Vodafone Arena,Zorbay Küçük,Match Report,,22,T1
1.0,Sat,2021-08-14,19:15,Fatih Karagümrük,3–2,Gaziantep FK,,Atatürk Olimpiyat Stadı,Cüneyt Çakιr,Match Report,,22,T1
1.0,Sat,2021-08-14,21:45,Altay,3–0,Kayserispor,,Bornova Doğanlar Stadı,Suat Arslanboga,Match Report,,22,T1
1.0,Sat,2021-08-14,21:45,Hatayspor,1–1,Kasımpaşa,,Yeni Hatay Stadyumu,Arda Kardeşler,Match Report,,22,T1
1.0,Sun,2021-08-15,19:15,Başakşehir,0–1,Alanyaspor,,Başakşehir Fatih Terim Stadium,Yaşar Kemal Uğurlu,Match Report,,22,T1
1.0,Sun,2021-08-15,21:45,Adana Demirspor,0–1,Fenerbahçe,,Yeni Adana Stadyumu,Ali Şansalan,Match Report,,22,T1
1.0,Sun,2021-08-15,21:45,Antalyaspor,1–1,Göztepe,,Antalya Stadyumu,Yasin Kol,Match Report,,22,T1
1.0,Mon,2021-08-16,19:15,Yeni Mal'spor,1–5,Trabzonspor,,Yeni Malatya Stadyumu,Atilla Karaoğlan,Match Report,,22,T1
1.0,Mon,2021-08-16,19:15,Sivasspor,0–1,Konyaspor,,Yeni 4 Eylül Stadyumu,Fırat Aydınus,Match Report,,22,T1
1.0,Mon,2021-08-16,21:45,Giresunspor,0–2,Galatasaray,,Çotanak Stadyumu,Erkan Özdamar,Match Report,,22,T1
,,,,,,,,,,,,22,T1
2.0,Fri,2021-08-20,20:30,Kayserispor,1–1,Adana Demirspor,,Kadir Has Şehir Stadı,Tugay Kaan Numanoğlu,Match Report,,22,T1
2.0,Sat,2021-08-21,19:15,Kasımpaşa,2–0,Giresunspor,,Recep Tayyip Erdoğan Stadyumu,Ali Palabıyık,Match Report,,22,T1
2.0,Sat,2021-08-21,19:15,Rizespor,0–0,Fatih Karagümrük,,Yeni Rize Şehir Stadı,Volkan Bayarslan,Match Report,,22,T1
2.0,Sat,2021-08-21,21:45,Alanyaspor,1–4,Altay,,Bahçeşehir Okulları Stadyumu,Mete Kalkavan,Match Report,,22,T1
2.0,Sat,2021-08-21,21:45,Gaziantep FK,0–0,Beşiktaş,,Kalyon Arena,Umit Öztürk,Match Report,,22,T1
2.0,Sun,2021-08-22,19:15,Konyaspor,2–1,Başakşehir,,Konya Büyükşehir Stadı,Halis Özkahya,Match Report,,22,T1
2.0,Sun,2021-08-22,21:45,Fenerbahçe,2–0,Antalyaspor,,Ülker Stadyumu Fenerbahçe Şükrü Saracoğl...,Halil Umut Meler,Match Report,,22,T1
2.0,Sun,2021-08-22,21:45,Göztepe,0–1,Yeni Mal'spor,,Gürsel Aksel Stadyumu,Bahattin Şimşek,Match Report,,22,T1
2.0,Mon,2021-08-23,19:15,Trabzonspor,2–1,Sivasspor,,Şenol Güneş Stadyumu,Abdulkadir Bitigen,Match Report,,22,T1
2.0,Mon,2021-08-23,21:45,Galatasaray,2–1,Hatayspor,,Ali Sami Yen Stadyumu,Hüseyin Göçek,Match Report,,22,T1
,,,,,,,,,,,,22,T1
3.0,Fri,2021-08-27,20:30,Antalyaspor,3–2,Rizespor,,Antalya Stadyumu,Özgür Yankaya,Match Report,,22,T1
3.0,Fri,2021-08-27,21:45,Adana Demirspor,1–1,Konyaspor,,Yeni Adana Stadyumu,Alper Ulusoy,Match Report,,22,T1
3.0,Sat,2021-08-28,19:15,Yeni Mal'spor,2–0,Gaziantep FK,,Yeni Malatya Stadyumu,Sarper Barış Saka,Match Report,,22,T1
3.0,Sat,2021-08-28,19:15,Başakşehir,0–1,Kayserispor,,Başakşehir Fatih Terim Stadium,Mustafa Öğretmenoğlu,Match Report,,22,T1
3.0,Sat,2021-08-28,21:45,Hatayspor,5–0,Alanyaspor,,Yeni Hatay Stadyumu,Mert Güzenge,Match Report,,22,T1
3.0,Sat,2021-08-28,21:45,Beşiktaş,1–0,Fatih Karagümrük,12140.0,Vodafone Arena,Cüneyt Çakιr,Match Report,,22,T1
3.0,Sun,2021-08-29,19:15,Kasımpaşa,2–2,Galatasaray,,Recep Tayyip Erdoğan Stadyumu,Fırat Aydınus,Match Report,,22,T1
3.0,Sun,2021-08-29,19:15,Sivasspor,2–2,Göztepe,,Yeni 4 Eylül Stadyumu,Burak Şeker,Match Report,,22,T1
3.0,Sun,2021-08-29,21:45,Giresunspor,0–1,Trabzonspor,,Çotanak Stadyumu,Ali Şansalan,Match Report,,22,T1
3.0,Sun,2021-08-29,21:45,Altay,0–2,Fenerbahçe,,Bornova Doğanlar Stadı,Yaşar Kemal Uğurlu,Match Report,,22,T1
,,,,,,,,,,,,22,T1
4.0,Sat,2021-09-11,17:00,Fatih Karagümrük,4–0,Adana Demirspor,,Atatürk Olimpiyat Stadı,Umit Öztürk,Match Report,,22,T1
4.0,Sat,2021-09-11,17:00,Konyaspor,3–1,Altay,,Konya Büyükşehir Stadı,Erkan Özdamar,Match Report,,22,T1
4.0,Sat,2021-09-11,20:00,Kayserispor,2–0,Kasımpaşa,,Kadir Has Şehir Stadı,Yasin Kol,Match Report,,22,T1
4.0,Sat,2021-09-11,20:00,Beşiktaş,3–0,Yeni Mal'spor,,Vodafone Arena,Arda Kardeşler,Match Report,,22,T1
4.0,Sun,2021-09-12,17:00,Rizespor,0–2,Hatayspor,,Yeni Rize Şehir Stadı,Halil Umut Meler,Match Report,,22,T1
4.0,Sun,2021-09-12,17:00,Fenerbahçe,1–1,Sivasspor,,Ülker Stadyumu Fenerbahçe Şükrü Saracoğl...,Halis Özkahya,Match Report,,22,T1
4.0,Sun,2021-09-12,20:00,Göztepe,2–1,Başakşehir,,Gürsel Aksel Stadyumu,Tugay Kaan Numanoğlu,Match Report,,22,T1
4.0,Sun,2021-09-12,20:00,Trabzonspor,2–2,Galatasaray,,Şenol Güneş Stadyumu,Ali Palabıyık,Match Report,,22,T1
4.0,Mon,2021-09-13,20:00,Alanyaspor,1–0,Giresunspor,,Bahçeşehir Okulları Stadyumu,Zorbay Küçük,Match Report,,22,T1
4.0,Mon,2021-09-13,20:00,Gaziantep FK,2–0,Antalyaspor,,Kalyon Arena,Suat Arslanboga,Match Report,,22,T1
,,,,,,,,,,,,22,T1
5.0,Fri,2021-09-17,20:00,Altay,2–1,Göztepe,,Bornova Doğanlar Stadı,Halil Umut Meler,Match Report,,22,T1
5.0,Fri,2021-09-17,20:00,Yeni Mal'spor,3–4,Fatih Karagümrük,,Yeni Malatya Stadyumu,Hüseyin Göçek,Match Report,,22,T1
5.0,Sat,2021-09-18,13:30,Sivasspor,1–1,Gaziantep FK,,Yeni 4 Eylül Stadyumu,Atilla Karaoğlan,Match Report,,22,T1
5.0,Sat,2021-09-18,16:00,Kasımpaşa,0–1,Trabzonspor,,Recep Tayyip Erdoğan Stadyumu,Mete Kalkavan,Match Report,,22,T1
5.0,Sat,2021-09-18,19:00,Antalyaspor,2–3,Beşiktaş,,Antalya Stadyumu,Ali Şansalan,Match Report,,22,T1
5.0,Sat,2021-09-18,19:00,Adana Demirspor,3–1,Rizespor,,Yeni Adana Stadyumu,Cüneyt Çakιr,Match Report,,22,T1
5.0,Sun,2021-09-19,13:30,Giresunspor,0–0,Konyaspor,,Çotanak Stadyumu,Volkan Bayarslan,Match Report,,22,T1
5.0,Sun,2021-09-19,16:00,Galatasaray,0–1,Alanyaspor,,Ali Sami Yen Stadyumu,Abdulkadir Bitigen,Match Report,,22,T1
5.0,Sun,2021-09-19,19:00,Başakşehir,2–0,Fenerbahçe,,Başakşehir Fatih Terim Stadium,Fırat Aydınus,Match Report,,22,T1
5.0,Sun,2021-09-19,19:00,Hatayspor,2–1,Kayserispor,,Yeni Hatay Stadyumu,Alper Ulusoy,Match Report,,22,T1
,,,,,,,,,,,,22,T1
6.0,Tue,2021-09-21,17:00,Rizespor,1–2,Altay,,Yeni Rize Şehir Stadı,Umit Öztürk,Match Report,,22,T1
6.0,Tue,2021-09-21,17:00,Fatih Karagümrük,0–0,Antalyaspor,,Atatürk Olimpiyat Stadı,Arda Kardeşler,Match Report,,22,T1
6.0,Tue,2021-09-21,20:00,Beşiktaş,3–3,Adana Demirspor,,Vodafone Arena,Ali Palabıyık,Match Report,,22,T1
6.0,Tue,2021-09-21,20:00,Yeni Mal'spor,0–1,Sivasspor,,Yeni Malatya Stadyumu,Erkan Özdamar,Match Report,,22,T1
6.0,Wed,2021-09-22,17:00,Gaziantep FK,1–0,Başakşehir,,Kalyon Arena,Mete Kalkavan,Match Report,,22,T1
6.0,Wed,2021-09-22,20:00,Göztepe,0–2,Hatayspor,,Gürsel Aksel Stadyumu,Suat Arslanboga,Match Report,,22,T1
6.0,Wed,2021-09-22,20:00,Kayserispor,3–0,Galatasaray,,Kadir Has Şehir Stadı,Yaşar Kemal Uğurlu,Match Report,,22,T1
6.0,Thu,2021-09-23,17:00,Konyaspor,2–2,Trabzonspor,,Konya Büyükşehir Stadı,Halil Umut Meler,Match Report,,22,T1
6.0,Thu,2021-09-23,20:00,Alanyaspor,2–0,Kasımpaşa,,Bahçeşehir Okulları Stadyumu,Bahattin Şimşek,Match Report,,22,T1
6.0,Thu,2021-09-23,20:00,Fenerbahçe,2–1,Giresunspor,,Ülker Stadyumu Fenerbahçe Şükrü Saracoğl...,Cüneyt Çakιr,Match Report,,22,T1
,,,,,,,,,,,,22,T1
7.0,Fri,2021-09-24,20:00,Altay,2–1,Beşiktaş,,Bornova Doğanlar Stadı,Fırat Aydınus,Match Report,,22,T1
7.0,Sat,2021-09-25,13:30,Sivasspor,4–0,Fatih Karagümrük,,Yeni 4 Eylül Stadyumu,Alper Ulusoy,Match Report,,22,T1
7.0,Sat,2021-09-25,16:00,Antalyaspor,1–0,Yeni Mal'spor,,Antalya Stadyumu,Mert Güzenge,Match Report,,22,T1
7.0,Sat,2021-09-25,19:00,Adana Demirspor,4–0,Gaziantep FK,,Yeni Adana Stadyumu,Sarper Barış Saka,Match Report,,22,T1
7.0,Sun,2021-09-26,13:30,Giresunspor,1–1,Kayserispor,,Çotanak Stadyumu,Atilla Karaoğlan,Match Report,,22,T1
7.0,Sun,2021-09-26,16:00,Hatayspor,1–2,Fenerbahçe,,Yeni Hatay Stadyumu,Abdulkadir Bitigen,Match Report,,22,T1
7.0,Sun,2021-09-26,16:00,Başakşehir,3–0,Rizespor,,Başakşehir Fatih Terim Stadium,Arda Kardeşler,Match Report,,22,T1
7.0,Sun,2021-09-26,19:00,Galatasaray,2–1,Göztepe,,Ali Sami Yen Stadyumu,Ali Şansalan,Match Report,,22,T1
7.0,Mon,2021-09-27,20:00,Kasımpaşa,2–2,Konyaspor,,Recep Tayyip Erdoğan Stadyumu,Tugay Kaan Numanoğlu,Match Report,,22,T1
7.0,Mon,2021-09-27,20:00,Trabzonspor,1–1,Alanyaspor,,Şenol Güneş Stadyumu,Halis Özkahya,Match Report,,22,T1
,,,,,,,,,,,,22,T1
8.0,Fri,2021-10-01,20:00,Fatih Karagümrük,3–1,Başakşehir,,Atatürk Olimpiyat Stadı,Erkan Özdamar,Match Report,,22,T1
8.0,Fri,2021-10-01,20:00,Antalyaspor,1–2,Adana Demirspor,,Antalya Stadyumu,Volkan Bayarslan,Match Report,,22,T1
8.0,Sat,2021-10-02,13:30,Konyaspor,1–1,Alanyaspor,,Konya Büyükşehir Stadı,Mert Güzenge,Match Report,,22,T1
8.0,Sat,2021-10-02,16:00,Göztepe,0–1,Giresunspor,,Gürsel Aksel Stadyumu,Burak Şeker,Match Report,,22,T1
8.0,Sat,2021-10-02,16:00,Kayserispor,1–2,Trabzonspor,,Kadir Has Şehir Stadı,Tugay Kaan Numanoğlu,Match Report,,22,T1
8.0,Sat,2021-10-02,19:00,Beşiktaş,2–1,Sivasspor,,Vodafone Arena,Yaşar Kemal Uğurlu,Match Report,,22,T1
8.0,Sun,2021-10-03,13:30,Yeni Mal'spor,0–2,Hatayspor,,Yeni Malatya Stadyumu,Halil Umut Meler,Match Report,,22,T1
8.0,Sun,2021-10-03,16:00,Gaziantep FK,4–1,Altay,,Kalyon Arena,Bahattin Şimşek,Match Report,,22,T1
8.0,Sun,2021-10-03,16:00,Fenerbahçe,2–1,Kasımpaşa,,Ülker Stadyumu Fenerbahçe Şükrü Saracoğl...,Atilla Karaoğlan,Match Report,,22,T1
8.0,Sun,2021-10-03,19:00,Rizespor,2–3,Galatasaray,,Yeni Rize Şehir Stadı,Ali Palabıyık,Match Report,,22,T1
,,,,,,,,,,,,22,T1
9.0,Fri,2021-10-15,20:00,Başakşehir,3–2,Beşiktaş,,Başakşehir Fatih Terim Stadium,Atilla Karaoğlan,Match Report,,22,T1
9.0,Sat,2021-10-16,13:30,Giresunspor,2–0,Rizespor,,Çotanak Stadyumu,Erkan Özdamar,Match Report,,22,T1
9.0,Sat,2021-10-16,16:00,Sivasspor,2–2,Antalyaspor,,Yeni 4 Eylül Stadyumu,Mete Kalkavan,Match Report,,22,T1
9.0,Sat,2021-10-16,19:00,Adana Demirspor,0–2,Yeni Mal'spor,,Yeni Adana Stadyumu,Fırat Aydınus,Match Report,,22,T1
9.0,Sun,2021-10-17,13:30,Kasımpaşa,1–2,Göztepe,,Recep Tayyip Erdoğan Stadyumu,Cüneyt Çakιr,Match Report,,22,T1
9.0,Sun,2021-10-17,16:00,Altay,0–1,Fatih Karagümrük,,Bornova Doğanlar Stadı,Suat Arslanboga,Match Report,,22,T1
9.0,Sun,2021-10-17,16:00,Galatasaray,1–0,Konyaspor,,Ali Sami Yen Stadyumu,Arda Kardeşler,Match Report,,22,T1
9.0,Sun,2021-10-17,19:00,Trabzonspor,3–1,Fenerbahçe,,Şenol Güneş Stadyumu,Ali Şansalan,Match Report,,22,T1
9.0,Mon,2021-10-18,20:00,Hatayspor,2–1,Gaziantep FK,,Yeni Hatay Stadyumu,Zorbay Küçük,Match Report,,22,T1
