Round,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
Regular season,1.0,Fri,2019-08-02,19:45,Luton Town,1.9,3–3,1.5,Middlesbrough,10053.0,Kenilworth Road Stadium,Oliver Langford,Match Report,,20,E2
Regular season,1.0,Sat,2019-08-03,15:00,Barnsley,2.0,1–0,1.4,Fulham,14823.0,Oakwell Stadium,Andrew Davies,Match Report,,20,E2
Regular season,1.0,Sat,2019-08-03,15:00,Blackburn,0.9,1–2,1.5,Charlton Ath,14184.0,Ewood Park,Andy Woolmer,Match Report,,20,E2
Regular season,1.0,Sat,2019-08-03,15:00,Reading,1.4,1–3,1.5,Sheffield Weds,16319.0,Madejski Stadium,James Linington,Match Report,,20,E2
Regular season,1.0,Sat,2019-08-03,15:00,Brentford,1.7,0–1,0.0,Birmingham City,11332.0,Griffin Park,Gavin Ward,Match Report,,20,E2
Regular season,1.0,Sat,2019-08-03,15:00,Millwall,0.6,1–0,0.6,Preston,14923.0,The Den,Steve Martin,Match Report,,20,E2
Regular season,1.0,Sat,2019-08-03,15:00,Stoke City,0.9,1–2,1.6,QPR,24004.0,Bet365 Stadium,Darren Bond,Match Report,,20,E2
Regular season,1.0,Sat,2019-08-03,15:00,Swansea City,1.8,2–1,0.6,Hull City,15741.0,Liberty Stadium,John Brooks,Match Report,,20,E2
Regular season,1.0,Sat,2019-08-03,15:00,Wigan Athletic,1.9,3–2,1.2,Cardiff City,12169.0,The DW Stadium,David Webb,Match Report,,20,E2
Regular season,1.0,Sat,2019-08-03,17:30,Nott'ham Forest,0.7,1–2,0.5,West Brom,27592.0,The City Ground,Darren England,Match Report,,20,E2
Regular season,1.0,Sun,2019-08-04,16:30,Bristol City,0.8,1–3,2.0,Leeds United,23553.0,Ashton Gate Stadium,Tim Robinson,Match Report,,20,E2
Regular season,1.0,Mon,2019-08-05,19:45,Huddersfield,1.9,1–2,0.5,Derby County,22596.0,The John Smith's Stadium,Geoff Eltringham,Match Report,,20,E2
,,,,,,,,,,,,,,,20,E2
Regular season,2.0,Sat,2019-08-10,12:30,Leeds United,1.9,1–1,1.1,Nott'ham Forest,35453.0,Elland Road,Robert Jones,Match Report,,20,E2
Regular season,2.0,Sat,2019-08-10,15:00,West Brom,0.9,1–1,1.0,Millwall,24305.0,The Hawthorns,David Webb,Match Report,,20,E2
Regular season,2.0,Sat,2019-08-10,15:00,Sheffield Weds,1.6,2–0,1.2,Barnsley,28028.0,Hillsborough Stadium,Tony Harrington,Match Report,,20,E2
Regular season,2.0,Sat,2019-08-10,15:00,Cardiff City,2.1,2–1,0.6,Luton Town,24724.0,Cardiff City Stadium,Darren Bond,Match Report,,20,E2
Regular season,2.0,Sat,2019-08-10,15:00,Charlton Ath,0.3,3–1,1.2,Stoke City,17848.0,The Valley,Simon Hooper,Match Report,,20,E2
Regular season,2.0,Sat,2019-08-10,15:00,Hull City,1.6,2–1,1.4,Reading,10673.0,Kingston Communications Stadium,Matt Donohue,Match Report,,20,E2
Regular season,2.0,Sat,2019-08-10,15:00,Preston,1.3,3–0,0.9,Wigan Athletic,14789.0,Deepdale Stadium,Jeremy Simpson,Match Report,,20,E2
Regular season,2.0,Sat,2019-08-10,15:00,Middlesbrough,0.7,0–1,1.2,Brentford,21911.0,Riverside Stadium,Steve Martin,Match Report,,20,E2
Regular season,2.0,Sat,2019-08-10,15:00,Birmingham City,0.9,1–1,1.7,Bristol City,21808.0,St Andrew's Trillion Trophy Stadium,Oliver Langford,Match Report,,20,E2
Regular season,2.0,Sat,2019-08-10,15:00,QPR,1.1,1–1,1.2,Huddersfield,14377.0,Kiyan Prince Foundation Stadium,Dean Whitestone,Match Report,,20,E2
Regular season,2.0,Sat,2019-08-10,15:00,Fulham,1.6,2–0,0.5,Blackburn,17987.0,Craven Cottage,Keith Stroud,Match Report,,20,E2
Regular season,2.0,Sat,2019-08-10,15:00,Derby County,1.8,0–0,0.7,Swansea City,27337.0,iPro Stadium,Jarred Gillett,Match Report,,20,E2
,,,,,,,,,,,,,,,20,E2
Regular season,3.0,Fri,2019-08-16,19:45,Huddersfield,0.5,1–2,2.2,Fulham,20775.0,The John Smith's Stadium,James Linington,Match Report,,20,E2
Regular season,3.0,Sat,2019-08-17,15:00,Swansea City,0.8,3–2,1.7,Preston,15250.0,Liberty Stadium,Dean Whitestone,Match Report,,20,E2
Regular season,3.0,Sat,2019-08-17,15:00,Wigan Athletic,0.4,0–2,3.3,Leeds United,14819.0,The DW Stadium,Andy Madley,Match Report,,20,E2
Regular season,3.0,Sat,2019-08-17,15:00,Brentford,1.3,1–1,1.5,Hull City,11000.0,Griffin Park,Darren England,Match Report,,20,E2
Regular season,3.0,Sat,2019-08-17,15:00,Stoke City,2.5,2–2,1.6,Derby County,23863.0,Bet365 Stadium,Tim Robinson,Match Report,,20,E2
Regular season,3.0,Sat,2019-08-17,15:00,Blackburn,2.2,1–0,0.7,Middlesbrough,14012.0,Ewood Park,Jarred Gillett,Match Report,,20,E2
Regular season,3.0,Sat,2019-08-17,15:00,Barnsley,0.8,2–2,2.2,Charlton Ath,13006.0,Oakwell Stadium,Matt Donohue,Match Report,,20,E2
Regular season,3.0,Sat,2019-08-17,15:00,Luton Town,0.6,1–2,1.9,West Brom,10059.0,Kenilworth Road Stadium,Andy Woolmer,Match Report,,20,E2
Regular season,3.0,Sat,2019-08-17,15:00,Nott'ham Forest,2.2,3–0,0.4,Birmingham City,27281.0,The City Ground,Tony Harrington,Match Report,,20,E2
Regular season,3.0,Sat,2019-08-17,15:00,Bristol City,1.0,2–0,1.5,QPR,21654.0,Ashton Gate Stadium,Robert Jones,Match Report,,20,E2
Regular season,3.0,Sat,2019-08-17,15:00,Millwall,0.2,1–0,1.1,Sheffield Weds,15017.0,The Den,Gavin Ward,Match Report,,20,E2
Regular season,3.0,Sun,2019-08-18,12:00,Reading,2.3,3–0,0.7,Cardiff City,14252.0,Madejski Stadium,Andrew Davies,Match Report,,20,E2
,,,,,,,,,,,,,,,20,E2
Regular season,4.0,Tue,2019-08-20,19:45,Hull City,1.6,0–1,1.6,Blackburn,10240.0,Kingston Communications Stadium,Jeremy Simpson,Match Report,,20,E2
Regular season,4.0,Tue,2019-08-20,19:45,Birmingham City,1.7,2–0,0.3,Barnsley,20061.0,St Andrew's Trillion Trophy Stadium,Geoff Eltringham,Match Report,,20,E2
