Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
Regular season,5.0,Sun,2018-08-26,20:00,Genk,3–2,Waasland-Bev,16544.0,Luminus Arena,Wesley Alen,Match Report,,19,B1
,,,,,,,,,,,,,19,B1
Regular season,6.0,Fri,2018-08-31,20:30,Zulte Waregem,2–5,Club Brugge,9210.0,Regenboogstadion,Nicolas Laforge,Match Report,,19,B1
Regular season,6.0,Sat,2018-09-01,18:00,Eupen,2–1,Standard Liège,5522.0,Stadion am Kehrweg,Bram Van Driessche,Match Report,,19,B1
Regular season,6.0,Sat,2018-09-01,20:00,Lokeren,1–0,Waasland-Bev,4854.0,Daknamstadion,Lawrence Visser,Match Report,,19,B1
Regular season,6.0,Sat,2018-09-01,20:00,Sint-Truiden,1–0,Oostende,4619.0,Stayen,Christof Dierick,Match Report,,19,B1
Regular season,6.0,Sat,2018-09-01,20:30,Charleroi,3–1,Excel Mouscron,7823.0,Daknamstadion,Jonathan Lardot,Match Report,,19,B1
Regular season,6.0,Sun,2018-09-02,14:30,Anderlecht,1–1,Antwerp,20364.0,Stade Constant Vanden Stock,Wim Smet,Match Report,,19,B1
Regular season,6.0,Sun,2018-09-02,18:00,Cercle Brugge,0–3,Gent,6978.0,Jan Breydelstadion,Nathan Verboomen,Match Report,,19,B1
Regular season,6.0,Sun,2018-09-02,20:00,Kortrijk,3–3,Genk,5185.0,Guldensporenstadion,Sébastien Delferière,Match Report,,19,B1
,,,,,,,,,,,,,19,B1
Regular season,7.0,Fri,2018-09-14,20:30,Club Brugge,2–1,Lokeren,26170.0,Jan Breydelstadion,Christof Dierick,Match Report,,19,B1
Regular season,7.0,Sat,2018-09-15,18:00,Standard Liège,0–0,Charleroi,21270.0,Stade Maurice Dufrasne,Lawrence Visser,Match Report,,19,B1
Regular season,7.0,Sat,2018-09-15,20:00,Oostende,1–1,Cercle Brugge,5445.0,Versluys Arena,Jonathan Lardot,Match Report,,19,B1
Regular season,7.0,Sat,2018-09-15,20:00,Waasland-Bev,0–0,Eupen,3049.0,Freethiel-Stadion,Kevin Van Damme,Match Report,,19,B1
Regular season,7.0,Sat,2018-09-15,20:30,Genk,1–0,Anderlecht,20850.0,Luminus Arena,Erik Lambrechts,Match Report,,19,B1
Regular season,7.0,Sun,2018-09-16,14:30,Excel Mouscron,1–0,Kortrijk,3248.0,Stade Le Canonnier,Nicolas Laforge,Match Report,,19,B1
Regular season,7.0,Sun,2018-09-16,18:00,Antwerp,5–1,Zulte Waregem,11799.0,Bosuilstadion,Alexandre Boucaut,Match Report,,19,B1
Regular season,7.0,Sun,2018-09-16,20:00,Gent,1–2,Sint-Truiden,14369.0,GHELAMCO-arena,Jan Boterberg,Match Report,,19,B1
,,,,,,,,,,,,,19,B1
Regular season,8.0,Fri,2018-09-21,20:30,Zulte Waregem,0–2,Kortrijk,7885.0,Regenboogstadion,Wim Smet,Match Report,,19,B1
Regular season,8.0,Sat,2018-09-22,18:00,Waasland-Bev,1–1,Charleroi,3038.0,Freethiel-Stadion,Nathan Verboomen,Match Report,,19,B1
Regular season,8.0,Sat,2018-09-22,20:00,Eupen,1–2,Oostende,2161.0,Stadion am Kehrweg,Lothar D'Hondt,Match Report,,19,B1
Regular season,8.0,Sat,2018-09-22,20:00,Lokeren,0–0,Excel Mouscron,3166.0,Daknamstadion,Bart Vertenten,Match Report,,19,B1
Regular season,8.0,Sat,2018-09-22,20:30,Sint-Truiden,2–0,Antwerp,7133.0,Stayen,Erik Lambrechts,Match Report,,19,B1
Regular season,8.0,Sun,2018-09-23,14:30,Gent,0–4,Club Brugge,18192.0,GHELAMCO-arena,Jonathan Lardot,Match Report,,19,B1
Regular season,8.0,Sun,2018-09-23,18:00,Anderlecht,2–1,Standard Liège,20295.0,Stade Constant Vanden Stock,Sébastien Delferière,Match Report,,19,B1
Regular season,8.0,Sun,2018-09-23,20:00,Cercle Brugge,2–5,Genk,4973.0,Jan Breydelstadion,Alexandre Boucaut,Match Report,,19,B1
,,,,,,,,,,,,,19,B1
Regular season,9.0,Fri,2018-09-28,20:30,Kortrijk,1–3,Eupen,4897.0,Guldensporenstadion,Jan Boterberg,Match Report,,19,B1
Regular season,9.0,Sat,2018-09-29,18:00,Genk,4–0,Zulte Waregem,16150.0,Luminus Arena,Nathan Verboomen,Match Report,,19,B1
Regular season,9.0,Sat,2018-09-29,20:00,Excel Mouscron,0–3,Waasland-Bev,2047.0,Stade Le Canonnier,Bert Put,Match Report,,19,B1
Regular season,9.0,Sat,2018-09-29,20:00,Charleroi,2–1,Lokeren,7788.0,Stade du Pays de Charleroi,Nicolas Laforge,Match Report,,19,B1
Regular season,9.0,Sat,2018-09-29,20:30,Club Brugge,4–0,Cercle Brugge,24679.0,Jan Breydelstadion,Lawrence Visser,Match Report,,19,B1
Regular season,9.0,Sun,2018-09-30,14:30,Anderlecht,0–0,Sint-Truiden,18722.0,Stade Constant Vanden Stock,Bram Van Driessche,Match Report,,19,B1
Regular season,9.0,Sun,2018-09-30,18:00,Oostende,1–3,Standard Liège,5423.0,Versluys Arena,Christof Dierick,Match Report,,19,B1
Regular season,9.0,Sun,2018-09-30,20:00,Antwerp,2–2,Gent,13327.0,Bosuilstadion,Bart Vertenten,Match Report,,19,B1
,,,,,,,,,,,,,19,B1
Regular season,10.0,Fri,2018-10-05,20:30,Cercle Brugge,2–1,Charleroi,4796.0,Jan Breydelstadion,Wim Smet,Match Report,,19,B1
Regular season,10.0,Sat,2018-10-06,18:00,Eupen,1–2,Antwerp,3808.0,Stadion am Kehrweg,Bert Put,Match Report,,19,B1
Regular season,10.0,Sat,2018-10-06,20:00,Lokeren,1–3,Kortrijk,3250.0,Daknamstadion,Alexandre Boucaut,Match Report,,19,B1
Regular season,10.0,Sat,2018-10-06,20:00,Sint-Truiden,3–1,Excel Mouscron,6196.0,Stayen,Kevin Van Damme,Match Report,,19,B1
Regular season,10.0,Sat,2018-10-06,20:30,Waasland-Bev,1–1,Oostende,2975.0,Freethiel-Stadion,Erik Lambrechts,Match Report,,19,B1
Regular season,10.0,Sun,2018-10-07,14:30,Zulte Waregem,1–2,Anderlecht,7932.0,Regenboogstadion,Jonathan Lardot,Match Report,,19,B1
Regular season,10.0,Sun,2018-10-07,18:00,Standard Liège,3–1,Club Brugge,22292.0,Stade Maurice Dufrasne,Bart Vertenten,Match Report,,19,B1
Regular season,10.0,Sun,2018-10-07,20:00,Gent,1–5,Genk,15723.0,GHELAMCO-arena,Lawrence Visser,Match Report,,19,B1
,,,,,,,,,,,,,19,B1
