Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
1.0,Fri,2019-08-16,20:30,Denizlispor,2–0,Galatasaray,13666.0,Denizli Atatürk Stadyumu,Abdulkadir Bitigen,Match Report,,20,T1
1.0,Sat,2019-08-17,19:15,Gençlerbirliği,0–1,Rizespor,,Eryaman Stadyumu,Bahattin Şimşek,Match Report,,20,T1
1.0,Sat,2019-08-17,21:45,Kayserispor,0–1,Alanyaspor,,Kadir Has Şehir Stadı,Tugay Kaan Numanoğlu,Match Report,,20,T1
1.0,Sat,2019-08-17,21:45,Sivasspor,3–0,Beşiktaş,,Sivas Arena,Mustafa Ogretmenoglu,Match Report,,20,T1
1.0,Sun,2019-08-18,19:15,Konyaspor,0–0,Ankaragücü,,Konya Büyükşehir Stadı,Bülent Birincioğlu,Match Report,,20,T1
1.0,Sun,2019-08-18,21:45,Göztepe,0–1,Antalyaspor,,Bornova Doğanlar Stadı,Zorbay Küçük,Match Report,,20,T1
1.0,Sun,2019-08-18,21:45,Yeni Mal'spor,3–0,Başakşehir,,Yeni Malatya Stadyumu,Hüseyin Göçek,Match Report,,20,T1
1.0,Sun,2019-08-18,21:45,Kasımpaşa,1–1,Trabzonspor,,Recep Tayyip Erdoğan Stadyumu,Cüneyt Çakιr,Match Report,,20,T1
1.0,Mon,2019-08-19,20:00,Fenerbahçe,5–0,Gaziantep FK,,Ülker Stadyumu Fenerbahçe Şükrü Saracoğl...,Arda Kardeşler,Match Report,,20,T1
,,,,,,,,,,,,20,T1
2.0,Fri,2019-08-23,20:30,Beşiktaş,3–0,Göztepe,,Vodafone Arena,Ali Palabıyık,Match Report,,20,T1
2.0,Sat,2019-08-24,19:15,Ankaragücü,1–1,Kayserispor,,Eryaman Stadyumu,Ali Şansalan,Match Report,,20,T1
2.0,Sat,2019-08-24,21:45,Alanyaspor,4–1,Kasımpaşa,,Bahçeşehir Okulları Stadyumu,Serkan Tokat,Match Report,,20,T1
2.0,Sat,2019-08-24,21:45,Başakşehir,1–2,Fenerbahçe,,Başakşehir Fatih Terim Stadium,Halil Meler,Match Report,,20,T1
2.0,Sun,2019-08-25,19:15,Rizespor,2–1,Sivasspor,,Yeni Rize Şehir Stadı,Fırat Aydınus,Match Report,,20,T1
2.0,Sun,2019-08-25,19:15,Trabzonspor,2–1,Yeni Mal'spor,,Şenol Güneş Stadyumu,Koray Gençerler,Match Report,,20,T1
2.0,Sun,2019-08-25,21:45,Antalyaspor,0–2,Denizlispor,,Antalya 100.yıl Stadyumu,Volkan Bayarslan,Match Report,,20,T1
2.0,Sun,2019-08-25,21:45,Galatasaray,1–1,Konyaspor,,Türk Telekom Arena,Mete Kalkavan,Match Report,,20,T1
2.0,Mon,2019-08-26,20:00,Gaziantep FK,4–1,Gençlerbirliği,,Kalyon Arena,Atilla Karaoğlan,Match Report,,20,T1
,,,,,,,,,,,,20,T1
3.0,Fri,2019-08-30,20:30,Kayserispor,2–3,Galatasaray,,Kadir Has Şehir Stadı,Mustafa Ogretmenoglu,Match Report,,20,T1
3.0,Fri,2019-08-30,20:30,Kasımpaşa,0–1,Ankaragücü,,Recep Tayyip Erdoğan Stadyumu,Zorbay Küçük,Match Report,,20,T1
3.0,Sat,2019-08-31,19:15,Konyaspor,2–2,Antalyaspor,,Konya Büyükşehir Stadı,Umit Öztürk,Match Report,,20,T1
3.0,Sat,2019-08-31,21:45,Göztepe,0–0,Denizlispor,,Bornova Doğanlar Stadı,Suat Arslanboga,Match Report,,20,T1
3.0,Sat,2019-08-31,21:45,Beşiktaş,1–1,Rizespor,,Vodafone Arena,Yaşar Kemal Uğurlu,Match Report,,20,T1
3.0,Sun,2019-09-01,19:15,Gençlerbirliği,1–2,Başakşehir,,Eryaman Stadyumu,Cüneyt Çakιr,Match Report,,20,T1
3.0,Sun,2019-09-01,19:15,Sivasspor,1–1,Gaziantep FK,,Sivas Arena,Hüseyin Göçek,Match Report,,20,T1
3.0,Sun,2019-09-01,21:45,Yeni Mal'spor,2–3,Alanyaspor,,Yeni Malatya Stadyumu,Alper Ulusoy,Match Report,,20,T1
3.0,Sun,2019-09-01,21:45,Fenerbahçe,1–1,Trabzonspor,43478.0,Ülker Stadyumu Fenerbahçe Şükrü Saracoğl...,Fırat Aydınus,Match Report,,20,T1
,,,,,,,,,,,,20,T1
4.0,Fri,2019-09-13,20:30,Galatasaray,1–0,Kasımpaşa,,Türk Telekom Arena,Ali Palabıyık,Match Report,,20,T1
