Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
5.0,Sun,2017-09-10,16:00,Vitória Setúbal,2–0,Braga,2636.0,Estádio Dom Afonso Henriques,Luís Ferreira,Match Report,,18,P1
5.0,Sun,2017-09-10,18:00,Vitória,1–0,Boavista,17426.0,Estádio do Bonfim,Jorge de Sousa,Match Report,,18,P1
5.0,Sun,2017-09-10,20:15,Estoril,0–2,Moreirense,1157.0,Estádio António Coimbra da Mota,João Santos Capela,Match Report,,18,P1
5.0,Mon,2017-09-11,20:00,Aves,2–1,Belenenses,1627.0,Estádio Clube Desportivo das Aves,João Pedro Pinheiro,Match Report,,18,P1
,,,,,,,,,,,,18,P1
6.0,Fri,2017-09-15,20:30,Paços,1–0,Vitória Setúbal,2492.0,Estádio da Capital do Móvel,Vitor Ferreira Fernandes,Match Report,,18,P1
6.0,Sat,2017-09-16,16:00,Marítimo,2–1,Aves,6447.0,Estádio dos Barreiros,Carlos Taborda Xistra,Match Report,,18,P1
6.0,Sat,2017-09-16,18:15,Boavista,2–1,Benfica,12312.0,Estádio do Bessa Século XXI,Artur Soares Dias,Match Report,,18,P1
6.0,Sat,2017-09-16,20:30,Sporting CP,2–0,Tondela,42401.0,Estádio José Alvalade,Manuel Oliveira,Match Report,,18,P1
6.0,Sun,2017-09-17,16:00,Belenenses,2–1,Estoril,2094.0,Estádio do Restelo,Nuno Almeida,Match Report,,18,P1
6.0,Sun,2017-09-17,18:00,Rio Ave,1–2,Porto,8052.0,Estádio do Rio Ave Futebol Clube,Jorge de Sousa,Match Report,,18,P1
6.0,Sun,2017-09-17,20:15,Braga,2–1,Vitória,14185.0,Estádio Municipal de Bragança,Rui Costa,Match Report,,18,P1
6.0,Mon,2017-09-18,19:00,Portimonense,2–1,Feirense,2127.0,Estádio do Portimonense SC,Bruno Duarte Paixão,Match Report,,18,P1
6.0,Mon,2017-09-18,21:00,Chaves,3–0,Moreirense,2818.0,Estádio Municipal Eng. Manuel Branco Tei...,João Pedro Pinheiro,Match Report,,18,P1
,,,,,,,,,,,,18,P1
7.0,Fri,2017-09-22,20:30,Porto,5–2,Portimonense,38105.0,Estádio Do Dragão,Luís Ferreira,Match Report,,18,P1
7.0,Sat,2017-09-23,16:00,Estoril,0–2,Chaves,1563.0,Estádio António Coimbra da Mota,Artur Soares Dias,Match Report,,18,P1
7.0,Sat,2017-09-23,18:15,Moreirense,1–1,Sporting CP,3976.0,P.D. Comendador Joaquim de Almeida Freit...,Luís Godinho,Match Report,,18,P1
7.0,Sat,2017-09-23,20:30,Benfica,2–0,Paços,47309.0,Estádio do Sport Lisboa e Benfica,Carlos Taborda Xistra,Match Report,,18,P1
7.0,Sun,2017-09-24,16:00,Vitória,2–1,Marítimo,18019.0,Estádio do Bonfim,Fábio Costa,Match Report,,18,P1
7.0,Sun,2017-09-24,16:00,Feirense,1–4,Belenenses,2813.0,Estádio Marcolino de Castro,Bruno Alexandre Da Silva Esteves,Match Report,,18,P1
7.0,Sun,2017-09-24,18:00,Tondela,1–2,Braga,1921.0,Estádio João Cardoso,Tiago Martins,Match Report,,18,P1
7.0,Sun,2017-09-24,20:15,Aves,0–0,Rio Ave,1896.0,Estádio Clube Desportivo das Aves,António Nobre,Match Report,,18,P1
