Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
1.0,Fri,2018-08-10,21:45,Ankaragücü,1–3,Galatasaray,,Osmanlı Stadı,Umit Öztürk,Match Report,,19,T1
1.0,Sat,2018-08-11,19:30,Rizespor,2–3,Kasımpaşa,,Yeni Rize Şehir Stadı,Cüneyt Çakιr,Match Report,,19,T1
1.0,Sat,2018-08-11,19:30,Sivasspor,1–0,Alanyaspor,,Sivas Arena,Arda Kardeşler,Match Report,,19,T1
1.0,Sat,2018-08-11,21:45,Fenerbahçe,2–1,Bursaspor,,Ülker Stadyumu Fenerbahçe Şükrü Saracoğl...,Halil Meler,Match Report,,19,T1
1.0,Sun,2018-08-12,19:30,Başakşehir,2–0,Trabzonspor,,Başakşehir Fatih Terim Stadium,Fırat Aydınus,Match Report,,19,T1
1.0,Sun,2018-08-12,19:30,Konyaspor,3–2,BB Erzurumspor,,Konya Büyükşehir Stadı,Suat Arslanboga,Match Report,,19,T1
1.0,Sun,2018-08-12,21:45,Beşiktaş,2–1,Akhisarspor,,Vodafone Arena,Bülent Yıldırım,Match Report,,19,T1
1.0,Sun,2018-08-12,21:45,Göztepe,1–3,Yeni Mal'spor,,Bornova Doğanlar Stadı,Özgür Yankaya,Match Report,,19,T1
1.0,Mon,2018-08-13,21:45,Kayserispor,2–0,Antalyaspor,,Kadir Has Şehir Stadı,Hüseyin Göçek,Match Report,,19,T1
,,,,,,,,,,,,19,T1
2.0,Fri,2018-08-17,21:45,Trabzonspor,3–1,Sivasspor,,Şenol Güneş Stadyumu,Yaşar Kemal Uğurlu,Match Report,,19,T1
2.0,Sat,2018-08-18,19:15,Bursaspor,0–0,Kayserispor,,Timsah Arena,Mete Kalkavan,Match Report,,19,T1
2.0,Sat,2018-08-18,21:45,Antalyaspor,3–3,Konyaspor,,Antalya 100.yıl Stadyumu,Alper Ulusoy,Match Report,,19,T1
2.0,Sat,2018-08-18,21:45,Yeni Mal'spor,1–0,Fenerbahçe,,Yeni Malatya Stadyumu,Fırat Aydınus,Match Report,,19,T1
2.0,Sun,2018-08-19,19:15,BB Erzurumspor,1–3,Beşiktaş,,Kazım Karabekir Stadyumu,Umit Öztürk,Match Report,,19,T1
2.0,Sun,2018-08-19,19:15,Akhisarspor,1–1,Rizespor,,Spor Toto Akhisar Stadyumu,Serkan Çınar,Match Report,,19,T1
2.0,Sun,2018-08-19,21:45,Galatasaray,1–0,Göztepe,,Türk Telekom Arena,Ali Palabıyık,Match Report,,19,T1
2.0,Sun,2018-08-19,21:45,Alanyaspor,0–2,Ankaragücü,,Bahçeşehir Okulları Stadyumu,Ali Şansalan,Match Report,,19,T1
2.0,Mon,2018-08-20,21:45,Kasımpaşa,2–1,Başakşehir,,Recep Tayyip Erdoğan Stadyumu,Halis Özkahya,Match Report,,19,T1
,,,,,,,,,,,,19,T1
3.0,Fri,2018-08-24,19:15,Rizespor,0–0,BB Erzurumspor,,Yeni Rize Şehir Stadı,Yaşar Kemal Uğurlu,Match Report,,19,T1
3.0,Sat,2018-08-25,19:15,Ankaragücü,2–2,Trabzonspor,9627.0,Osmanlı Stadı,Mete Kalkavan,Match Report,,19,T1
3.0,Sat,2018-08-25,21:45,Göztepe,1–0,Fenerbahçe,,Bornova Doğanlar Stadı,Cüneyt Çakιr,Match Report,,19,T1
3.0,Sat,2018-08-25,21:45,Kayserispor,0–0,Yeni Mal'spor,,Kadir Has Şehir Stadı,Alper Ulusoy,Match Report,,19,T1
3.0,Sun,2018-08-26,19:15,Sivasspor,0–3,Kasımpaşa,,4 Eylül Stadi,Hüseyin Göçek,Match Report,,19,T1
3.0,Sun,2018-08-26,21:45,Konyaspor,1–1,Bursaspor,,Konya Büyükşehir Stadı,Mustafa Ogretmenoglu,Match Report,,19,T1
3.0,Sun,2018-08-26,21:45,Beşiktaş,2–3,Antalyaspor,,Vodafone Arena,Halis Özkahya,Match Report,,19,T1
3.0,Mon,2018-08-27,19:15,Başakşehir,3–1,Akhisarspor,,Başakşehir Fatih Terim Stadium,Ali Palabıyık,Match Report,,19,T1
3.0,Mon,2018-08-27,21:45,Galatasaray,6–0,Alanyaspor,,Türk Telekom Arena,Halil Meler,Match Report,,19,T1
,,,,,,,,,,,,19,T1
4.0,Fri,2018-08-31,21:45,Yeni Mal'spor,0–1,Konyaspor,,Yeni Malatya Stadyumu,Hüseyin Göçek,Match Report,,19,T1
4.0,Sat,2018-09-01,19:15,Fenerbahçe,2–3,Kayserispor,,Ülker Stadyumu Fenerbahçe Şükrü Saracoğl...,Umit Öztürk,Match Report,,19,T1
4.0,Sat,2018-09-01,19:15,Akhisarspor,1–1,Sivasspor,,Spor Toto Akhisar Stadyumu,Bahattin Şimşek,Match Report,,19,T1
4.0,Sat,2018-09-01,21:45,Trabzonspor,4–0,Galatasaray,,Şenol Güneş Stadyumu,Fırat Aydınus,Match Report,,19,T1
4.0,Sat,2018-09-01,21:45,Alanyaspor,1–0,Göztepe,,Bahçeşehir Okulları Stadyumu,Yaşar Kemal Uğurlu,Match Report,,19,T1
4.0,Sun,2018-09-02,19:15,Kasımpaşa,2–1,Ankaragücü,,Recep Tayyip Erdoğan Stadyumu,Arda Kardeşler,Match Report,,19,T1
4.0,Sun,2018-09-02,19:15,BB Erzurumspor,0–1,Başakşehir,,Kazım Karabekir Stadyumu,Bülent Yıldırım,Match Report,,19,T1
4.0,Sun,2018-09-02,21:45,Antalyaspor,2–1,Rizespor,,Antalya Atatürk Stadyumu,Ali Palabıyık,Match Report,,19,T1
4.0,Sun,2018-09-02,21:45,Bursaspor,1–1,Beşiktaş,,Timsah Arena,Cüneyt Çakιr,Match Report,,19,T1
,,,,,,,,,,,,19,T1
5.0,Fri,2018-09-14,21:00,Galatasaray,4–1,Kasımpaşa,,Türk Telekom Arena,Bülent Yıldırım,Match Report,,19,T1
5.0,Sat,2018-09-15,17:00,Ankaragücü,1–0,Akhisarspor,,Osmanlı Stadı,Volkan Bayarslan,Match Report,,19,T1
5.0,Sat,2018-09-15,20:00,Beşiktaş,2–1,Yeni Mal'spor,,Vodafone Arena,Halil Meler,Match Report,,19,T1
5.0,Sat,2018-09-15,20:00,Göztepe,2–0,Kayserispor,,Bornova Doğanlar Stadı,Arda Kardeşler,Match Report,,19,T1
5.0,Sun,2018-09-16,17:00,Sivasspor,2–2,BB Erzurumspor,,Sivas Arena,Mete Kalkavan,Match Report,,19,T1
5.0,Sun,2018-09-16,17:00,Başakşehir,4–0,Antalyaspor,,Başakşehir Fatih Terim Stadium,Alper Ulusoy,Match Report,,19,T1
5.0,Sun,2018-09-16,20:00,Rizespor,1–1,Bursaspor,,Yeni Rize Şehir Stadı,Suat Arslanboga,Match Report,,19,T1
5.0,Sun,2018-09-16,20:00,Konyaspor,0–1,Fenerbahçe,,Konya Büyükşehir Stadı,Ali Palabıyık,Match Report,,19,T1
5.0,Mon,2018-09-17,20:00,Alanyaspor,1–0,Trabzonspor,,Bahçeşehir Okulları Stadyumu,Halis Kucukerbir,Match Report,,19,T1
,,,,,,,,,,,,19,T1
6.0,Fri,2018-09-21,20:00,Bursaspor,0–0,Başakşehir,,Timsah Arena,Umit Öztürk,Match Report,,19,T1
6.0,Fri,2018-09-21,20:00,BB Erzurumspor,0–1,Ankaragücü,,Kazım Karabekir Stadyumu,Serkan Çınar,Match Report,,19,T1
6.0,Sat,2018-09-22,13:30,Yeni Mal'spor,1–0,Rizespor,,Yeni Malatya Stadyumu,Mustafa Ogretmenoglu,Match Report,,19,T1
6.0,Sat,2018-09-22,16:00,Kayserispor,0–2,Konyaspor,,Kadir Has Şehir Stadı,Cüneyt Çakιr,Match Report,,19,T1
6.0,Sat,2018-09-22,19:00,Trabzonspor,1–2,Göztepe,,Şenol Güneş Stadyumu,Huseyin Ocak,Match Report,,19,T1
6.0,Sun,2018-09-23,16:00,Kasımpaşa,1–2,Alanyaspor,,Recep Tayyip Erdoğan Stadyumu,Özgür Yankaya,Match Report,,19,T1
6.0,Sun,2018-09-23,19:00,Antalyaspor,2–1,Sivasspor,,Antalya Atatürk Stadyumu,Serkan Tokat,Match Report,,19,T1
6.0,Sun,2018-09-23,19:00,Akhisarspor,3–0,Galatasaray,,Spor Toto Akhisar Stadyumu,Yaşar Kemal Uğurlu,Match Report,,19,T1
6.0,Mon,2018-09-24,21:00,Fenerbahçe,1–1,Beşiktaş,,Ülker Stadyumu Fenerbahçe Şükrü Saracoğl...,Fırat Aydınus,Match Report,,19,T1
,,,,,,,,,,,,19,T1
7.0,Fri,2018-09-28,20:00,Galatasaray,1–0,BB Erzurumspor,,Türk Telekom Arena,Alper Ulusoy,Match Report,,19,T1
7.0,Sat,2018-09-29,16:00,Trabzonspor,4–2,Kasımpaşa,,Şenol Güneş Stadyumu,Ali Palabıyık,Match Report,,19,T1
7.0,Sat,2018-09-29,16:00,Alanyaspor,2–1,Akhisarspor,,Bahçeşehir Okulları Stadyumu,Arda Kardeşler,Match Report,,19,T1
7.0,Sat,2018-09-29,19:00,Beşiktaş,2–0,Kayserispor,,Vodafone Arena,Yaşar Kemal Uğurlu,Match Report,,19,T1
7.0,Sun,2018-09-30,13:30,Sivasspor,2–0,Bursaspor,,Sivas Arena,Halis Özkahya,Match Report,,19,T1
7.0,Sun,2018-09-30,16:00,Göztepe,3–2,Konyaspor,,Bornova Doğanlar Stadı,Mete Kalkavan,Match Report,,19,T1
7.0,Sun,2018-09-30,19:00,Rizespor,3–0,Fenerbahçe,,Yeni Rize Şehir Stadı,Cüneyt Çakιr,Match Report,,19,T1
7.0,Mon,2018-10-01,20:00,Başakşehir,1–1,Yeni Mal'spor,,Başakşehir Fatih Terim Stadium,Fırat Aydınus,Match Report,,19,T1
7.0,Mon,2018-10-01,20:00,Ankaragücü,0–1,Antalyaspor,,Osmanlı Stadı,Tugay Kaan Numanoğlu,Match Report,,19,T1
,,,,,,,,,,,,19,T1
8.0,Fri,2018-10-05,20:00,Kasımpaşa,3–1,Göztepe,,Recep Tayyip Erdoğan Stadyumu,Halis Özkahya,Match Report,,19,T1
8.0,Sat,2018-10-06,13:30,Kayserispor,2–2,Rizespor,,Kadir Has Şehir Stadı,Fırat Aydınus,Match Report,,19,T1
8.0,Sat,2018-10-06,16:00,BB Erzurumspor,1–0,Alanyaspor,,Kazım Karabekir Stadyumu,Koray Gençerler,Match Report,,19,T1
8.0,Sat,2018-10-06,16:00,Bursaspor,1–0,Ankaragücü,,Timsah Arena,Özgür Yankaya,Match Report,,19,T1
8.0,Sat,2018-10-06,19:00,Antalyaspor,0–1,Galatasaray,,Antalya Atatürk Stadyumu,Cüneyt Çakιr,Match Report,,19,T1
8.0,Sun,2018-10-07,13:30,Yeni Mal'spor,4–4,Sivasspor,,Yeni Malatya Stadyumu,Bülent Yıldırım,Match Report,,19,T1
8.0,Sun,2018-10-07,18:00,Fenerbahçe,0–0,Başakşehir,,Ülker Stadyumu Fenerbahçe Şükrü Saracoğl...,Ali Palabıyık,Match Report,,19,T1
8.0,Sun,2018-10-07,19:00,Akhisarspor,1–3,Trabzonspor,,Spor Toto Akhisar Stadyumu,Halil Meler,Match Report,,19,T1
8.0,Sun,2018-10-07,20:30,Konyaspor,2–2,Beşiktaş,,Konya Büyükşehir Stadı,Umit Öztürk,Match Report,,19,T1
,,,,,,,,,,,,19,T1
9.0,Fri,2018-10-19,20:30,Galatasaray,1–1,Bursaspor,,Türk Telekom Arena,Ali Palabıyık,Match Report,,19,T1
9.0,Sat,2018-10-20,13:30,Kasımpaşa,5–0,Akhisarspor,1074.0,Recep Tayyip Erdoğan Stadyumu,Suat Arslanboga,Match Report,,19,T1
9.0,Sat,2018-10-20,16:00,Başakşehir,1–0,Kayserispor,,Başakşehir Fatih Terim Stadium,Hüseyin Göçek,Match Report,,19,T1
9.0,Sat,2018-10-20,19:00,Sivasspor,0–0,Fenerbahçe,,4 Eylül Stadi,Halis Özkahya,Match Report,,19,T1
9.0,Sun,2018-10-21,13:30,Rizespor,1–1,Konyaspor,,Yeni Rize Şehir Stadı,Volkan Bayarslan,Match Report,,19,T1
9.0,Sun,2018-10-21,16:00,Alanyaspor,0–1,Antalyaspor,,Bahçeşehir Okulları Stadyumu,Mete Kalkavan,Match Report,,19,T1
9.0,Sun,2018-10-21,16:00,Ankaragücü,1–0,Yeni Mal'spor,,Osmanlı Stadı,Alper Ulusoy,Match Report,,19,T1
9.0,Sun,2018-10-21,19:00,Göztepe,2–0,Beşiktaş,,Bornova Doğanlar Stadı,Fırat Aydınus,Match Report,,19,T1
9.0,Mon,2018-10-22,20:00,Trabzonspor,0–0,BB Erzurumspor,,Şenol Güneş Stadyumu,Bülent Yıldırım,Match Report,,19,T1
,,,,,,,,,,,,19,T1
10.0,Fri,2018-10-26,20:00,Bursaspor,2–0,Alanyaspor,,Timsah Arena,Halil Meler,Match Report,,19,T1
10.0,Sat,2018-10-27,13:30,BB Erzurumspor,1–1,Kasımpaşa,,Kazım Karabekir Stadyumu,Arda Kardeşler,Match Report,,19,T1
10.0,Sat,2018-10-27,16:00,Konyaspor,0–1,Başakşehir,,Konya Büyükşehir Stadı,Cüneyt Çakιr,Match Report,,19,T1
10.0,Sat,2018-10-27,19:00,Antalyaspor,1–1,Trabzonspor,,Antalya Atatürk Stadyumu,Yaşar Kemal Uğurlu,Match Report,,19,T1
10.0,Sun,2018-10-28,13:30,Kayserispor,2–0,Sivasspor,,Kadir Has Şehir Stadı,Alper Ulusoy,Match Report,,19,T1
10.0,Sun,2018-10-28,18:00,Yeni Mal'spor,2–0,Galatasaray,,Yeni Malatya Stadyumu,Halis Özkahya,Match Report,,19,T1
10.0,Sun,2018-10-28,20:30,Fenerbahçe,1–3,Ankaragücü,,Ülker Stadyumu Fenerbahçe Şükrü Saracoğl...,Hüseyin Göçek,Match Report,,19,T1
10.0,Mon,2018-10-29,19:00,Beşiktaş,4–1,Rizespor,,Vodafone Stadium,Bülent Yıldırım,Match Report,,19,T1
10.0,Mon,2018-10-29,20:00,Akhisarspor,1–0,Göztepe,,Spor Toto Akhisar Stadyumu,Mustafa Ogretmenoglu,Match Report,,19,T1
,,,,,,,,,,,,19,T1
11.0,Fri,2018-11-02,21:00,Galatasaray,2–2,Fenerbahçe,,Türk Telekom Arena,Fırat Aydınus,Match Report,,19,T1
11.0,Sat,2018-11-03,13:30,Kasımpaşa,1–2,Antalyaspor,,Recep Tayyip Erdoğan Stadyumu,Umit Öztürk,Match Report,,19,T1
11.0,Sat,2018-11-03,16:00,Akhisarspor,1–1,BB Erzurumspor,,Spor Toto Akhisar Stadyumu,Mete Kalkavan,Match Report,,19,T1
11.0,Sat,2018-11-03,19:00,Başakşehir,1–0,Beşiktaş,,Başakşehir Fatih Terim Stadium,Halis Özkahya,Match Report,,19,T1
11.0,Sun,2018-11-04,13:30,Ankaragücü,3–1,Kayserispor,,Osmanlı Stadı,Halil Meler,Match Report,,19,T1
11.0,Sun,2018-11-04,16:00,Alanyaspor,0–1,Yeni Mal'spor,,Bahçeşehir Okulları Stadyumu,Cüneyt Çakιr,Match Report,,19,T1
