Round,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
Regular season,1.0,Fri,2020-09-18,19:00,Famalicão,0.6,1–5,3.0,Benfica,,Estádio Municipal 22 de Junho,Luís Godinho,Match Report,,21,P1
Regular season,1.0,Fri,2020-09-18,21:15,Vitória,0.4,0–1,0.5,B-SAD,,Estádio Dom Afonso Henriques,Manuel Oliveira,Match Report,,21,P1
Regular season,1.0,Sat,2020-09-19,16:00,Nacional,1.3,3–3,0.3,Boavista,,Estádio da Madeira,António Nobre,Match Report,,21,P1
Regular season,1.0,Sat,2020-09-19,21:00,Porto,2.7,3–1,0.6,Braga,,Estádio Do Dragão,João Pinheiro,Match Report,,21,P1
Regular season,1.0,Sun,2020-09-20,15:00,Santa Clara,2.2,2–0,1.5,Marítimo,,Cidade do Futebol,Manuel Mota,Match Report,,21,P1
Regular season,1.0,Sun,2020-09-20,18:30,Moreirense,2.2,2–0,0.6,Farense,,P.D. Comendador Joaquim de Almeida Freit...,João Bento,Match Report,,21,P1
Regular season,1.0,Sun,2020-09-20,21:00,Tondela,0.6,1–1,1.0,Rio Ave,,Estádio João Cardoso,Rui Costa,Match Report,,21,P1
Regular season,1.0,Mon,2020-09-21,19:45,Portimonense,0.9,1–1,2.0,Paços,,Estádio do Portimonense SC,Iancu Vasilica,Match Report,,21,P1
,,,,,,,,,,,,,,,21,P1
Regular season,2.0,Fri,2020-09-25,20:30,Braga,2.0,0–1,0.7,Santa Clara,,Estádio Municipal de Braga,Rui Costa,Match Report,,21,P1
Regular season,2.0,Sat,2020-09-26,15:30,Marítimo,1.1,2–1,1.7,Tondela,,Estádio dos Barreiros,André Narciso,Match Report,,21,P1
Regular season,2.0,Sat,2020-09-26,18:30,Benfica,4.0,2–0,0.2,Moreirense,,Estádio do Sport Lisboa e Benfica,Nuno Almeida,Match Report,,21,P1
Regular season,2.0,Sat,2020-09-26,21:00,Boavista,1.2,0–5,2.3,Porto,,Estádio do Bessa Século XXI,Luís Godinho,Match Report,,21,P1
Regular season,2.0,Sun,2020-09-27,15:30,Farense,1.2,0–1,1.0,Nacional,,Estádio de São Lúis,Gustavo Correia,Match Report,,21,P1
Regular season,2.0,Sun,2020-09-27,16:00,Gil Vicente FC,1.1,1–0,1.4,Portimonense,,Estádio Cidade de Barcelos,António Nobre,Match Report,,21,P1
Regular season,2.0,Sun,2020-09-27,18:30,Paços,0.9,0–2,2.2,Sporting CP,,Estádio da Capital do Móvel,Fábio Veríssimo,Match Report,,21,P1
Regular season,2.0,Sun,2020-09-27,21:00,Rio Ave,0.2,0–0,0.7,Vitória,,Estádio do Rio Ave Futebol Clube,Tiago Martins,Match Report,,21,P1
Regular season,2.0,Mon,2020-09-28,19:45,B-SAD,0.5,1–2,0.7,Famalicão,,Estádio Nacional,Hélder Malheiro,Match Report,,21,P1
,,,,,,,,,,,,,,,21,P1
Regular season,3.0,Fri,2020-10-02,19:00,Moreirense,1.8,1–1,1.1,Boavista,,P.D. Comendador Joaquim de Almeida Freit...,Manuel Mota,Match Report,,21,P1
Regular season,3.0,Fri,2020-10-02,21:15,Vitória,1.1,1–0,1.0,Paços,,Estádio Dom Afonso Henriques,Hélder Malheiro,Match Report,,21,P1
Regular season,3.0,Sat,2020-10-03,16:00,Santa Clara,1.0,0–0,0.3,Gil Vicente FC,873.0,Cidade do Futebol,Iancu Vasilica,Match Report,,21,P1
Regular season,3.0,Sat,2020-10-03,18:30,Porto,2.5,2–3,1.2,Marítimo,,Estádio Do Dragão,Rui Costa,Match Report,,21,P1
Regular season,3.0,Sat,2020-10-03,21:00,Tondela,1.2,0–4,2.2,Braga,,Estádio João Cardoso,Nuno Almeida,Match Report,,21,P1
Regular season,3.0,Sun,2020-10-04,15:30,Nacional,1.6,0–0,0.7,B-SAD,,Estádio da Madeira,Vitor Ferreira Fernandes,Match Report,,21,P1
Regular season,3.0,Sun,2020-10-04,18:30,Famalicão,1.2,1–1,0.7,Rio Ave,,Estádio Municipal 22 de Junho,Artur Soares Dias,Match Report,,21,P1
Regular season,3.0,Sun,2020-10-04,18:30,Benfica,1.9,3–2,2.1,Farense,,Estádio do Sport Lisboa e Benfica,Tiago Martins,Match Report,,21,P1
Regular season,3.0,Sun,2020-10-04,21:00,Portimonense,0.9,0–2,1.8,Sporting CP,,Estádio do Portimonense SC,Manuel Oliveira,Match Report,,21,P1
,,,,,,,,,,,,,,,21,P1
Regular season,4.0,Sat,2020-10-17,15:30,Marítimo,1.5,1–2,1.4,Portimonense,,Estádio dos Barreiros,João Bento,Match Report,,21,P1
Regular season,4.0,Sat,2020-10-17,15:30,Gil Vicente FC,1.9,1–1,0.0,Tondela,,Estádio Cidade de Barcelos,Miguel Nogueira,Match Report,,21,P1
Regular season,4.0,Sat,2020-10-17,18:00,Braga,1.6,2–1,0.4,Nacional,,Estádio Municipal de Braga,Artur Soares Dias,Match Report,,21,P1
Regular season,4.0,Sat,2020-10-17,20:30,Sporting CP,1.7,2–2,1.7,Porto,,Estádio José Alvalade,Luís Godinho,Match Report,,21,P1
Regular season,4.0,Sun,2020-10-18,15:00,B-SAD,1.0,0–0,0.8,Moreirense,,Estádio Nacional,António Nobre,Match Report,,21,P1
Regular season,4.0,Sun,2020-10-18,15:00,Paços,1.2,2–1,1.7,Santa Clara,,Estádio da Capital do Móvel,Vitor Ferreira Fernandes,Match Report,,21,P1
Regular season,4.0,Sun,2020-10-18,17:30,Farense,2.2,3–3,1.7,Famalicão,,Estádio de São Lúis,André Narciso,Match Report,,21,P1
Regular season,4.0,Sun,2020-10-18,20:00,Rio Ave,0.2,0–3,1.8,Benfica,,Estádio do Rio Ave Futebol Clube,João Pinheiro,Match Report,,21,P1
Regular season,4.0,Mon,2020-10-19,20:15,Boavista,1.5,0–1,0.4,Vitória,,Estádio do Bessa Século XXI,Nuno Almeida,Match Report,,21,P1
,,,,,,,,,,,,,,,21,P1
Regular season,5.0,Fri,2020-10-23,20:30,Tondela,1.0,1–0,1.3,Portimonense,132.0,Estádio João Cardoso,Vitor Ferreira Fernandes,Match Report,,21,P1
Regular season,5.0,Sat,2020-10-24,15:30,Nacional,0.4,1–1,0.8,Paços,,Estádio da Madeira,Hugo Coelho,Match Report,,21,P1
Regular season,5.0,Sat,2020-10-24,17:00,Santa Clara,0.5,1–2,1.9,Sporting CP,,Estádio de São Miguel,Manuel Mota,Match Report,,21,P1
Regular season,5.0,Sat,2020-10-24,20:30,Porto,2.6,1–0,0.8,Gil Vicente FC,,Estádio Do Dragão,Hélder Malheiro,Match Report,,21,P1
Regular season,5.0,Sun,2020-10-25,15:00,Farense,0.7,0–1,0.7,Rio Ave,,Estádio de São Lúis,Manuel Oliveira,Match Report,,21,P1
Regular season,5.0,Sun,2020-10-25,15:00,Moreirense,2.8,2–1,0.9,Marítimo,,P.D. Comendador Joaquim de Almeida Freit...,Artur Soares Dias,Match Report,,21,P1
Regular season,5.0,Sun,2020-10-25,17:30,Famalicão,2.5,2–2,0.6,Boavista,,Estádio Municipal 22 de Junho,Tiago Martins,Match Report,,21,P1
Regular season,5.0,Sun,2020-10-25,20:00,Vitória,0.7,0–1,1.6,Braga,,Estádio Dom Afonso Henriques,Fábio Veríssimo,Match Report,,21,P1
Regular season,5.0,Mon,2020-10-26,20:15,Benfica,2.2,2–0,0.2,B-SAD,,Estádio do Sport Lisboa e Benfica,Rui Costa,Match Report,,21,P1
,,,,,,,,,,,,,,,21,P1
Regular season,1.0,Wed,2020-10-28,21:45,Sporting CP,1.7,3–1,0.2,Gil Vicente FC,,Estádio José Alvalade,André Narciso,Match Report,,21,P1
,,,,,,,,,,,,,,,21,P1
Regular season,6.0,Fri,2020-10-30,20:30,Paços,2.2,3–2,1.4,Porto,,Estádio da Capital do Móvel,Nuno Almeida,Match Report,,21,P1
Regular season,6.0,Sat,2020-10-31,15:30,B-SAD,1.0,1–1,2.3,Farense,,Estádio Nacional,Manuel Mota,Match Report,,21,P1
Regular season,6.0,Sat,2020-10-31,18:00,Rio Ave,1.7,2–0,0.3,Moreirense,,Estádio do Rio Ave Futebol Clube,Iancu Vasilica,Match Report,,21,P1
Regular season,6.0,Sat,2020-10-31,20:30,Marítimo,0.6,0–0,0.3,Nacional,,Estádio dos Barreiros,Vitor Ferreira Fernandes,Match Report,,21,P1
Regular season,6.0,Sun,2020-11-01,15:00,Portimonense,1.2,1–2,2.0,Santa Clara,,Estádio do Portimonense SC,Fábio Veríssimo,Match Report,,21,P1
Regular season,6.0,Sun,2020-11-01,17:30,Gil Vicente FC,1.8,1–2,1.3,Vitória,,Estádio Cidade de Barcelos,Gustavo Correia,Match Report,,21,P1
Regular season,6.0,Sun,2020-11-01,20:00,Sporting CP,4.1,4–0,0.1,Tondela,,Estádio José Alvalade,António Nobre,Match Report,,21,P1
Regular season,6.0,Mon,2020-11-02,18:45,Braga,1.5,1–0,0.3,Famalicão,,Estádio Municipal de Braga,Rui Costa,Match Report,,21,P1
Regular season,6.0,Mon,2020-11-02,21:00,Boavista,2.5,3–0,0.8,Benfica,,Estádio do Bessa Século XXI,Hugo Miguel,Match Report,,21,P1
,,,,,,,,,,,,,,,21,P1
Regular season,7.0,Fri,2020-11-06,20:30,B-SAD,0.5,0–0,0.6,Rio Ave,,Estádio Nacional,Fábio Veríssimo,Match Report,,21,P1
Regular season,7.0,Sat,2020-11-07,15:00,Tondela,1.4,2–0,2.0,Santa Clara,,Estádio João Cardoso,João Bento,Match Report,,21,P1
Regular season,7.0,Sat,2020-11-07,18:00,Famalicão,2.1,2–1,0.7,Marítimo,,Estádio Municipal 22 de Junho,Luís Godinho,Match Report,,21,P1
Regular season,7.0,Sat,2020-11-07,20:30,Vitória,0.9,0–4,2.2,Sporting CP,,Estádio Dom Afonso Henriques,Hugo Miguel,Match Report,,21,P1
