Round,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
Regular season,1.0,Fri,2017-08-18,20:30,Bayern Munich,2.6,3–1,1.6,Leverkusen,75000.0,Allianz Arena,Tobias Stieler,Match Report,,18,D1
Regular season,1.0,Sat,2017-08-19,15:30,Hertha BSC,0.5,2–0,1.0,Stuttgart,44751.0,Olympiastadion Berlin,Sascha Stegemann,Match Report,,18,D1
Regular season,1.0,Sat,2017-08-19,15:30,Mainz 05,0.7,0–1,0.7,Hannover 96,28279.0,Opel Arena,Felix Brych,Match Report,,18,D1
Regular season,1.0,Sat,2017-08-19,15:30,Wolfsburg,0.4,0–3,1.0,Dortmund,30000.0,Volkswagen Arena,Robert Hartmann,Match Report,,18,D1
Regular season,1.0,Sat,2017-08-19,15:30,Hoffenheim,1.0,1–0,0.9,Werder Bremen,30150.0,Dietmar-Hopp-Stadion,Guido Winkmann,Match Report,,18,D1
Regular season,1.0,Sat,2017-08-19,15:30,Hamburger SV,0.5,1–0,0.8,Augsburg,49449.0,Volksparkstadion,Daniel Siebert,Match Report,,18,D1
Regular season,1.0,Sat,2017-08-19,18:30,Schalke 04,1.8,2–0,1.0,RB Leipzig,61435.0,Veltins-Arena,Felix Zwayer,Match Report,,18,D1
Regular season,1.0,Sun,2017-08-20,15:30,Freiburg,0.4,0–0,1.3,Eint Frankfurt,24000.0,Schwarzwald-Stadion,Manuel Gräfe,Match Report,,18,D1
Regular season,1.0,Sun,2017-08-20,18:00,M'Gladbach,1.5,1–0,1.1,Köln,54018.0,Stadion im Borussia-Park,Deniz Aytekin,Match Report,,18,D1
,,,,,,,,,,,,,,,18,D1
Regular season,2.0,Fri,2017-08-25,20:30,Köln,2.1,1–3,1.5,Hamburger SV,50000.0,RheinEnergieSTADION,Felix Brych,Match Report,,18,D1
Regular season,2.0,Sat,2017-08-26,15:30,Eint Frankfurt,1.0,0–1,1.0,Wolfsburg,46000.0,Commerzbank-Arena,Benjamin Cortus,Match Report,,18,D1
Regular season,2.0,Sat,2017-08-26,15:30,Augsburg,2.7,2–2,1.3,M'Gladbach,29243.0,WWK Arena,Sascha Stegemann,Match Report,,18,D1
Regular season,2.0,Sat,2017-08-26,15:30,Stuttgart,1.9,1–0,0.9,Mainz 05,53100.0,Mercedes-Benz Arena,Benjamin Brand,Match Report,,18,D1
Regular season,2.0,Sat,2017-08-26,15:30,Leverkusen,2.2,2–2,0.9,Hoffenheim,27106.0,BayArena,Harm Osmers,Match Report,,18,D1
Regular season,2.0,Sat,2017-08-26,15:30,Werder Bremen,0.3,0–2,1.5,Bayern Munich,42100.0,Weserstadion,Bastian Dankert,Match Report,,18,D1
Regular season,2.0,Sat,2017-08-26,18:30,Dortmund,1.8,2–0,0.4,Hertha BSC,80860.0,Signal Iduna Park,Marco Fritz,Match Report,,18,D1
Regular season,2.0,Sun,2017-08-27,15:30,RB Leipzig,2.7,4–1,0.5,Freiburg,39265.0,Red Bull Arena,Christian Dingert,Match Report,,18,D1
Regular season,2.0,Sun,2017-08-27,18:00,Hannover 96,0.9,1–0,0.5,Schalke 04,49000.0,HDI-Arena,Patrick Ittrich,Match Report,,18,D1
,,,,,,,,,,,,,,,18,D1
Regular season,3.0,Fri,2017-09-08,20:30,Hamburger SV,1.2,0–2,1.8,RB Leipzig,50231.0,Volksparkstadion,Deniz Aytekin,Match Report,,18,D1
Regular season,3.0,Sat,2017-09-09,15:30,Wolfsburg,1.1,1–1,0.9,Hannover 96,27321.0,Volkswagen Arena,Felix Zwayer,Match Report,,18,D1
Regular season,3.0,Sat,2017-09-09,15:30,Mainz 05,1.2,3–1,0.8,Leverkusen,24876.0,Opel Arena,Markus Schmidt,Match Report,,18,D1
