Round,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
Regular season,1.0,Sat,2020-09-12,18:45,Heerenveen,1.8,2–0,0.5,Willem II,4000.0,Abe Lenstra Stadion,Richard Martens,Match Report,,21,N1
Regular season,1.0,Sat,2020-09-12,20:00,Zwolle,0.8,0–2,2.5,Feyenoord,2993.0,MAC³PARK Stadion,Bas Nijhuis,Match Report,,21,N1
Regular season,1.0,Sat,2020-09-12,21:00,Twente,2.1,2–0,0.1,Fortuna Sittard,8000.0,De Grolsch Veste,Allard Lindhout,Match Report,,21,N1
Regular season,1.0,Sun,2020-09-13,12:15,Emmen,1.6,3–5,3.7,VVV-Venlo,2400.0,De Oude Meerdijk,Siemen Mulder,Match Report,,21,N1
Regular season,1.0,Sun,2020-09-13,14:30,Heracles Almelo,3.1,2–0,0.3,ADO Den Haag,2700.0,Erve Asito,Sander Van der Eijk,Match Report,,21,N1
Regular season,1.0,Sun,2020-09-13,14:30,Sparta R'dam,0.6,0–1,0.9,Ajax,3934.0,Sparta-Stadion Het Kasteel,Jochem Kamphuis,Match Report,,21,N1
Regular season,1.0,Sun,2020-09-13,16:45,RKC Waalwijk,0.2,0–1,1.8,Vitesse,1967.0,Mandemakers Stadion,Edwin van de Graaf,Match Report,,21,N1
Regular season,1.0,Sun,2020-09-13,16:45,Groningen,1.1,1–3,2.5,PSV Eindhoven,6049.0,Hitachi Capital Mobility Stadion,Serdar Gözübüyük,Match Report,,21,N1
,,,,,,,,,,,,,,,21,N1
Regular season,2.0,Fri,2020-09-18,20:00,VVV-Venlo,1.7,1–1,2.5,Utrecht,1435.0,Seacon Stadion De Koel,Rob Dieperink,Match Report,,21,N1
Regular season,2.0,Sat,2020-09-19,16:30,AZ Alkmaar,0.7,1–1,1.0,Zwolle,5000.0,AFAS Stadion,Serdar Gözübüyük,Match Report,,21,N1
Regular season,2.0,Sat,2020-09-19,18:45,Vitesse,2.6,2–0,0.4,Sparta R'dam,4914.0,GelreDome,Björn Kuipers,Match Report,,21,N1
Regular season,2.0,Sat,2020-09-19,20:00,PSV Eindhoven,1.6,2–1,0.3,Emmen,8000.0,Philips Stadion,Martin van den Kerkhof,Match Report,,21,N1
Regular season,2.0,Sat,2020-09-19,21:00,Fortuna Sittard,1.6,1–3,2.5,Heerenveen,2500.0,Fortuna Sittard Stadion,Martin Perez,Match Report,,21,N1
Regular season,2.0,Sun,2020-09-20,12:15,ADO Den Haag,0.4,0–1,1.4,Groningen,3378.0,Cars Jeans Stadion,Danny Makkelie,Match Report,,21,N1
Regular season,2.0,Sun,2020-09-20,14:30,Feyenoord,3.3,1–1,0.5,Twente,13000.0,Stadion Feijenoord,Pol van Boekel,Match Report,,21,N1
Regular season,2.0,Sun,2020-09-20,14:30,Willem II,2.4,4–0,0.4,Heracles Almelo,3908.0,Koning Willem II Stadion,Jeroen Manschot,Match Report,,21,N1
Regular season,2.0,Sun,2020-09-20,16:45,Ajax,3.4,3–0,0.3,RKC Waalwijk,11948.0,Johan Cruyff ArenA,Bas Nijhuis,Match Report,,21,N1
,,,,,,,,,,,,,,,21,N1
Regular season,3.0,Fri,2020-09-25,20:00,Twente,1.3,3–1,1.2,Groningen,8000.0,De Grolsch Veste,Sander Van der Eijk,Match Report,,21,N1
Regular season,3.0,Sat,2020-09-26,16:30,Zwolle,2.3,4–0,0.9,Sparta R'dam,2933.0,MAC³PARK Stadion,Allard Lindhout,Match Report,,21,N1
Regular season,3.0,Sat,2020-09-26,18:45,Fortuna Sittard,1.3,3–3,2.0,AZ Alkmaar,3000.0,Fortuna Sittard Stadion,Björn Kuipers,Match Report,,21,N1
Regular season,3.0,Sat,2020-09-26,20:00,Heerenveen,1.7,1–0,0.5,VVV-Venlo,6500.0,Abe Lenstra Stadion,Kevin Blom,Match Report,,21,N1
Regular season,3.0,Sat,2020-09-26,21:00,Ajax,2.2,2–1,1.8,Vitesse,12176.0,Johan Cruyff ArenA,Pol van Boekel,Match Report,,21,N1
Regular season,3.0,Sun,2020-09-27,12:15,Feyenoord,2.8,4–2,1.8,ADO Den Haag,13000.0,Stadion Feijenoord,Dennis Higler,Match Report,,21,N1
Regular season,3.0,Sun,2020-09-27,14:30,Utrecht,2.4,3–1,0.6,RKC Waalwijk,4944.0,Stadion Galgenwaard,Siemen Mulder,Match Report,,21,N1
Regular season,3.0,Sun,2020-09-27,16:45,Emmen,1.3,1–1,1.4,Willem II,2312.0,De Oude Meerdijk,Edwin van de Graaf,Match Report,,21,N1
Regular season,3.0,Sun,2020-09-27,16:45,Heracles Almelo,1.4,1–1,1.5,PSV Eindhoven,3083.0,Erve Asito,Jochem Kamphuis,Match Report,,21,N1
,,,,,,,,,,,,,,,21,N1
Regular season,4.0,Fri,2020-10-02,20:00,Utrecht,3.4,1–1,0.7,Heerenveen,,Stadion Galgenwaard,Pol van Boekel,Match Report,,21,N1
