Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
Regular season,5.0,Sat,2017-09-16,19:45,Roda JC,1–3,Willem II,11668.0,Parkstad Limburg Stadion,Pol van Boekel,Match Report,,18,N1
Regular season,5.0,Sat,2017-09-16,19:45,NAC Breda,2–1,Groningen,18563.0,Rat Verlegh Stadion,Danny Makkelie,Match Report,,18,N1
Regular season,5.0,Sat,2017-09-16,20:45,Zwolle,2–1,Heracles Almelo,12500.0,MAC³PARK Stadion,Jeroen Manschot,Match Report,,18,N1
Regular season,5.0,Sun,2017-09-17,14:30,Twente,4–0,Utrecht,23800.0,De Grolsch Veste,Jochem Kamphuis,Match Report,,18,N1
Regular season,5.0,Sun,2017-09-17,14:30,ADO Den Haag,1–1,Ajax,12016.0,Cars Jeans Stadion,Bas Nijhuis,Match Report,,18,N1
Regular season,5.0,Sun,2017-09-17,16:45,Vitesse,1–1,VVV-Venlo,15000.0,GelreDome,Dennis Higler,Match Report,,18,N1
Regular season,5.0,Sun,2017-09-17,16:45,PSV Eindhoven,1–0,Feyenoord,35000.0,Philips Stadion,Björn Kuipers,Match Report,,18,N1
,,,,,,,,,,,,,18,N1
Regular season,6.0,Sat,2017-09-23,18:30,Willem II,1–2,Heerenveen,12000.0,Koning Willem II Stadion,Ed Janssen,Match Report,,18,N1
Regular season,6.0,Sat,2017-09-23,19:45,Feyenoord,0–2,NAC Breda,47500.0,Stadion Feijenoord,Jochem Kamphuis,Match Report,,18,N1
Regular season,6.0,Sat,2017-09-23,19:45,Heracles Almelo,2–1,Roda JC,9943.0,Polman Stadion,Björn Kuipers,Match Report,,18,N1
Regular season,6.0,Sat,2017-09-23,20:45,ADO Den Haag,1–0,Sparta R'dam,9641.0,Cars Jeans Stadion,Jeroen Manschot,Match Report,,18,N1
Regular season,6.0,Sun,2017-09-24,12:30,Utrecht,1–7,PSV Eindhoven,22006.0,Stadion Galgenwaard,Serdar Gözübüyük,Match Report,,18,N1
Regular season,6.0,Sun,2017-09-24,14:30,VVV-Venlo,1–1,Zwolle,6621.0,Seacon Stadion De Koel,Bas Nijhuis,Match Report,,18,N1
Regular season,6.0,Sun,2017-09-24,14:30,Ajax,1–2,Vitesse,51236.0,Johan Cruyff ArenA,Pol van Boekel,Match Report,,18,N1
Regular season,6.0,Sun,2017-09-24,14:30,Groningen,1–0,Twente,20110.0,Hitachi Capital Mobility Stadion,Martin van den Kerkhof,Match Report,,18,N1
Regular season,6.0,Sun,2017-09-24,16:45,AZ Alkmaar,0–2,Excelsior,12527.0,AFAS Stadion,Kevin Blom,Match Report,,18,N1
,,,,,,,,,,,,,18,N1
Regular season,7.0,Fri,2017-09-29,20:00,Twente,2–1,Heracles Almelo,27100.0,De Grolsch Veste,Dennis Higler,Match Report,,18,N1
Regular season,7.0,Sat,2017-09-30,18:30,NAC Breda,0–1,ADO Den Haag,18523.0,Rat Verlegh Stadion,Siemen Mulder,Match Report,,18,N1
Regular season,7.0,Sat,2017-09-30,19:45,PSV Eindhoven,4–0,Willem II,32500.0,Philips Stadion,Jeroen Manschot,Match Report,,18,N1
Regular season,7.0,Sat,2017-09-30,19:45,Zwolle,3–2,Groningen,13160.0,MAC³PARK Stadion,Pol van Boekel,Match Report,,18,N1
Regular season,7.0,Sat,2017-09-30,20:45,Excelsior,0–2,VVV-Venlo,4400.0,Van Donge & De Roo Stadion,Christiaan Bax,Match Report,,18,N1
Regular season,7.0,Sun,2017-10-01,12:30,AZ Alkmaar,0–4,Feyenoord,14000.0,AFAS Stadion,Bas Nijhuis,Match Report,,18,N1
Regular season,7.0,Sun,2017-10-01,14:30,Heerenveen,0–4,Ajax,25600.0,Abe Lenstra Stadion,Serdar Gözübüyük,Match Report,,18,N1
Regular season,7.0,Sun,2017-10-01,14:30,Vitesse,1–1,Utrecht,15432.0,GelreDome,Björn Kuipers,Match Report,,18,N1
Regular season,7.0,Sun,2017-10-01,16:45,Sparta R'dam,1–2,Roda JC,9834.0,Sparta-Stadion Het Kasteel,Danny Makkelie,Match Report,,18,N1
,,,,,,,,,,,,,18,N1
Regular season,8.0,Sat,2017-10-14,18:30,Ajax,4–0,Sparta R'dam,51567.0,Johan Cruyff ArenA,Kevin Blom,Match Report,,18,N1
Regular season,8.0,Sat,2017-10-14,18:30,Roda JC,1–0,NAC Breda,12230.0,Parkstad Limburg Stadion,Edwin van de Graaf,Match Report,,18,N1
Regular season,8.0,Sat,2017-10-14,20:45,Utrecht,3–1,Heerenveen,17771.0,Stadion Galgenwaard,Siemen Mulder,Match Report,,18,N1
Regular season,8.0,Sat,2017-10-14,20:45,Feyenoord,0–0,Zwolle,47500.0,Stadion Feijenoord,Dennis Higler,Match Report,,18,N1
Regular season,8.0,Sun,2017-10-15,12:30,Heracles Almelo,1–1,Vitesse,11164.0,Polman Stadion,Allard Lindhout,Match Report,,18,N1
Regular season,8.0,Sun,2017-10-15,14:30,Willem II,3–1,Twente,12000.0,Koning Willem II Stadion,Richard Martens,Match Report,,18,N1
Regular season,8.0,Sun,2017-10-15,14:30,VVV-Venlo,2–5,PSV Eindhoven,8000.0,Seacon Stadion De Koel,Danny Makkelie,Match Report,,18,N1
Regular season,8.0,Sun,2017-10-15,14:30,Groningen,1–1,AZ Alkmaar,17680.0,Hitachi Capital Mobility Stadion,Björn Kuipers,Match Report,,18,N1
Regular season,8.0,Sun,2017-10-15,16:45,ADO Den Haag,1–2,Excelsior,10805.0,Cars Jeans Stadion,Serdar Gözübüyük,Match Report,,18,N1
,,,,,,,,,,,,,18,N1
Regular season,9.0,Fri,2017-10-20,20:00,Groningen,0–1,Willem II,16394.0,Hitachi Capital Mobility Stadion,Allard Lindhout,Match Report,,18,N1
Regular season,9.0,Sat,2017-10-21,18:30,NAC Breda,0–2,Zwolle,18423.0,Rat Verlegh Stadion,Martin van den Kerkhof,Match Report,,18,N1
Regular season,9.0,Sat,2017-10-21,19:45,VVV-Venlo,0–2,ADO Den Haag,6532.0,Seacon Stadion De Koel,Jeroen Manschot,Match Report,,18,N1
Regular season,9.0,Sat,2017-10-21,19:45,Excelsior,1–1,Sparta R'dam,4400.0,Van Donge & De Roo Stadion,Siemen Mulder,Match Report,,18,N1
Regular season,9.0,Sat,2017-10-21,20:45,Twente,3–0,Roda JC,23600.0,De Grolsch Veste,Serdar Gözübüyük,Match Report,,18,N1
Regular season,9.0,Sun,2017-10-22,12:30,PSV Eindhoven,3–0,Heracles Almelo,32800.0,Philips Stadion,Ed Janssen,Match Report,,18,N1
Regular season,9.0,Sun,2017-10-22,14:30,Feyenoord,1–4,Ajax,47500.0,Stadion Feijenoord,Danny Makkelie,Match Report,,18,N1
Regular season,9.0,Sun,2017-10-22,14:30,AZ Alkmaar,3–0,Utrecht,14056.0,AFAS Stadion,Jochem Kamphuis,Match Report,,18,N1
Regular season,9.0,Sun,2017-10-22,16:45,Heerenveen,0–4,Vitesse,21034.0,Abe Lenstra Stadion,Christiaan Bax,Match Report,,18,N1
,,,,,,,,,,,,,18,N1
