Round,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
Regular season,4.0,Sun,2018-09-02,16:45,Feyenoord,2.4,4–2,1.5,NAC Breda,45000.0,Stadion Feijenoord,Bas Nijhuis,Match Report,,19,N1
,,,,,,,,,,,,,,,19,N1
Regular season,5.0,Sat,2018-09-15,18:30,De Graafschap,1.0,1–2,1.1,VVV-Venlo,11702.0,Stadion De Vijverberg,Richard Martens,Match Report,,19,N1
Regular season,5.0,Sat,2018-09-15,18:30,ADO Den Haag,0.2,0–7,4.9,PSV Eindhoven,14519.0,Cars Jeans Stadion,Bas Nijhuis,Match Report,,19,N1
Regular season,5.0,Sat,2018-09-15,20:45,Willem II,2.5,2–2,1.3,Excelsior,11894.0,Koning Willem II Stadion,Danny Makkelie,Match Report,,19,N1
Regular season,5.0,Sat,2018-09-15,20:45,Ajax,2.4,3–0,0.4,Groningen,52720.0,Johan Cruyff ArenA,Dennis Higler,Match Report,,19,N1
Regular season,5.0,Sun,2018-09-16,12:15,AZ Alkmaar,0.9,1–1,1.4,Feyenoord,14000.0,AFAS Stadion,Björn Kuipers,Match Report,,19,N1
Regular season,5.0,Sun,2018-09-16,14:30,Heerenveen,1.5,3–5,2.5,Heracles Almelo,16000.0,Abe Lenstra Stadion,Pol van Boekel,Match Report,,19,N1
Regular season,5.0,Sun,2018-09-16,14:30,NAC Breda,1.2,2–3,1.7,Fortuna Sittard,18000.0,Rat Verlegh Stadion,Serdar Gözübüyük,Match Report,,19,N1
Regular season,5.0,Sun,2018-09-16,14:30,Utrecht,1.5,1–2,0.5,Emmen,16720.0,Stadion Galgenwaard,Kevin Blom,Match Report,,19,N1
Regular season,5.0,Sun,2018-09-16,16:45,Zwolle,0.6,0–2,1.0,Vitesse,13325.0,MAC³PARK Stadion,Christiaan Bax,Match Report,,19,N1
,,,,,,,,,,,,,,,19,N1
Regular season,6.0,Fri,2018-09-21,20:00,Heracles Almelo,3.0,4–0,1.1,De Graafschap,10829.0,Polman Stadion,Erwin Blank,Match Report,,19,N1
Regular season,6.0,Sat,2018-09-22,18:30,Fortuna Sittard,1.7,4–4,1.1,Willem II,8537.0,Fortuna Sittard Stadion,Allard Lindhout,Match Report,,19,N1
Regular season,6.0,Sat,2018-09-22,19:45,Excelsior,0.8,3–3,0.7,Heerenveen,4008.0,Van Donge & De Roo Stadion,Edwin van de Graaf,Match Report,,19,N1
