Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
1.0,Sat,2019-08-24,18:00,Parma,0.3,0–1,1.4,Juventus,20073.0,Stadio Ennio Tardini,Fabio Maresca,Match Report,,20,I1
1.0,Sat,2019-08-24,20:45,Fiorentina,1.7,3–4,2.0,Napoli,33614.0,Stadio Artemio Franchi,Davide Massa,Match Report,,20,I1
1.0,Sun,2019-08-25,18:00,Udinese,0.8,1–0,0.7,Milan,24584.0,Dacia Arena,Fabrizio Pasqua,Match Report,,20,I1
1.0,Sun,2019-08-25,20:45,SPAL,1.6,2–3,1.8,Atalanta,11706.0,Stadio Paolo Mazza,Gianluca Manganiello,Match Report,,20,I1
1.0,Sun,2019-08-25,20:45,Roma,2.5,3–3,1.3,Genoa,38779.0,Stadio Olimpico,Giampaolo Calvarese,Match Report,,20,I1
1.0,Sun,2019-08-25,20:45,Torino,1.2,2–1,1.3,Sassuolo,16536.0,Stadio Olimpico di Torino,Maurizio Mariani,Match Report,,20,I1
1.0,Sun,2019-08-25,20:45,Hellas Verona,0.2,1–1,1.8,Bologna,16324.0,Stadio Marc'Antonio Bentegodi,Antonio Giua,Match Report,,20,I1
1.0,Sun,2019-08-25,20:45,Sampdoria,0.7,0–3,1.8,Lazio,19500.0,Stadio Comunale Luigi Ferraris,Gianluca Rocchi,Match Report,,20,I1
1.0,Sun,2019-08-25,20:45,Cagliari,1.2,0–1,1.3,Brescia,16099.0,Sardegna Arena,Eugenio Abbattista,Match Report,,20,I1
1.0,Mon,2019-08-26,20:45,Inter,1.7,4–0,0.6,Lecce,64188.0,Stadio Giuseppe Meazza,Federico La Penna,Match Report,,20,I1
,,,,,,,,,,,,,,20,I1
2.0,Fri,2019-08-30,20:45,Bologna,4.0,1–0,0.8,SPAL,25086.0,Stadio Renato Dall'Ara,Marco Di Bello,Match Report,,20,I1
2.0,Sat,2019-08-31,18:00,Milan,1.5,1–0,0.7,Brescia,56691.0,Stadio Giuseppe Meazza,Rosario Abisso,Match Report,,20,I1
2.0,Sat,2019-08-31,20:45,Juventus,1.8,4–3,1.4,Napoli,39203.0,Allianz Stadium,Daniele Orsato,Match Report,,20,I1
2.0,Sun,2019-09-01,18:00,Lazio,2.2,1–1,1.3,Roma,52000.0,Stadio Olimpico,Marco Guida,Match Report,,20,I1
2.0,Sun,2019-09-01,20:45,Sassuolo,2.2,4–1,1.3,Sampdoria,9608.0,Mapei Stadium - Città del Tricolore,Luca Pairetto,Match Report,,20,I1
2.0,Sun,2019-09-01,20:45,Udinese,1.4,1–3,1.3,Parma,20410.0,Dacia Arena,Marco Piccinini,Match Report,,20,I1
2.0,Sun,2019-09-01,20:45,Genoa,2.1,2–1,1.9,Fiorentina,20000.0,Stadio Comunale Luigi Ferraris,Piero Giacomelli,Match Report,,20,I1
2.0,Sun,2019-09-01,20:45,Cagliari,0.5,1–2,1.7,Inter,16412.0,Sardegna Arena,Fabio Maresca,Match Report,,20,I1
2.0,Sun,2019-09-01,20:45,Lecce,0.9,0–1,1.4,Hellas Verona,24418.0,Stadio Comunale Via Del Mare,Juan Sacchi,Match Report,,20,I1
2.0,Sun,2019-09-01,20:45,Atalanta,1.8,2–3,0.8,Torino,8182.0,Stadio Ennio Tardini,Daniele Doveri,Match Report,,20,I1
,,,,,,,,,,,,,,20,I1
3.0,Sat,2019-09-14,15:00,Fiorentina,1.8,0–0,0.4,Juventus,40000.0,Stadio Artemio Franchi,Massimiliano Irrati,Match Report,,20,I1
3.0,Sat,2019-09-14,18:00,Napoli,1.6,2–0,2.2,Sampdoria,40000.0,Stadio San Paolo,Federico La Penna,Match Report,,20,I1
3.0,Sat,2019-09-14,20:45,Inter,1.6,1–0,0.3,Udinese,57991.0,Stadio Giuseppe Meazza,Maurizio Mariani,Match Report,,20,I1
3.0,Sun,2019-09-15,12:30,Genoa,1.4,1–2,2.5,Atalanta,23395.0,Stadio Comunale Luigi Ferraris,Michael Fabbri,Match Report,,20,I1
3.0,Sun,2019-09-15,15:00,Brescia,1.3,3–4,3.0,Bologna,15000.0,Stadio Mario Rigamonti,Gianluca Rocchi,Match Report,,20,I1
3.0,Sun,2019-09-15,15:00,SPAL,1.3,2–1,1.4,Lazio,13650.0,Stadio Paolo Mazza,Giampaolo Calvarese,Match Report,,20,I1
3.0,Sun,2019-09-15,15:00,Parma,1.8,1–3,0.5,Cagliari,14068.0,Stadio Ennio Tardini,Fabrizio Pasqua,Match Report,,20,I1
3.0,Sun,2019-09-15,18:00,Roma,2.6,4–2,1.3,Sassuolo,34407.0,Stadio Olimpico,Daniele Chiffi,Match Report,,20,I1
3.0,Sun,2019-09-15,20:45,Hellas Verona,0.5,0–1,1.4,Milan,24363.0,Stadio Marc'Antonio Bentegodi,Gianluca Manganiello,Match Report,,20,I1
3.0,Mon,2019-09-16,20:45,Torino,2.0,1–2,1.1,Lecce,21620.0,Stadio Olimpico di Torino,Antonio Giua,Match Report,,20,I1
,,,,,,,,,,,,,,20,I1
4.0,Fri,2019-09-20,20:45,Cagliari,1.2,3–1,1.1,Genoa,14574.0,Sardegna Arena,Gianluca Manganiello,Match Report,,20,I1
4.0,Sat,2019-09-21,15:00,Udinese,0.6,0–1,0.8,Brescia,19611.0,Dacia Arena,Paolo Valeri,Match Report,,20,I1
4.0,Sat,2019-09-21,18:00,Juventus,1.9,2–1,1.6,Hellas Verona,39945.0,Allianz Stadium,Federico La Penna,Match Report,,20,I1
4.0,Sat,2019-09-21,20:45,Milan,1.0,0–2,2.1,Inter,70440.0,Stadio Giuseppe Meazza,Daniele Doveri,Match Report,,20,I1
4.0,Sun,2019-09-22,12:30,Sassuolo,1.6,3–0,1.1,SPAL,10937.0,Mapei Stadium - Città del Tricolore,Maurizio Mariani,Match Report,,20,I1
4.0,Sun,2019-09-22,15:00,Bologna,1.3,1–2,1.5,Roma,25513.0,Stadio Renato Dall'Ara,Luca Pairetto,Match Report,,20,I1
4.0,Sun,2019-09-22,15:00,Sampdoria,1.6,1–0,0.3,Torino,19041.0,Stadio Comunale Luigi Ferraris,Piero Giacomelli,Match Report,,20,I1
4.0,Sun,2019-09-22,15:00,Lecce,1.5,1–4,2.9,Napoli,21644.0,Stadio Comunale Via Del Mare,Marco Piccinini,Match Report,,20,I1
4.0,Sun,2019-09-22,18:00,Atalanta,1.6,2–2,1.0,Fiorentina,10314.0,Stadio Ennio Tardini,Daniele Orsato,Match Report,,20,I1
4.0,Sun,2019-09-22,20:45,Lazio,1.7,2–0,0.5,Parma,31404.0,Stadio Olimpico,Rosario Abisso,Match Report,,20,I1
,,,,,,,,,,,,,,20,I1
5.0,Tue,2019-09-24,19:00,Hellas Verona,1.0,0–0,0.6,Udinese,13740.0,Stadio Marc'Antonio Bentegodi,Daniele Chiffi,Match Report,,20,I1
5.0,Tue,2019-09-24,21:00,Brescia,0.7,1–2,1.7,Juventus,14000.0,Stadio Mario Rigamonti,Fabrizio Pasqua,Match Report,,20,I1
5.0,Wed,2019-09-25,19:00,Roma,1.8,0–2,1.8,Atalanta,31832.0,Stadio Olimpico,Massimiliano Irrati,Match Report,,20,I1
5.0,Wed,2019-09-25,21:00,Fiorentina,1.6,2–1,0.5,Sampdoria,33469.0,Stadio Artemio Franchi,Daniele Doveri,Match Report,,20,I1
5.0,Wed,2019-09-25,21:00,Napoli,2.0,0–1,0.5,Cagliari,25408.0,Stadio San Paolo,Marco Di Bello,Match Report,,20,I1
5.0,Wed,2019-09-25,21:00,Genoa,0.3,0–0,1.7,Bologna,20497.0,Stadio Comunale Luigi Ferraris,Davide Massa,Match Report,,20,I1
5.0,Wed,2019-09-25,21:00,Inter,1.5,1–0,1.2,Lazio,56175.0,Stadio Giuseppe Meazza,Fabio Maresca,Match Report,,20,I1
