Round,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
Regular season,1.0,Fri,2021-08-13,20:30,M'Gladbach,2.3,1–1,2.5,Bayern Munich,22925.0,Stadion im Borussia-Park,Marco Fritz,Match Report,,22,D1
Regular season,1.0,Sat,2021-08-14,15:30,Stuttgart,3.0,5–1,1.2,Greuther Fürth,18109.0,Mercedes-Benz Arena,Felix Zwayer,Match Report,,22,D1
Regular season,1.0,Sat,2021-08-14,15:30,Union Berlin,0.5,1–1,0.8,Leverkusen,11000.0,Stadion An der Alten Försterei,Tobias Reichel,Match Report,,22,D1
Regular season,1.0,Sat,2021-08-14,15:30,Wolfsburg,2.0,1–0,0.4,Bochum,8536.0,Volkswagen Arena,Frank Willenborg,Match Report,,22,D1
Regular season,1.0,Sat,2021-08-14,15:30,Arminia,0.4,0–0,1.6,Freiburg,13750.0,SchücoArena,Sven Jablonski,Match Report,,22,D1
Regular season,1.0,Sat,2021-08-14,15:30,Augsburg,0.6,0–4,3.8,Hoffenheim,9124.0,WWK Arena,Felix Brych,Match Report,,22,D1
Regular season,1.0,Sat,2021-08-14,18:30,Dortmund,2.7,5–2,1.3,Eint Frankfurt,25000.0,Signal Iduna Park,Tobias Stieler,Match Report,,22,D1
Regular season,1.0,Sun,2021-08-15,15:30,Mainz 05,1.2,1–0,1.1,RB Leipzig,10500.0,Mewa Arena,Daniel Siebert,Match Report,,22,D1
Regular season,1.0,Sun,2021-08-15,17:30,Köln,1.6,3–1,1.8,Hertha BSC,16500.0,RheinEnergieSTADION,Robert Hartmann,Match Report,,22,D1
,,,,,,,,,,,,,,,22,D1
Regular season,2.0,Fri,2021-08-20,20:30,RB Leipzig,3.6,4–0,1.1,Stuttgart,23100.0,Red Bull Arena,Florian Badstübner,Match Report,,22,D1
Regular season,2.0,Sat,2021-08-21,15:30,Hertha BSC,1.2,1–2,1.0,Wolfsburg,18241.0,Olympiastadion Berlin,Matthias Jöllenbeck,Match Report,,22,D1
Regular season,2.0,Sat,2021-08-21,15:30,Bochum,0.8,2–0,0.9,Mainz 05,12548.0,Vonovia Ruhrstadion,Patrick Ittrich,Match Report,,22,D1
Regular season,2.0,Sat,2021-08-21,15:30,Greuther Fürth,2.5,1–1,0.8,Arminia,5890.0,Sportpark Ronhof Thomas Sommer,Daniel Schlager,Match Report,,22,D1
Regular season,2.0,Sat,2021-08-21,15:30,Freiburg,1.3,2–1,1.6,Dortmund,10100.0,Schwarzwald-Stadion,Robert Schröder,Match Report,,22,D1
Regular season,2.0,Sat,2021-08-21,15:30,Eint Frankfurt,1.6,0–0,0.3,Augsburg,22000.0,Deutsche Bank Park,Harm Osmers,Match Report,,22,D1
Regular season,2.0,Sat,2021-08-21,18:30,Leverkusen,1.9,4–0,1.7,M'Gladbach,15105.0,BayArena,Deniz Aytekin,Match Report,,22,D1
Regular season,2.0,Sun,2021-08-22,15:30,Hoffenheim,1.0,2–2,1.8,Union Berlin,8014.0,PreZero Arena,Sascha Stegemann,Match Report,,22,D1
Regular season,2.0,Sun,2021-08-22,17:30,Bayern Munich,2.6,3–2,1.1,Köln,20000.0,Allianz Arena,Martin Petersen,Match Report,,22,D1
,,,,,,,,,,,,,,,22,D1
Regular season,3.0,Fri,2021-08-27,20:30,Dortmund,3.4,3–2,2.2,Hoffenheim,25000.0,Signal Iduna Park,Felix Zwayer,Match Report,,22,D1
Regular season,3.0,Sat,2021-08-28,15:30,Mainz 05,2.7,3–0,0.2,Greuther Fürth,11500.0,Mewa Arena,Tobias Reichel,Match Report,,22,D1
Regular season,3.0,Sat,2021-08-28,15:30,Stuttgart,1.8,2–3,1.3,Freiburg,25000.0,Mercedes-Benz Arena,Frank Willenborg,Match Report,,22,D1
Regular season,3.0,Sat,2021-08-28,15:30,Arminia,0.6,1–1,1.5,Eint Frankfurt,13750.0,SchücoArena,Bastian Dankert,Match Report,,22,D1
Regular season,3.0,Sat,2021-08-28,15:30,Augsburg,1.8,1–4,2.0,Leverkusen,10582.0,WWK Arena,Benjamin Brand,Match Report,,22,D1
Regular season,3.0,Sat,2021-08-28,15:30,Köln,3.2,2–1,0.6,Bochum,25000.0,RheinEnergieSTADION,Benjamin Cortus,Match Report,,22,D1
Regular season,3.0,Sat,2021-08-28,18:30,Bayern Munich,2.8,5–0,0.4,Hertha BSC,25000.0,Allianz Arena,Sven Jablonski,Match Report,,22,D1
Regular season,3.0,Sun,2021-08-29,15:30,Union Berlin,1.9,2–1,1.8,M'Gladbach,11006.0,Stadion An der Alten Försterei,Felix Brych,Match Report,,22,D1
Regular season,3.0,Sun,2021-08-29,17:30,Wolfsburg,0.8,1–0,1.1,RB Leipzig,12058.0,Volkswagen Arena,Tobias Stieler,Match Report,,22,D1
,,,,,,,,,,,,,,,22,D1
Regular season,4.0,Sat,2021-09-11,15:30,Freiburg,0.8,1–1,1.1,Köln,10000.0,Schwarzwald-Stadion,Harm Osmers,Match Report,,22,D1
Regular season,4.0,Sat,2021-09-11,15:30,Hoffenheim,0.7,0–2,0.9,Mainz 05,8427.0,PreZero Arena,Marco Fritz,Match Report,,22,D1
Regular season,4.0,Sat,2021-09-11,15:30,Union Berlin,1.0,0–0,1.0,Augsburg,10207.0,Stadion An der Alten Försterei,Martin Petersen,Match Report,,22,D1
Regular season,4.0,Sat,2021-09-11,15:30,Leverkusen,0.7,3–4,1.8,Dortmund,17605.0,BayArena,Daniel Siebert,Match Report,,22,D1
Regular season,4.0,Sat,2021-09-11,15:30,Greuther Fürth,0.3,0–2,1.4,Wolfsburg,9000.0,Sportpark Ronhof Thomas Sommer,Robert Hartmann,Match Report,,22,D1
Regular season,4.0,Sat,2021-09-11,18:30,RB Leipzig,0.5,1–4,3.9,Bayern Munich,34000.0,Red Bull Arena,Deniz Aytekin,Match Report,,22,D1
Regular season,4.0,Sun,2021-09-12,15:30,Eint Frankfurt,1.1,1–1,0.9,Stuttgart,25000.0,Deutsche Bank Park,Matthias Jöllenbeck,Match Report,,22,D1
Regular season,4.0,Sun,2021-09-12,17:30,Bochum,1.2,1–3,0.3,Hertha BSC,14000.0,Vonovia Ruhrstadion,Robert Schröder,Match Report,,22,D1
Regular season,4.0,Sun,2021-09-12,19:30,M'Gladbach,1.7,3–1,1.8,Arminia,24500.0,Stadion im Borussia-Park,Sascha Stegemann,Match Report,,22,D1
,,,,,,,,,,,,,,,22,D1
Regular season,5.0,Fri,2021-09-17,20:30,Hertha BSC,0.7,2–1,1.4,Greuther Fürth,21372.0,Olympiastadion Berlin,Tobias Stieler,Match Report,,22,D1
Regular season,5.0,Sat,2021-09-18,15:30,Augsburg,0.3,1–0,0.6,M'Gladbach,12500.0,WWK Arena,Florian Badstübner,Match Report,,22,D1
Regular season,5.0,Sat,2021-09-18,15:30,Arminia,1.1,0–0,1.1,Hoffenheim,13750.0,SchücoArena,Patrick Ittrich,Match Report,,22,D1
Regular season,5.0,Sat,2021-09-18,15:30,Bayern Munich,5.6,7–0,0.4,Bochum,25000.0,Allianz Arena,Tobias Welz,Match Report,,22,D1
Regular season,5.0,Sat,2021-09-18,15:30,Mainz 05,0.9,0–0,0.4,Freiburg,13500.0,Mewa Arena,Benjamin Brand,Match Report,,22,D1
Regular season,5.0,Sat,2021-09-18,18:30,Köln,1.7,1–1,2.7,RB Leipzig,25000.0,RheinEnergieSTADION,Felix Brych,Match Report,,22,D1
Regular season,5.0,Sun,2021-09-19,15:30,Stuttgart,1.6,1–3,1.4,Leverkusen,23450.0,Mercedes-Benz Arena,Benjamin Cortus,Match Report,,22,D1
Regular season,5.0,Sun,2021-09-19,17:30,Dortmund,0.9,4–2,1.6,Union Berlin,25000.0,Signal Iduna Park,Sven Jablonski,Match Report,,22,D1
Regular season,5.0,Sun,2021-09-19,19:30,Wolfsburg,1.2,1–1,0.3,Eint Frankfurt,9266.0,Volkswagen Arena,Felix Zwayer,Match Report,,22,D1
,,,,,,,,,,,,,,,22,D1
