Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
Regular season,1.0,Sat,2020-09-12,16:00,Ponferradina,1–2,Castellón,,Estadio El Toralín,David Gálvez,Match Report,,21,SP2
Regular season,1.0,Sat,2020-09-12,18:15,Sporting Gijón,1–0,UD Logroñés,,Estadio Municipal El Molinón,Aitor Gorostegui,Match Report,,21,SP2
Regular season,1.0,Sat,2020-09-12,18:15,Leganés,1–0,Las Palmas,,Estadio Municipal de Butarque,José López,Match Report,,21,SP2
Regular season,1.0,Sat,2020-09-12,21:00,Espanyol,3–0,Albacete,,RCDE Stadium,Saúl Ais,Match Report,,21,SP2
Regular season,1.0,Sun,2020-09-13,12:00,Oviedo,0–0,Cartagena,,Estadio Nuevo Carlos Tartiere,Javier Villanueva,Match Report,,21,SP2
Regular season,1.0,Sun,2020-09-13,16:00,Mallorca,0–1,Rayo Vallecano,,Iberostar Estadi,Luis Milla,Match Report,,21,SP2
Regular season,1.0,Sun,2020-09-13,17:15,CD Mirandés,0–0,Alcorcón,,Estadio Municipal de Anduva,Jon González,Match Report,,21,SP2
Regular season,1.0,Sun,2020-09-13,18:15,Fuenlabrada,2–0,Lugo,,Estadio Fernando Torres,Juan Pulido,Match Report,,21,SP2
Regular season,1.0,Sun,2020-09-13,20:00,Tenerife,2–0,Málaga,,Estadio Heliodoro Rodríguez Lopéz,Eduardo Prieto,Match Report,,21,SP2
,,,,,,,,,,,,,21,SP2
Regular season,2.0,Sat,2020-09-19,16:00,CD Mirandés,1–1,Oviedo,,Estadio Municipal de Anduva,Iñaki Bikandi,Match Report,,21,SP2
Regular season,2.0,Sat,2020-09-19,18:15,Alcorcón,2–0,Tenerife,,Estadio Santo Domingo,Oliver De La Fuente,Match Report,,21,SP2
Regular season,2.0,Sat,2020-09-19,18:15,Castellón,0–1,Málaga,,Nou Estadi Castalia,Rafael Sánchez,Match Report,,21,SP2
