Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
4.0,Sun,2017-09-17,20:45,Genoa,0.5,2–3,2.9,Lazio,19065.0,Stadio Comunale Luigi Ferraris,Daniele Orsato,Match Report,,18,I1
,,,,,,,,,,,,,,18,I1
5.0,Tue,2017-09-19,20:45,Bologna,0.8,1–1,1.2,Inter,26067.0,Stadio Renato Dall'Ara,Marco Di Bello,Match Report,,18,I1
5.0,Wed,2017-09-20,18:00,Benevento,0.8,0–4,2.0,Roma,14839.0,Stadio Ciro Vigorito,Michael Fabbri,Match Report,,18,I1
5.0,Wed,2017-09-20,20:45,Hellas Verona,0.8,0–0,1.5,Sampdoria,14690.0,Stadio Marc'Antonio Bentegodi,Gianluca Manganiello,Match Report,,18,I1
5.0,Wed,2017-09-20,20:45,Udinese,2.4,2–3,1.4,Torino,14793.0,Dacia Arena,Gianluca Rocchi,Match Report,,18,I1
5.0,Wed,2017-09-20,20:45,Lazio,0.2,1–4,2.5,Napoli,28000.0,Stadio Olimpico,Antonio Damato,Match Report,,18,I1
5.0,Wed,2017-09-20,20:45,Milan,2.2,2–0,0.3,SPAL,45343.0,Stadio Giuseppe Meazza,Rosario Abisso,Match Report,,18,I1
5.0,Wed,2017-09-20,20:45,Atalanta,2.8,5–1,0.4,Crotone,16378.0,Stadio Atleti Azzurri d'Italia,Marco Piccinini,Match Report,,18,I1
5.0,Wed,2017-09-20,20:45,Juventus,0.9,1–0,0.4,Fiorentina,35652.0,Allianz Stadium,Daniele Doveri,Match Report,,18,I1
5.0,Wed,2017-09-20,20:45,Cagliari,2.4,0–1,2.6,Sassuolo,13898.0,Stadio Sant'Elia,Claudio Gavillucci,Match Report,,18,I1
5.0,Wed,2017-09-20,20:45,Genoa,0.8,1–1,1.7,Chievo,18376.0,Stadio Comunale Luigi Ferraris,Paolo Mazzoleni,Match Report,,18,I1
,,,,,,,,,,,,,,18,I1
6.0,Sat,2017-09-23,15:00,Roma,2.9,3–1,1.4,Udinese,32457.0,Stadio Olimpico,Davide Massa,Match Report,,18,I1
6.0,Sat,2017-09-23,18:00,SPAL,0.3,2–3,1.7,Napoli,12650.0,Stadio Paolo Mazza,Maurizio Mariani,Match Report,,18,I1
6.0,Sat,2017-09-23,20:45,Juventus,2.2,4–0,0.2,Torino,40856.0,Allianz Stadium,Piero Giacomelli,Match Report,,18,I1
6.0,Sun,2017-09-24,12:30,Sampdoria,1.6,2–0,0.3,Milan,21896.0,Stadio Comunale Luigi Ferraris,Paolo Valeri,Match Report,,18,I1
6.0,Sun,2017-09-24,15:00,Cagliari,1.5,0–2,1.1,Chievo,14287.0,Stadio Sant'Elia,Gianluca Aureliano,Match Report,,18,I1
6.0,Sun,2017-09-24,15:00,Crotone,1.2,2–0,1.6,Benevento,8827.0,Stadio Ezio Scida,Daniele Orsato,Match Report,,18,I1
6.0,Sun,2017-09-24,15:00,Hellas Verona,0.6,0–3,2.0,Lazio,16316.0,Stadio Marc'Antonio Bentegodi,Massimiliano Irrati,Match Report,,18,I1
6.0,Sun,2017-09-24,15:00,Inter,0.7,1–0,0.7,Genoa,50037.0,Stadio Giuseppe Meazza,Marco Guida,Match Report,,18,I1
6.0,Sun,2017-09-24,18:00,Sassuolo,0.5,0–1,1.6,Bologna,10805.0,Stadio Città del Tricolore,Paolo Tagliavento,Match Report,,18,I1
6.0,Sun,2017-09-24,20:45,Fiorentina,0.4,1–1,3.0,Atalanta,21390.0,Stadio Artemio Franchi,Luca Pairetto,Match Report,,18,I1
,,,,,,,,,,,,,,18,I1
7.0,Sat,2017-09-30,18:00,Udinese,3.5,4–0,0.6,Sampdoria,17935.0,Dacia Arena,Michael Fabbri,Match Report,,18,I1
7.0,Sat,2017-09-30,20:45,Genoa,1.5,0–1,1.0,Bologna,19154.0,Stadio Comunale Luigi Ferraris,Gianluca Rocchi,Match Report,,18,I1
7.0,Sun,2017-10-01,12:30,Napoli,2.7,3–0,0.2,Cagliari,42813.0,Stadio San Paolo,Rosario Abisso,Match Report,,18,I1
7.0,Sun,2017-10-01,15:00,Chievo,1.1,2–1,1.4,Fiorentina,7300.0,Stadio Marc'Antonio Bentegodi,Piero Giacomelli,Match Report,,18,I1
7.0,Sun,2017-10-01,15:00,Benevento,1.5,1–2,1.8,Inter,16274.0,Stadio Ciro Vigorito,Daniele Doveri,Match Report,,18,I1
7.0,Sun,2017-10-01,15:00,SPAL,2.6,1–1,0.5,Crotone,11187.0,Stadio Paolo Mazza,Paolo Mazzoleni,Match Report,,18,I1
7.0,Sun,2017-10-01,15:00,Torino,1.5,2–2,2.7,Hellas Verona,16834.0,Stadio Olimpico di Torino,Claudio Gavillucci,Match Report,,18,I1
7.0,Sun,2017-10-01,15:00,Lazio,3.4,6–1,1.7,Sassuolo,25000.0,Stadio Olimpico,Fabio Maresca,Match Report,,18,I1
7.0,Sun,2017-10-01,18:00,Milan,0.8,0–2,1.2,Roma,61698.0,Stadio Giuseppe Meazza,Luca Banti,Match Report,,18,I1
7.0,Sun,2017-10-01,20:45,Atalanta,1.1,2–2,2.7,Juventus,19962.0,Stadio Atleti Azzurri d'Italia,Antonio Damato,Match Report,,18,I1
,,,,,,,,,,,,,,18,I1
8.0,Sat,2017-10-14,18:00,Juventus,2.3,1–2,1.6,Lazio,39145.0,Allianz Stadium,Paolo Mazzoleni,Match Report,,18,I1
8.0,Sat,2017-10-14,20:45,Roma,0.4,0–1,1.2,Napoli,37914.0,Stadio Olimpico,Gianluca Rocchi,Match Report,,18,I1
8.0,Sun,2017-10-15,12:30,Fiorentina,2.5,2–1,0.2,Udinese,25156.0,Stadio Artemio Franchi,Massimiliano Irrati,Match Report,,18,I1
8.0,Sun,2017-10-15,15:00,Sassuolo,1.8,0–0,0.3,Chievo,8712.0,Stadio Città del Tricolore,Gianluca Manganiello,Match Report,,18,I1
8.0,Sun,2017-10-15,15:00,Sampdoria,1.3,3–1,2.5,Atalanta,19672.0,Stadio Comunale Luigi Ferraris,Maurizio Mariani,Match Report,,18,I1
8.0,Sun,2017-10-15,15:00,Cagliari,1.4,2–3,2.5,Genoa,13981.0,Stadio Sant'Elia,Davide Massa,Match Report,,18,I1
8.0,Sun,2017-10-15,15:00,Bologna,1.8,2–1,0.5,SPAL,24074.0,Stadio Renato Dall'Ara,Marco Guida,Match Report,,18,I1
8.0,Sun,2017-10-15,15:00,Crotone,0.6,2–2,2.2,Torino,9563.0,Stadio Ezio Scida,Paolo Valeri,Match Report,,18,I1
8.0,Sun,2017-10-15,20:45,Inter,2.0,3–2,1.1,Milan,78328.0,Stadio Giuseppe Meazza,Paolo Tagliavento,Match Report,,18,I1
8.0,Mon,2017-10-16,20:45,Hellas Verona,1.0,1–0,0.3,Benevento,16282.0,Stadio Marc'Antonio Bentegodi,Marco Di Bello,Match Report,,18,I1
,,,,,,,,,,,,,,18,I1
