Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
5.0,Sat,2018-09-22,15:30,Santa Clara,1.3,1–3,1.8,Rio Ave,3199.0,Estádio de São Miguel,João Santos Capela,Match Report,,19,P1
5.0,Sat,2018-09-22,19:00,Marítimo,0.4,0–0,1.1,B-SAD,6137.0,Estádio dos Barreiros,Hugo Miguel,Match Report,,19,P1
5.0,Sat,2018-09-22,21:00,Vitória Setúbal,0.5,0–2,0.8,Porto,10628.0,Estádio do Bonfim,Manuel Oliveira,Match Report,,19,P1
5.0,Sun,2018-09-23,16:00,Feirense,0.2,0–0,1.1,Nacional,3178.0,Estádio Marcolino de Castro,Nuno Almeida,Match Report,,19,P1
5.0,Sun,2018-09-23,16:00,Tondela,1.4,2–0,1.0,Moreirense,1710.0,Estádio João Cardoso,Tiago Martins,Match Report,,19,P1
5.0,Sun,2018-09-23,18:30,Benfica,3.0,2–0,1.1,Aves,53606.0,Estádio do Sport Lisboa e Benfica,Rui Costa,Match Report,,19,P1
5.0,Sun,2018-09-23,20:30,Portimonense,1.0,3–2,0.4,Vitória,3129.0,Estádio do Portimonense SC,Luís Godinho,Match Report,,19,P1
5.0,Mon,2018-09-24,20:15,Braga,0.6,1–0,0.5,Sporting CP,16038.0,Estádio Municipal de Braga,Artur Soares Dias,Match Report,,19,P1
,,,,,,,,,,,,,,19,P1
6.0,Thu,2018-09-27,20:15,Chaves,1.4,2–2,2.0,Benfica,7783.0,Estádio Municipal Eng. Manuel Branco Tei...,João Santos Capela,Match Report,,19,P1
6.0,Fri,2018-09-28,20:30,Porto,3.1,1–0,0.3,Tondela,40011.0,Estádio Do Dragão,Luís Godinho,Match Report,,19,P1
6.0,Sat,2018-09-29,16:30,Moreirense,1.0,1–0,0.5,Feirense,1551.0,P.D. Comendador Joaquim de Almeida Freit...,Artur Soares Dias,Match Report,,19,P1
6.0,Sat,2018-09-29,19:00,Rio Ave,2.1,2–1,2.0,Boavista,3099.0,Estádio do Rio Ave Futebol Clube,Hugo Miguel,Match Report,,19,P1
6.0,Sat,2018-09-29,21:00,Sporting CP,1.7,2–0,0.2,Marítimo,35238.0,Estádio José Alvalade,Nuno Almeida,Match Report,,19,P1
6.0,Sun,2018-09-30,16:00,Nacional,1.1,0–3,1.1,Santa Clara,2427.0,Estádio da Madeira,Manuel Mota,Match Report,,19,P1
6.0,Sun,2018-09-30,18:30,Vitória,0.8,1–1,0.6,Vitória Setúbal,17920.0,Estádio Dom Afonso Henriques,António Nobre,Match Report,,19,P1
6.0,Sun,2018-09-30,20:30,B-SAD,1.3,0–3,3.7,Braga,2237.0,Estádio Nacional,Fábio Costa,Match Report,,19,P1
6.0,Mon,2018-10-01,20:15,Aves,1.4,3–0,1.4,Portimonense,1911.0,Estádio Clube Desportivo das Aves,João Pinto,Match Report,,19,P1
,,,,,,,,,,,,,,19,P1
7.0,Fri,2018-10-05,15:30,Tondela,1.8,1–1,1.1,Nacional,1549.0,Estádio João Cardoso,André Narciso,Match Report,,19,P1
7.0,Fri,2018-10-05,17:00,Santa Clara,1.2,1–0,0.3,Chaves,3431.0,Estádio de São Miguel,Cláudio Ruivo Pereira,Match Report,,19,P1
7.0,Fri,2018-10-05,20:30,Feirense,0.9,0–0,0.4,B-SAD,3469.0,Estádio Marcolino de Castro,João Pinheiro,Match Report,,19,P1
7.0,Sat,2018-10-06,15:30,Vitória Setúbal,2.6,3–0,0.5,Moreirense,2914.0,Estádio do Bonfim,Luís Godinho,Match Report,,19,P1
7.0,Sat,2018-10-06,18:00,Marítimo,1.4,1–3,2.0,Vitória,5674.0,Estádio dos Barreiros,Manuel Oliveira,Match Report,,19,P1
7.0,Sat,2018-10-06,20:30,Braga,1.2,1–1,0.7,Rio Ave,12645.0,Estádio Municipal de Braga,Tiago Martins,Match Report,,19,P1
7.0,Sun,2018-10-07,15:00,Boavista,1.5,1–0,1.1,Aves,4331.0,Estádio do Bessa Século XXI,Vitor Ferreira Fernandes,Match Report,,19,P1
7.0,Sun,2018-10-07,17:30,Benfica,0.8,1–0,0.6,Porto,61567.0,Estádio do Sport Lisboa e Benfica,Fábio Costa,Match Report,,19,P1
7.0,Sun,2018-10-07,20:00,Portimonense,1.7,4–2,2.4,Sporting CP,5685.0,Estádio do Portimonense SC,Hugo Miguel,Match Report,,19,P1
,,,,,,,,,,,,,,19,P1
8.0,Fri,2018-10-26,19:00,Nacional,0.4,0–1,0.7,Portimonense,1458.0,Estádio da Madeira,Manuel Oliveira,Match Report,,19,P1
8.0,Fri,2018-10-26,21:15,Vitória,0.8,1–1,1.1,Braga,26170.0,Estádio Dom Afonso Henriques,Hugo Miguel,Match Report,,19,P1
8.0,Sat,2018-10-27,15:30,Aves,1.2,1–2,0.9,Santa Clara,1806.0,Estádio Clube Desportivo das Aves,Fábio Costa,Match Report,,19,P1
8.0,Sat,2018-10-27,18:00,Rio Ave,0.9,1–0,0.8,Chaves,2894.0,Estádio do Rio Ave Futebol Clube,Hélder Malheiro,Match Report,,19,P1
8.0,Sat,2018-10-27,20:30,B-SAD,1.8,2–0,3.3,Benfica,10635.0,Estádio Nacional,Artur Soares Dias,Match Report,,19,P1
8.0,Sun,2018-10-28,15:00,Moreirense,1.5,1–0,1.7,Marítimo,1627.0,P.D. Comendador Joaquim de Almeida Freit...,João Santos Capela,Match Report,,19,P1
8.0,Sun,2018-10-28,15:00,Tondela,0.6,1–2,0.5,Vitória Setúbal,1393.0,Estádio João Cardoso,João Pinto,Match Report,,19,P1
8.0,Sun,2018-10-28,17:30,Porto,3.0,2–0,0.3,Feirense,46028.0,Estádio Do Dragão,Rui Oliveira,Match Report,,19,P1
8.0,Sun,2018-10-28,20:00,Sporting CP,2.7,3–0,0.6,Boavista,27784.0,Estádio José Alvalade,Carlos Xistra,Match Report,,19,P1
,,,,,,,,,,,,,,19,P1
9.0,Fri,2018-11-02,20:30,Benfica,2.1,1–3,1.1,Moreirense,47216.0,Estádio do Sport Lisboa e Benfica,Nuno Almeida,Match Report,,19,P1
9.0,Sat,2018-11-03,15:30,Portimonense,1.3,1–1,1.4,B-SAD,2921.0,Estádio do Portimonense SC,João Santos Capela,Match Report,,19,P1
9.0,Sat,2018-11-03,18:00,Marítimo,0.3,0–2,2.3,Porto,9620.0,Estádio dos Barreiros,Carlos Xistra,Match Report,,19,P1
9.0,Sat,2018-11-03,20:30,Boavista,0.3,0–0,1.5,Vitória,5739.0,Estádio do Bessa Século XXI,Tiago Martins,Match Report,,19,P1
9.0,Sun,2018-11-04,15:00,Feirense,1.3,2–4,3.6,Tondela,2136.0,Estádio Marcolino de Castro,Hugo Miguel,Match Report,,19,P1
9.0,Sun,2018-11-04,16:30,Santa Clara,0.8,1–2,1.9,Sporting CP,9968.0,Estádio de São Miguel,Manuel Mota,Match Report,,19,P1
9.0,Sun,2018-11-04,20:00,Braga,1.3,2–1,0.9,Vitória Setúbal,7254.0,Estádio Municipal de Braga,Hélder Malheiro,Match Report,,19,P1
9.0,Mon,2018-11-05,19:00,Rio Ave,2.7,3–3,2.7,Nacional,2232.0,Estádio do Rio Ave Futebol Clube,João Pinto,Match Report,,19,P1
9.0,Mon,2018-11-05,21:15,Chaves,1.2,1–2,1.0,Aves,2720.0,Estádio Municipal Eng. Manuel Branco Tei...,Rui Costa,Match Report,,19,P1
,,,,,,,,,,,,,,19,P1
10.0,Fri,2018-11-09,19:00,Moreirense,1.1,2–0,0.7,Portimonense,1234.0,P.D. Comendador Joaquim de Almeida Freit...,Hugo Miguel,Match Report,,19,P1
10.0,Fri,2018-11-09,21:15,Vitória Setúbal,0.6,2–1,0.3,Feirense,2196.0,Estádio do Bonfim,Fábio Costa,Match Report,,19,P1
10.0,Sat,2018-11-10,15:30,Aves,3.4,2–1,1.0,Rio Ave,1419.0,Estádio Clube Desportivo das Aves,Luís Godinho,Match Report,,19,P1
10.0,Sat,2018-11-10,15:30,B-SAD,0.8,0–0,0.6,Boavista,1622.0,Estádio Nacional,André Narciso,Match Report,,19,P1
10.0,Sat,2018-11-10,18:00,Nacional,1.4,1–0,0.9,Marítimo,2981.0,Estádio da Madeira,Rui Costa,Match Report,,19,P1
10.0,Sat,2018-11-10,20:30,Porto,0.8,1–0,0.8,Braga,47929.0,Estádio Do Dragão,Artur Soares Dias,Match Report,,19,P1
10.0,Sun,2018-11-11,15:00,Vitória,2.4,2–0,0.3,Santa Clara,12484.0,Estádio Dom Afonso Henriques,Carlos Xistra,Match Report,,19,P1
10.0,Sun,2018-11-11,17:30,Tondela,1.1,1–3,2.8,Benfica,4755.0,Estádio João Cardoso,João Pinheiro,Match Report,,19,P1
10.0,Sun,2018-11-11,20:00,Sporting CP,1.8,2–1,0.1,Chaves,20359.0,Estádio José Alvalade,Tiago Martins,Match Report,,19,P1
,,,,,,,,,,,,,,19,P1
11.0,Fri,2018-11-30,19:30,Santa Clara,1.3,2–3,2.2,B-SAD,2369.0,Estádio de São Miguel,António Nobre,Match Report,,19,P1
11.0,Sat,2018-12-01,15:30,Marítimo,0.4,0–1,0.9,Vitória Setúbal,4256.0,Estádio dos Barreiros,Artur Soares Dias,Match Report,,19,P1
11.0,Sat,2018-12-01,18:00,Benfica,2.8,4–0,0.1,Feirense,44547.0,Estádio do Sport Lisboa e Benfica,Rui Costa,Match Report,,19,P1
11.0,Sat,2018-12-01,20:30,Braga,2.1,2–0,1.5,Moreirense,9807.0,Estádio Municipal de Braga,Manuel Oliveira,Match Report,,19,P1
11.0,Sun,2018-12-02,15:00,Portimonense,2.8,3–2,1.3,Tondela,2383.0,Estádio do Portimonense SC,Vitor Ferreira Fernandes,Match Report,,19,P1
11.0,Sun,2018-12-02,15:00,Aves,1.2,2–3,3.5,Nacional,1596.0,Estádio Clube Desportivo das Aves,João Pinheiro,Match Report,,19,P1
11.0,Sun,2018-12-02,17:30,Chaves,0.6,0–1,1.8,Vitória,5980.0,Estádio Municipal Eng. Manuel Branco Tei...,João Santos Capela,Match Report,,19,P1
11.0,Sun,2018-12-02,20:00,Boavista,0.6,0–1,3.8,Porto,13556.0,Estádio do Bessa Século XXI,Hugo Miguel,Match Report,,19,P1
11.0,Mon,2018-12-03,20:15,Rio Ave,1.9,1–3,1.3,Sporting CP,5957.0,Estádio do Rio Ave Futebol Clube,Carlos Xistra,Match Report,,19,P1
,,,,,,,,,,,,,,19,P1
12.0,Fri,2018-12-07,20:30,Porto,3.4,4–1,0.8,Portimonense,33511.0,Estádio Do Dragão,Manuel Mota,Match Report,,19,P1
12.0,Sat,2018-12-08,15:30,B-SAD,1.0,1–0,0.9,Chaves,1537.0,Estádio Nacional,Luís Godinho,Match Report,,19,P1
12.0,Sat,2018-12-08,18:00,Tondela,0.4,0–1,0.5,Braga,2265.0,Estádio João Cardoso,Rui Costa,Match Report,,19,P1
12.0,Sat,2018-12-08,20:30,Vitória Setúbal,1.0,0–1,1.1,Benfica,9300.0,Estádio do Bonfim,Carlos Xistra,Match Report,,19,P1
12.0,Sun,2018-12-09,15:00,Moreirense,0.8,0–1,1.1,Santa Clara,1384.0,P.D. Comendador Joaquim de Almeida Freit...,André Narciso,Match Report,,19,P1
12.0,Sun,2018-12-09,15:00,Nacional,1.9,0–0,0.2,Boavista,1758.0,Estádio da Madeira,Cláudio Ruivo Pereira,Match Report,,19,P1
