Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
1.0,Fri,2019-08-09,20:30,Portimonense,0.8,0–0,0.4,B-SAD,3486.0,Estádio do Portimonense SC,Manuel Mota,Match Report,,20,P1
1.0,Sat,2019-08-10,15:30,Santa Clara,2.3,0–2,1.5,Famalicão,1659.0,Estádio de São Miguel,Rui Oliveira,Match Report,,20,P1
1.0,Sat,2019-08-10,19:00,Gil Vicente FC,1.7,2–1,2.9,Porto,10962.0,Estádio Cidade de Barcelos,Nuno Almeida,Match Report,,20,P1
1.0,Sat,2019-08-10,21:30,Benfica,3.5,5–0,0.3,Paços,62956.0,Estádio do Sport Lisboa e Benfica,Manuel Oliveira,Match Report,,20,P1
1.0,Sun,2019-08-11,16:00,Boavista,1.0,2–1,0.6,Aves,6010.0,Estádio do Bessa Século XXI,Hélder Malheiro,Match Report,,20,P1
1.0,Sun,2019-08-11,18:30,Marítimo,1.2,1–1,0.7,Sporting CP,9673.0,Estádio dos Barreiros,Tiago Martins,Match Report,,20,P1
1.0,Sun,2019-08-11,21:00,Braga,1.6,3–1,0.8,Moreirense,13223.0,Estádio Municipal de Braga,Fábio Costa,Match Report,,20,P1
1.0,Mon,2019-08-12,20:15,Vitória Setúbal,0.7,0–0,1.3,Tondela,3795.0,Estádio do Bonfim,Vitor Ferreira Fernandes,Match Report,,20,P1
,,,,,,,,,,,,,,20,P1
2.0,Fri,2019-08-16,20:30,Famalicão,0.9,1–0,1.8,Rio Ave,4960.0,Estádio Municipal 22 de Junho,Rui Costa,Match Report,,20,P1
2.0,Sat,2019-08-17,16:30,Moreirense,2.0,3–0,0.8,Gil Vicente FC,1792.0,P.D. Comendador Joaquim de Almeida Freit...,Manuel Oliveira,Match Report,,20,P1
2.0,Sat,2019-08-17,19:00,B-SAD,1.0,0–2,1.8,Benfica,17821.0,Estádio Nacional,Fábio Costa,Match Report,,20,P1
2.0,Sat,2019-08-17,21:30,Porto,2.7,4–0,0.9,Vitória Setúbal,38820.0,Estádio Do Dragão,Manuel Mota,Match Report,,20,P1
2.0,Sun,2019-08-18,16:00,Paços,0.8,0–1,0.8,Santa Clara,3153.0,Estádio da Capital do Móvel,André Narciso,Match Report,,20,P1
2.0,Sun,2019-08-18,16:00,Aves,1.5,3–1,0.4,Marítimo,1511.0,Estádio Clube Desportivo das Aves,Jorge de Sousa,Match Report,,20,P1
2.0,Sun,2019-08-18,18:30,Vitória,1.2,1–1,0.3,Boavista,16765.0,Estádio Dom Afonso Henriques,Artur Soares Dias,Match Report,,20,P1
2.0,Sun,2019-08-18,21:00,Sporting CP,1.2,2–1,2.2,Braga,35692.0,Estádio José Alvalade,Luís Godinho,Match Report,,20,P1
2.0,Mon,2019-08-19,20:15,Tondela,0.4,1–2,1.5,Portimonense,2955.0,Estádio João Cardoso,Hugo Miguel,Match Report,,20,P1
,,,,,,,,,,,,,,20,P1
3.0,Fri,2019-08-23,19:00,Vitória Setúbal,1.0,0–0,0.3,Moreirense,3787.0,Estádio do Bonfim,Iancu Vasilica,Match Report,,20,P1
3.0,Fri,2019-08-23,21:15,Rio Ave,4.2,5–1,0.6,Aves,2485.0,Estádio do Rio Ave Futebol Clube,Fábio Costa,Match Report,,20,P1
3.0,Sat,2019-08-24,19:00,Benfica,0.3,0–2,1.9,Porto,62735.0,Estádio do Sport Lisboa e Benfica,Jorge de Sousa,Match Report,,20,P1
3.0,Sat,2019-08-24,21:30,Boavista,0.8,1–1,1.3,Paços,6391.0,Estádio do Bessa Século XXI,Manuel Mota,Match Report,,20,P1
3.0,Sun,2019-08-25,15:00,Santa Clara,0.9,0–0,0.3,B-SAD,3525.0,Estádio de São Miguel,João Pinheiro,Match Report,,20,P1
3.0,Sun,2019-08-25,16:00,Marítimo,2.0,2–3,2.9,Tondela,5568.0,Estádio dos Barreiros,André Narciso,Match Report,,20,P1
3.0,Sun,2019-08-25,18:30,Portimonense,1.6,1–3,2.6,Sporting CP,5634.0,Estádio do Portimonense SC,Carlos Xistra,Match Report,,20,P1
3.0,Sun,2019-08-25,20:30,Gil Vicente FC,1.4,1–1,0.6,Braga,6769.0,Estádio Cidade de Barcelos,Hugo Miguel,Match Report,,20,P1
3.0,Sun,2019-08-25,21:00,Vitória,1.5,1–1,1.2,Famalicão,16225.0,Estádio Dom Afonso Henriques,Manuel Oliveira,Match Report,,20,P1
,,,,,,,,,,,,,,20,P1
4.0,Fri,2019-08-30,19:00,Moreirense,0.7,1–0,0.7,Portimonense,1432.0,P.D. Comendador Joaquim de Almeida Freit...,Gustavo Correia,Match Report,,20,P1
4.0,Fri,2019-08-30,21:15,B-SAD,1.0,0–1,0.6,Boavista,1213.0,Estádio Nacional,Hugo Miguel,Match Report,,20,P1
4.0,Sat,2019-08-31,16:30,Paços,1.4,0–1,0.6,Marítimo,1714.0,Estádio da Capital do Móvel,Rui Oliveira,Match Report,,20,P1
4.0,Sat,2019-08-31,16:30,Aves,1.5,2–3,2.2,Famalicão,3573.0,Estádio Clube Desportivo das Aves,Luís Godinho,Match Report,,20,P1
4.0,Sat,2019-08-31,19:00,Sporting CP,1.2,2–3,2.5,Rio Ave,37942.0,Estádio José Alvalade,João Pinheiro,Match Report,,20,P1
4.0,Sat,2019-08-31,21:30,Gil Vicente FC,1.4,0–0,0.4,Vitória Setúbal,3200.0,Estádio Cidade de Barcelos,Hélder Malheiro,Match Report,,20,P1
4.0,Sun,2019-09-01,16:00,Tondela,3.0,0–0,1.3,Santa Clara,2122.0,Estádio João Cardoso,Manuel Mota,Match Report,,20,P1
4.0,Sun,2019-09-01,18:30,Porto,2.6,3–0,0.8,Vitória,47711.0,Estádio Do Dragão,Carlos Xistra,Match Report,,20,P1
4.0,Sun,2019-09-01,21:00,Braga,1.1,0–4,1.7,Benfica,15499.0,Estádio Municipal de Braga,Nuno Almeida,Match Report,,20,P1
,,,,,,,,,,,,,,20,P1
1.0,Sun,2019-09-08,15:00,Rio Ave,0.7,1–1,1.8,Vitória,2713.0,Estádio do Rio Ave Futebol Clube,Hugo Miguel,Match Report,,20,P1
,,,,,,,,,,,,,,20,P1
5.0,Fri,2019-09-13,20:30,Vitória Setúbal,1.4,1–0,1.2,Braga,3527.0,Estádio do Bonfim,Artur Soares Dias,Match Report,,20,P1
5.0,Sat,2019-09-14,16:30,Famalicão,1.5,4–2,2.1,Paços,4855.0,Estádio Municipal 22 de Junho,António Nobre,Match Report,,20,P1
5.0,Sat,2019-09-14,19:00,Benfica,1.7,2–0,0.8,Gil Vicente FC,54706.0,Estádio do Sport Lisboa e Benfica,João Pinheiro,Match Report,,20,P1
5.0,Sat,2019-09-14,21:30,Vitória,2.2,5–1,1.4,Aves,14529.0,Estádio Dom Afonso Henriques,Nuno Almeida,Match Report,,20,P1
5.0,Sun,2019-09-15,15:00,Santa Clara,2.0,2–0,0.6,Moreirense,2248.0,Estádio de São Miguel,Hélder Malheiro,Match Report,,20,P1
5.0,Sun,2019-09-15,16:00,Rio Ave,3.0,2–4,0.7,Tondela,2103.0,Estádio do Rio Ave Futebol Clube,Rui Oliveira,Match Report,,20,P1
5.0,Sun,2019-09-15,16:00,Marítimo,0.7,1–3,1.5,B-SAD,5551.0,Estádio dos Barreiros,João Bento,Match Report,,20,P1
