Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
1.0,Fri,2019-08-16,21:00,Athletic Club,0.5,1–0,0.9,Barcelona,47693.0,San Mamés,Carlos del Cerro,Match Report,,20,SP1
1.0,Sat,2019-08-17,17:00,Celta Vigo,1.6,1–3,2.1,Real Madrid,23566.0,Estadio de Balaídos,Daniel Ask,Match Report,,20,SP1
1.0,Sat,2019-08-17,19:00,Valencia,2.3,1–1,1.8,Real Sociedad,41846.0,Estadio de Mestalla,Jesús Gil,Match Report,,20,SP1
1.0,Sat,2019-08-17,20:00,Mallorca,1.6,2–1,0.7,Eibar,15127.0,Iberostar Estadi,Mario Melero,Match Report,,20,SP1
1.0,Sat,2019-08-17,21:00,Leganés,1.4,0–1,0.2,Osasuna,10020.0,Estadio Municipal de Butarque,Alberola Rojas,Match Report,,20,SP1
1.0,Sat,2019-08-17,21:00,Villarreal,1.9,4–4,1.9,Granada,14753.0,Estadio de la Cerámica,Adrián Cordero,Match Report,,20,SP1
1.0,Sun,2019-08-18,17:00,Alavés,0.5,1–0,1.1,Levante,12029.0,Estadio de Mendizorroza,César Soto,Match Report,,20,SP1
1.0,Sun,2019-08-18,19:00,Espanyol,0.2,0–2,1.6,Sevilla,19832.0,RCDE Stadium,Juan Martínez,Match Report,,20,SP1
1.0,Sun,2019-08-18,21:00,Betis,1.5,1–2,0.7,Valladolid,51497.0,Estadio Benito Villamarín,Santiago Jaime,Match Report,,20,SP1
1.0,Sun,2019-08-18,22:00,Atlético Madrid,2.2,1–0,0.3,Getafe,55099.0,Estadio Wanda Metropolitano,Guillermo Cuadra,Match Report,,20,SP1
,,,,,,,,,,,,,,20,SP1
2.0,Fri,2019-08-23,20:00,Granada,0.5,0–1,1.1,Sevilla,15849.0,Estadio Nuevo Los Cármenes,José Sánchez,Match Report,,20,SP1
2.0,Fri,2019-08-23,22:00,Levante,2.1,2–1,3.0,Villarreal,20240.0,Estadio Ciudad de Valencia,José Luis Munuera,Match Report,,20,SP1
2.0,Sat,2019-08-24,17:00,Osasuna,0.5,0–0,0.8,Eibar,13978.0,Estadio El Sadar,David Medié,Match Report,,20,SP1
2.0,Sat,2019-08-24,19:00,Real Madrid,1.7,1–1,1.2,Valladolid,63037.0,Estadio Santiago Bernabéu,Pablo González,Match Report,,20,SP1
2.0,Sat,2019-08-24,21:00,Getafe,0.3,1–1,0.5,Athletic Club,10103.0,Coliseum Alfonso Pérez,Antonio Matéu Lahoz,Match Report,,20,SP1
2.0,Sat,2019-08-24,21:00,Celta Vigo,1.9,1–0,1.0,Valencia,20034.0,Estadio de Balaídos,Alejandro Hernández,Match Report,,20,SP1
2.0,Sun,2019-08-25,17:00,Alavés,0.8,0–0,0.2,Espanyol,14567.0,Estadio de Mendizorroza,Eduardo Prieto,Match Report,,20,SP1
2.0,Sun,2019-08-25,17:00,Mallorca,1.0,0–1,1.6,Real Sociedad,18028.0,Iberostar Estadi,Valentín Pizarro,Match Report,,20,SP1
2.0,Sun,2019-08-25,19:00,Leganés,0.4,0–1,1.8,Atlético Madrid,11742.0,Estadio Municipal de Butarque,Ricardo de Burgos,Match Report,,20,SP1
2.0,Sun,2019-08-25,21:00,Barcelona,2.6,5–2,0.2,Betis,79159.0,Camp Nou,José González,Match Report,,20,SP1
,,,,,,,,,,,,,,20,SP1
3.0,Fri,2019-08-30,20:00,Sevilla,1.5,1–1,0.4,Celta Vigo,37787.0,Estadio Ramón Sánchez Pizjuán,Carlos del Cerro,Match Report,,20,SP1
3.0,Fri,2019-08-30,22:00,Athletic Club,1.0,2–0,0.2,Real Sociedad,46697.0,San Mamés,Daniel Ask,Match Report,,20,SP1
3.0,Sat,2019-08-31,17:00,Osasuna,1.8,2–2,0.4,Barcelona,16742.0,Estadio El Sadar,Juan Martínez,Match Report,,20,SP1
3.0,Sat,2019-08-31,19:00,Levante,2.7,2–0,1.1,Valladolid,19347.0,Estadio Ciudad de Valencia,Adrián Cordero,Match Report,,20,SP1
3.0,Sat,2019-08-31,19:00,Getafe,1.0,1–1,1.0,Alavés,10806.0,Coliseum Alfonso Pérez,Mario Melero,Match Report,,20,SP1
3.0,Sat,2019-08-31,21:00,Betis,2.1,2–1,1.4,Leganés,47819.0,Estadio Benito Villamarín,Guillermo Cuadra,Match Report,,20,SP1
3.0,Sun,2019-09-01,17:00,Valencia,2.3,2–0,1.2,Mallorca,40441.0,Estadio de Mestalla,Alberola Rojas,Match Report,,20,SP1
