Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
Regular season,1.0,Fri,2018-08-03,20:30,Hamburger SV,0–3,Holstein Kiel,57000.0,Volksparkstadion,Marco Fritz,Match Report,,19,D2
Regular season,1.0,Sat,2018-08-04,13:00,Bochum,0–2,Köln,26600.0,Vonovia Ruhrstadion,Felix Zwayer,Match Report,,19,D2
Regular season,1.0,Sat,2018-08-04,15:30,Greuther Fürth,3–1,Sandhausen,8450.0,Sportpark Ronhof Thomas Sommer,Tobias Stieler,Match Report,,19,D2
Regular season,1.0,Sat,2018-08-04,15:30,Jahn R'burg,2–1,Ingolstadt 04,13516.0,Continental Arena,Sören Storks,Match Report,,19,D2
Regular season,1.0,Sun,2018-08-05,13:30,Magdeburg,1–2,St. Pauli,24156.0,MDCC-Arena,Frank Willenborg,Match Report,,19,D2
Regular season,1.0,Sun,2018-08-05,15:30,Darmstadt 98,1–0,Paderborn 07,15400.0,Jonathan-Heimes-Stadion am Böllenfalltor,Bastian Dankert,Match Report,,19,D2
Regular season,1.0,Sun,2018-08-05,15:30,Union Berlin,1–0,Erzgebirge Aue,21752.0,Stadion An der Alten Försterei,Benjamin Cortus,Match Report,,19,D2
Regular season,1.0,Sun,2018-08-05,15:30,Heidenheim,1–1,Arminia,10500.0,Voith-Arena,Patrick Ittrich,Match Report,,19,D2
Regular season,1.0,Mon,2018-08-06,20:30,Dresden,1–0,MSV Duisburg,28733.0,DDV-Stadion,Daniel Siebert,Match Report,,19,D2
,,,,,,,,,,,,,19,D2
Regular season,2.0,Fri,2018-08-10,18:30,Ingolstadt 04,1–1,Greuther Fürth,9861.0,Audi-Sportpark,Markus Schmidt,Match Report,,19,D2
Regular season,2.0,Fri,2018-08-10,18:30,Paderborn 07,2–0,Jahn R'burg,9458.0,Benteler-Arena,Robert Kampka,Match Report,,19,D2
Regular season,2.0,Fri,2018-08-10,20:30,St. Pauli,2–0,Darmstadt 98,29140.0,Millerntor-Stadion,Guido Winkmann,Match Report,,19,D2
Regular season,2.0,Sat,2018-08-11,13:00,MSV Duisburg,0–2,Bochum,20541.0,Schauinsland-Reisen-Arena,Christian Dingert,Match Report,,19,D2
Regular season,2.0,Sat,2018-08-11,15:30,Arminia,2–1,Dresden,19409.0,SchücoArena,Sven Jablonski,Match Report,,19,D2
Regular season,2.0,Sun,2018-08-12,13:30,Sandhausen,0–3,Hamburger SV,14508.0,Hardtwaldstadion,Tobias Welz,Match Report,,19,D2
