Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
Regular season,1.0,Sat,2021-07-24,15:00,Bastia,1–1,Nîmes,8165.0,Stade Armand Césari,Jérôme Miguelgorry,Match Report,,22,F2
Regular season,1.0,Sat,2021-07-24,19:00,Dunkerque,1–1,Quevilly-Rouen,1500.0,Stade Marcel-Tribut,Olivier Thual,Match Report,,22,F2
Regular season,1.0,Sat,2021-07-24,19:00,Grenoble,0–4,Paris FC,536.0,Stade Jean Laville,Pierre Gaillouste,Match Report,,22,F2
Regular season,1.0,Sat,2021-07-24,19:00,Pau FC,2–1,Nancy,1803.0,Stade Nouste Camp,Marc Bollengier,Match Report,,22,F2
Regular season,1.0,Sat,2021-07-24,19:00,Amiens,1–2,Auxerre,5562.0,Stade Crédit Agricole la Licorne,Mathieu Vernice,Match Report,,22,F2
Regular season,1.0,Sat,2021-07-24,19:00,Valenciennes,0–0,Niort,3561.0,Stade du Hainaut,Arnaud Baert,Match Report,,22,F2
Regular season,1.0,Sat,2021-07-24,19:00,Le Havre,0–0,Guingamp,3661.0,Stade Océane,Remi Landry,Match Report,,22,F2
Regular season,1.0,Sat,2021-07-24,19:00,Toulouse,2–2,Ajaccio,4925.0,Stadium Municipal,Franck Schneider,Match Report,,22,F2
Regular season,1.0,Sat,2021-07-24,19:00,Caen,4–0,Rodez Aveyron,7292.0,Stade Michel d'Ornano,Guillaume Paradis,Match Report,,22,F2
Regular season,1.0,Mon,2021-07-26,20:45,Dijon,1–3,Sochaux,7641.0,Stade Gaston Gérard,Aurélien Petit,Match Report,,22,F2
,,,,,,,,,,,,,22,F2
Regular season,2.0,Sat,2021-07-31,15:00,Nîmes,2–1,Dijon,2375.0,Stade des Costières,Benjamin Lepaysant,Match Report,,22,F2
Regular season,2.0,Sat,2021-07-31,19:00,Sochaux,0–2,Le Havre,4204.0,Stade Gaston Gérard,Gaël Angoula,Match Report,,22,F2
Regular season,2.0,Sat,2021-07-31,19:00,Guingamp,1–1,Valenciennes,6291.0,Stade du Roudourou,Mathieu Vernice,Match Report,,22,F2
Regular season,2.0,Sat,2021-07-31,19:00,Ajaccio,3–1,Amiens,2491.0,Stade François Coty,Nicolas Rainville,Match Report,,22,F2
Regular season,2.0,Sat,2021-07-31,19:00,Rodez Aveyron,1–0,Pau FC,1346.0,Stade Paul Lignon,Remi Landry,Match Report,,22,F2
Regular season,2.0,Sat,2021-07-31,19:00,Nancy,0–4,Toulouse,5678.0,Stade Marcel Picot,Alexandre Perreau Niel,Match Report,,22,F2
Regular season,2.0,Sat,2021-07-31,19:00,Paris FC,2–1,Dunkerque,2148.0,Stade Sébastien Charléty,Guillaume Paradis,Match Report,,22,F2
Regular season,2.0,Sat,2021-07-31,19:00,Niort,0–1,Caen,1523.0,Stade René Gaillard,Abdelatif Kherradji,Match Report,,22,F2
Regular season,2.0,Mon,2021-08-02,20:45,Auxerre,3–0,Grenoble,4660.0,Stade de l'Abbé Deschamps,Romain Lissorgue,Match Report,,22,F2
,,,,,,,,,,,,,22,F2
Regular season,3.0,Sat,2021-08-07,15:00,Caen,1–2,Sochaux,9177.0,Stade Michel d'Ornano,Franck Schneider,Match Report,,22,F2
Regular season,3.0,Sat,2021-08-07,19:00,Auxerre,0–0,Ajaccio,4942.0,Stade de l'Abbé Deschamps,Olivier Thual,Match Report,,22,F2
Regular season,3.0,Sat,2021-08-07,19:00,Grenoble,0–0,Guingamp,309.0,Stade Jean Laville,Jérôme Miguelgorry,Match Report,,22,F2
Regular season,3.0,Sat,2021-08-07,19:00,Pau FC,0–1,Toulouse,3342.0,Stade Nouste Camp,Aurélien Petit,Match Report,,22,F2
Regular season,3.0,Sat,2021-08-07,19:00,Le Havre,1–2,Paris FC,4662.0,Stade Océane,Arnaud Baert,Match Report,,22,F2
Regular season,3.0,Sat,2021-08-07,19:00,Dijon,1–1,Rodez Aveyron,6004.0,Stade Gaston Gérard,Ruddy Buquet,Match Report,,22,F2
Regular season,3.0,Sat,2021-08-07,19:00,Amiens,1–3,Quevilly-Rouen,5584.0,Stade Crédit Agricole la Licorne,Marc Bollengier,Match Report,,22,F2
Regular season,3.0,Sat,2021-08-07,19:00,Dunkerque,1–2,Niort,1584.0,Stade Marcel-Tribut,Benjamin Lepaysant,Match Report,,22,F2
Regular season,3.0,Sat,2021-08-07,19:00,Valenciennes,0–3,Nîmes,4074.0,Stade du Hainaut,Bartolomeu Varela,Match Report,,22,F2
Regular season,3.0,Wed,2021-08-11,19:00,Bastia,1–1,Nancy,10025.0,Stade Armand Césari,Pierre Gaillouste,Match Report,,22,F2
,,,,,,,,,,,,,22,F2
Regular season,4.0,Sat,2021-08-14,15:00,Toulouse,1–0,Bastia,6249.0,Stadium Municipal,Antony Gautier,Match Report,,22,F2
Regular season,4.0,Sat,2021-08-14,19:00,Quevilly-Rouen,2–1,Dijon,816.0,Stade Michel d'Ornano,Gaël Angoula,Match Report,,22,F2
Regular season,4.0,Sat,2021-08-14,19:00,Guingamp,0–2,Amiens,6518.0,Stade du Roudourou,Alexandre Perreau Niel,Match Report,,22,F2
Regular season,4.0,Sat,2021-08-14,19:00,Niort,1–0,Grenoble,1329.0,Stade René Gaillard,Guillaume Paradis,Match Report,,22,F2
Regular season,4.0,Sat,2021-08-14,19:00,Nîmes,0–0,Pau FC,1849.0,Stade des Costières,Mathieu Vernice,Match Report,,22,F2
Regular season,4.0,Sat,2021-08-14,19:00,Sochaux,1–0,Dunkerque,6388.0,Stade Auguste-Bonal,Bartolomeu Varela,Match Report,,22,F2
Regular season,4.0,Sat,2021-08-14,19:00,Rodez Aveyron,0–0,Le Havre,1496.0,Stade Paul Lignon,Abdelatif Kherradji,Match Report,,22,F2
Regular season,4.0,Sat,2021-08-14,19:00,Nancy,0–1,Valenciennes,5725.0,Stade Marcel Picot,Pierre Legat,Match Report,,22,F2
Regular season,4.0,Mon,2021-08-16,20:45,Paris FC,1–1,Auxerre,3253.0,Stade Sébastien Charléty,Nicolas Rainville,Match Report,,22,F2
,,,,,,,,,,,,,22,F2
Regular season,2.0,Wed,2021-08-18,19:00,Quevilly-Rouen,1–2,Bastia,895.0,Stade Michel d'Ornano,Pierre Legat,Match Report,,22,F2
,,,,,,,,,,,,,22,F2
Regular season,5.0,Sat,2021-08-21,15:00,Dijon,2–4,Toulouse,6756.0,Stade Gaston Gérard,Nicolas Rainville,Match Report,,22,F2
Regular season,5.0,Sat,2021-08-21,19:00,Amiens,0–0,Sochaux,5982.0,Stade Moulonguet,Jérôme Miguelgorry,Match Report,,22,F2
Regular season,5.0,Sat,2021-08-21,19:00,Le Havre,2–1,Niort,4394.0,Stade Municipal Jules Deschaseaux,Marc Bollengier,Match Report,,22,F2
Regular season,5.0,Sat,2021-08-21,19:00,Pau FC,2–0,Bastia,2600.0,Stade Nouste Camp,Arnaud Baert,Match Report,,22,F2
Regular season,5.0,Sat,2021-08-21,19:00,Valenciennes,1–4,Rodez Aveyron,4366.0,Stade Nungesser,Benjamin Lepaysant,Match Report,,22,F2
Regular season,5.0,Sat,2021-08-21,19:00,Dunkerque,0–2,Nîmes,1498.0,Stade Marcel-Tribut,Alexandre Perreau Niel,Match Report,,22,F2
Regular season,5.0,Sat,2021-08-21,19:00,Caen,1–0,Nancy,8855.0,Stade Michel d'Ornano,Olivier Thual,Match Report,,22,F2
Regular season,5.0,Sat,2021-08-21,19:00,Grenoble,2–0,Quevilly-Rouen,3630.0,Stade Lesdiguières,Franck Schneider,Match Report,,22,F2
Regular season,5.0,Mon,2021-08-23,20:45,Auxerre,1–2,Guingamp,6516.0,Stade de l'Abbé Deschamps,Aurélien Petit,Match Report,,22,F2
,,,,,,,,,,,,,22,F2
Regular season,4.0,Wed,2021-08-25,19:00,Ajaccio,2–0,Caen,2830.0,Stade François Coty,Remi Landry,Match Report,,22,F2
,,,,,,,,,,,,,22,F2
Regular season,6.0,Sat,2021-08-28,15:00,Nîmes,0–0,Caen,3296.0,Stade des Costières,Florent Batta,Match Report,,22,F2
Regular season,6.0,Sat,2021-08-28,15:00,Toulouse,1–0,Valenciennes,7614.0,Stadium Municipal,Mathieu Vernice,Match Report,,22,F2
Regular season,6.0,Sat,2021-08-28,19:00,Sochaux,1–0,Grenoble,7367.0,Stade Auguste-Bonal,Olivier Thual,Match Report,,22,F2
Regular season,6.0,Sat,2021-08-28,19:00,Rodez Aveyron,2–2,Dunkerque,1393.0,Stade Paul Lignon,Pierre Legat,Match Report,,22,F2
Regular season,6.0,Sat,2021-08-28,19:00,Niort,0–0,Amiens,1598.0,Stade René Gaillard,Bartolomeu Varela,Match Report,,22,F2
Regular season,6.0,Sat,2021-08-28,19:00,Quevilly-Rouen,0–1,Paris FC,2789.0,Stade Robert Diochon,Remi Landry,Match Report,,22,F2
Regular season,6.0,Sat,2021-08-28,19:00,Nancy,1–4,Auxerre,5977.0,Stade Marcel Picot,Gaël Angoula,Match Report,,22,F2
Regular season,6.0,Sat,2021-08-28,19:00,Bastia,0–0,Le Havre,8742.0,Stade Armand Césari,Aurélien Petit,Match Report,,22,F2
Regular season,6.0,Sat,2021-08-28,19:00,Guingamp,1–1,Ajaccio,6200.0,Stade du Roudourou,Guillaume Paradis,Match Report,,22,F2
Regular season,6.0,Sat,2021-08-28,19:00,Pau FC,2–0,Dijon,2263.0,Stade Nouste Camp,Abdelatif Kherradji,Match Report,,22,F2
,,,,,,,,,,,,,22,F2
Regular season,7.0,Sat,2021-09-11,15:00,Paris FC,0–1,Guingamp,3298.0,Stade Sébastien Charléty,Marc Bollengier,Match Report,,22,F2
Regular season,7.0,Sat,2021-09-11,19:00,Dunkerque,0–0,Nancy,1950.0,Stade Marcel-Tribut,Benjamin Lepaysant,Match Report,,22,F2
Regular season,7.0,Sat,2021-09-11,19:00,Valenciennes,1–2,Quevilly-Rouen,5666.0,Stade du Hainaut,Arnaud Baert,Match Report,,22,F2
Regular season,7.0,Sat,2021-09-11,19:00,Caen,1–2,Pau FC,8867.0,Stade Michel d'Ornano,Alexandre Perreau Niel,Match Report,,22,F2
Regular season,7.0,Sat,2021-09-11,19:00,Auxerre,4–0,Niort,7802.0,Stade de l'Abbé Deschamps,Abdelatif Kherradji,Match Report,,22,F2
Regular season,7.0,Sat,2021-09-11,19:00,Grenoble,2–1,Nîmes,5274.0,Stade des Alpes,Bastien Dechepy,Match Report,,22,F2
Regular season,7.0,Sat,2021-09-11,19:00,Ajaccio,1–0,Sochaux,2474.0,Stade François Coty,Franck Schneider,Match Report,,22,F2
Regular season,7.0,Sat,2021-09-11,19:00,Dijon,2–1,Bastia,7249.0,Stade Gaston Gérard,Bartolomeu Varela,Match Report,,22,F2
Regular season,7.0,Sat,2021-09-11,19:00,Amiens,0–1,Rodez Aveyron,5853.0,Stade Crédit Agricole la Licorne,Nicolas Rainville,Match Report,,22,F2
Regular season,7.0,Mon,2021-09-13,20:45,Le Havre,1–1,Toulouse,5998.0,Stade Océane,Gaël Angoula,Match Report,,22,F2
,,,,,,,,,,,,,22,F2
Regular season,5.0,Tue,2021-09-14,19:00,Ajaccio,1–0,Paris FC,2573.0,Stade François Coty,Jeremy Stinat,Match Report,,22,F2
,,,,,,,,,,,,,22,F2
Regular season,8.0,Sat,2021-09-18,15:00,Sochaux,2–0,Paris FC,7948.0,Stade Auguste-Bonal,Jérémie Pignard,Match Report,,22,F2
Regular season,8.0,Sat,2021-09-18,15:00,Toulouse,4–1,Grenoble,8969.0,Stadium Municipal,Alexandre Perreau Niel,Match Report,,22,F2
Regular season,8.0,Sat,2021-09-18,19:00,Quevilly-Rouen,0–0,Auxerre,3549.0,Stade Robert Diochon,Olivier Thual,Match Report,,22,F2
Regular season,8.0,Sat,2021-09-18,19:00,Nancy,1–1,Le Havre,6649.0,Stade Marcel Picot,Franck Schneider,Match Report,,22,F2
Regular season,8.0,Sat,2021-09-18,19:00,Pau FC,1–1,Valenciennes,2735.0,Stade Nouste Camp,Pierre Legat,Match Report,,22,F2
Regular season,8.0,Sat,2021-09-18,19:00,Nîmes,3–3,Amiens,2497.0,Stade des Costières,Remi Landry,Match Report,,22,F2
Regular season,8.0,Sat,2021-09-18,19:00,Dijon,2–0,Dunkerque,7000.0,Stade Gaston Gérard,Aurélien Petit,Match Report,,22,F2
Regular season,8.0,Sat,2021-09-18,19:00,Rodez Aveyron,0–2,Ajaccio,1576.0,Stade Paul Lignon,Gaël Angoula,Match Report,,22,F2
Regular season,8.0,Sat,2021-09-18,19:00,Bastia,1–1,Caen,7682.0,Stade Armand Césari,Guillaume Paradis,Match Report,,22,F2
Regular season,8.0,Sat,2021-09-18,19:00,Niort,2–0,Guingamp,1846.0,Stade René Gaillard,Mathieu Vernice,Match Report,,22,F2
,,,,,,,,,,,,,22,F2
Regular season,9.0,Tue,2021-09-21,20:00,Valenciennes,2–1,Bastia,4638.0,Stade du Hainaut,Alexandre Perreau Niel,Match Report,,22,F2
Regular season,9.0,Tue,2021-09-21,20:00,Le Havre,1–0,Quevilly-Rouen,7650.0,Stade Océane,Mathieu Vernice,Match Report,,22,F2
Regular season,9.0,Tue,2021-09-21,20:00,Guingamp,1–2,Sochaux,7088.0,Stade du Roudourou,Nicolas Rainville,Match Report,,22,F2
Regular season,9.0,Tue,2021-09-21,20:00,Ajaccio,0–0,Niort,2622.0,Stade François Coty,Benjamin Lepaysant,Match Report,,22,F2
Regular season,9.0,Tue,2021-09-21,20:00,Auxerre,1–0,Rodez Aveyron,7445.0,Stade de l'Abbé Deschamps,Bartolomeu Varela,Match Report,,22,F2
Regular season,9.0,Tue,2021-09-21,20:00,Amiens,2–2,Pau FC,5715.0,Stade Crédit Agricole la Licorne,Marc Bollengier,Match Report,,22,F2
Regular season,9.0,Tue,2021-09-21,20:00,Grenoble,4–1,Nancy,3845.0,Stade des Alpes,Pierre Legat,Match Report,,22,F2
