Round,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
Regular season,1.0,Fri,2018-08-24,20:30,Bayern Munich,2.7,3–1,0.7,Hoffenheim,75000.0,Allianz Arena,Bastian Dankert,Match Report,,19,D1
Regular season,1.0,Sat,2018-08-25,15:30,Düsseldorf,0.9,1–2,1.0,Augsburg,40996.0,Merkur Spielarena,Markus Schmidt,Match Report,,19,D1
Regular season,1.0,Sat,2018-08-25,15:30,Hertha BSC,1.4,1–0,1.7,Nürnberg,52729.0,Olympiastadion Berlin,Tobias Welz,Match Report,,19,D1
Regular season,1.0,Sat,2018-08-25,15:30,Werder Bremen,2.1,1–1,1.2,Hannover 96,42100.0,Weserstadion,Felix Brych,Match Report,,19,D1
Regular season,1.0,Sat,2018-08-25,15:30,Wolfsburg,1.0,2–1,1.4,Schalke 04,26621.0,Volkswagen Arena,Patrick Ittrich,Match Report,,19,D1
Regular season,1.0,Sat,2018-08-25,15:30,Freiburg,1.7,0–2,0.8,Eint Frankfurt,24000.0,Schwarzwald-Stadion,Manuel Gräfe,Match Report,,19,D1
Regular season,1.0,Sat,2018-08-25,18:30,M'Gladbach,3.3,2–0,1.1,Leverkusen,53087.0,Stadion im Borussia-Park,Christian Dingert,Match Report,,19,D1
Regular season,1.0,Sun,2018-08-26,15:30,Mainz 05,1.2,1–0,0.9,Stuttgart,28705.0,Opel Arena,Daniel Siebert,Match Report,,19,D1
Regular season,1.0,Sun,2018-08-26,18:00,Dortmund,1.4,4–1,1.6,RB Leipzig,80365.0,Signal Iduna Park,Deniz Aytekin,Match Report,,19,D1
,,,,,,,,,,,,,,,19,D1
Regular season,2.0,Fri,2018-08-31,20:30,Hannover 96,0.5,0–0,0.8,Dortmund,49000.0,HDI-Arena,Felix Zwayer,Match Report,,19,D1
Regular season,2.0,Sat,2018-09-01,15:30,Augsburg,2.0,1–1,1.2,M'Gladbach,29580.0,WWK Arena,Frank Willenborg,Match Report,,19,D1
Regular season,2.0,Sat,2018-09-01,15:30,Nürnberg,1.5,1–1,0.5,Mainz 05,37781.0,Max-Morlock-Stadion,Guido Winkmann,Match Report,,19,D1
Regular season,2.0,Sat,2018-09-01,15:30,Hoffenheim,3.7,3–1,1.2,Freiburg,28619.0,PreZero Arena,Robert Hartmann,Match Report,,19,D1
Regular season,2.0,Sat,2018-09-01,15:30,Eint Frankfurt,1.3,1–2,1.3,Werder Bremen,50000.0,Commerzbank-Arena,Sören Storks,Match Report,,19,D1
Regular season,2.0,Sat,2018-09-01,15:30,Leverkusen,1.1,1–3,1.7,Wolfsburg,26247.0,BayArena,Sven Jablonski,Match Report,,19,D1
Regular season,2.0,Sat,2018-09-01,18:30,Stuttgart,0.2,0–3,1.4,Bayern Munich,58680.0,Mercedes-Benz Arena,Harm Osmers,Match Report,,19,D1
Regular season,2.0,Sun,2018-09-02,15:30,RB Leipzig,2.3,1–1,1.4,Düsseldorf,34975.0,Red Bull Arena,Marco Fritz,Match Report,,19,D1
Regular season,2.0,Sun,2018-09-02,18:00,Schalke 04,1.6,0–2,0.5,Hertha BSC,60181.0,Veltins-Arena,Sascha Stegemann,Match Report,,19,D1
,,,,,,,,,,,,,,,19,D1
Regular season,3.0,Fri,2018-09-14,20:30,Dortmund,1.6,3–1,0.3,Eint Frankfurt,81000.0,Signal Iduna Park,Benjamin Cortus,Match Report,,19,D1
Regular season,3.0,Sat,2018-09-15,15:30,Wolfsburg,2.4,2–2,0.7,Hertha BSC,25090.0,Volkswagen Arena,Christian Dingert,Match Report,,19,D1
Regular season,3.0,Sat,2018-09-15,15:30,RB Leipzig,2.2,3–2,1.3,Hannover 96,38937.0,Red Bull Arena,Robert Kampka,Match Report,,19,D1
Regular season,3.0,Sat,2018-09-15,15:30,Bayern Munich,1.4,3–1,0.8,Leverkusen,75000.0,Allianz Arena,Tobias Welz,Match Report,,19,D1
Regular season,3.0,Sat,2018-09-15,15:30,Düsseldorf,1.8,2–1,2.2,Hoffenheim,40111.0,Merkur Spielarena,Tobias Stieler,Match Report,,19,D1
Regular season,3.0,Sat,2018-09-15,15:30,Mainz 05,3.3,2–1,0.7,Augsburg,21105.0,Opel Arena,Martin Petersen,Match Report,,19,D1
Regular season,3.0,Sat,2018-09-15,18:30,M'Gladbach,1.1,2–1,1.1,Schalke 04,54022.0,Stadion im Borussia-Park,Manuel Gräfe,Match Report,,19,D1
Regular season,3.0,Sun,2018-09-16,15:30,Werder Bremen,0.7,1–1,0.6,Nürnberg,42100.0,Weserstadion,Daniel Schlager,Match Report,,19,D1
Regular season,3.0,Sun,2018-09-16,18:00,Freiburg,1.2,3–3,1.6,Stuttgart,24000.0,Schwarzwald-Stadion,Deniz Aytekin,Match Report,,19,D1
,,,,,,,,,,,,,,,19,D1
Regular season,4.0,Fri,2018-09-21,20:30,Stuttgart,1.4,0–0,1.1,Düsseldorf,54410.0,Mercedes-Benz Arena,Robert Hartmann,Match Report,,19,D1
Regular season,4.0,Sat,2018-09-22,15:30,Hertha BSC,3.9,4–2,2.7,M'Gladbach,51852.0,Olympiastadion Berlin,Markus Schmidt,Match Report,,19,D1
Regular season,4.0,Sat,2018-09-22,15:30,Wolfsburg,1.0,1–3,2.1,Freiburg,23011.0,Volkswagen Arena,Sascha Stegemann,Match Report,,19,D1
Regular season,4.0,Sat,2018-09-22,15:30,Nürnberg,1.7,2–0,0.7,Hannover 96,36736.0,Max-Morlock-Stadion,Bastian Dankert,Match Report,,19,D1
Regular season,4.0,Sat,2018-09-22,15:30,Hoffenheim,2.0,1–1,1.3,Dortmund,30150.0,PreZero Arena,Harm Osmers,Match Report,,19,D1
Regular season,4.0,Sat,2018-09-22,15:30,Augsburg,2.1,2–3,1.4,Werder Bremen,28434.0,WWK Arena,Felix Zwayer,Match Report,,19,D1
Regular season,4.0,Sat,2018-09-22,18:30,Schalke 04,0.5,0–2,2.4,Bayern Munich,62271.0,Veltins-Arena,Daniel Siebert,Match Report,,19,D1
Regular season,4.0,Sun,2018-09-23,15:30,Leverkusen,1.4,1–0,0.8,Mainz 05,27473.0,BayArena,Marco Fritz,Match Report,,19,D1
Regular season,4.0,Sun,2018-09-23,18:00,Eint Frankfurt,1.9,1–1,2.3,RB Leipzig,43800.0,Commerzbank-Arena,Felix Brych,Match Report,,19,D1
,,,,,,,,,,,,,,,19,D1
Regular season,5.0,Tue,2018-09-25,18:30,Werder Bremen,2.9,3–1,0.9,Hertha BSC,39100.0,Weserstadion,Guido Winkmann,Match Report,,19,D1
