Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
6.0,Sun,2019-09-01,14:30,Club Brugge,1–1,Genk,27774.0,Jan Breydelstadion,Erik Lambrechts,Match Report,,20,B1
6.0,Sun,2019-09-01,18:00,Anderlecht,1–0,Standard Liège,19500.0,Lotto Park,Nicolas Laforge,Match Report,,20,B1
6.0,Sun,2019-09-01,20:00,Zulte Waregem,2–0,Antwerp,7411.0,Regenboogstadion,Jan Boterberg,Match Report,,20,B1
6.0,Sun,2019-09-01,20:00,Gent,3–2,Cercle Brugge,17525.0,GHELAMCO-arena,Bram Van Driessche,Match Report,,20,B1
,,,,,,,,,,,,20,B1
7.0,Fri,2019-09-13,20:30,Charleroi,2–1,Genk,9508.0,Stade du Pays de Charleroi,Nathan Verboomen,Match Report,,20,B1
7.0,Sat,2019-09-14,18:00,Oostende,1–4,Standard Liège,5242.0,Versluys Arena,Lothar D'Hondt,Match Report,,20,B1
7.0,Sat,2019-09-14,20:00,Eupen,1–1,Zulte Waregem,2438.0,Stadion am Kehrweg,Alexandre Boucaut,Match Report,,20,B1
7.0,Sat,2019-09-14,20:00,Sint-Truiden,1–1,Waasland-Bev,5456.0,Stayen,Bert Put,Match Report,,20,B1
7.0,Sat,2019-09-14,20:30,Cercle Brugge,0–2,Club Brugge,12120.0,Jan Breydelstadion,Nicolas Laforge,Match Report,,20,B1
7.0,Sun,2019-09-15,14:30,Anderlecht,1–2,Antwerp,19263.0,Lotto Park,Lawrence Visser,Match Report,,20,B1
7.0,Sun,2019-09-15,18:00,Gent,3–0,Mechelen,16718.0,GHELAMCO-arena,Jonathan Lardot,Match Report,,20,B1
7.0,Sun,2019-09-15,20:30,Excel Mouscron,2–0,Kortrijk,3492.0,Stade Le Canonnier,Wesley Alen,Match Report,,20,B1
,,,,,,,,,,,,20,B1
8.0,Fri,2019-09-20,20:30,Kortrijk,2–3,Mechelen,6518.0,Guldensporenstadion,Erik Lambrechts,Match Report,,20,B1
8.0,Sat,2019-09-21,18:00,Charleroi,0–3,Sint-Truiden,7501.0,Stade du Pays de Charleroi,Frederik Geldhof,Match Report,,20,B1
8.0,Sat,2019-09-21,20:00,Antwerp,3–1,Cercle Brugge,11398.0,Bosuilstadion,Kevin Van Damme,Match Report,,20,B1
8.0,Sat,2019-09-21,20:00,Waasland-Bev,1–1,Excel Mouscron,3729.0,Freethiel-Stadion,Jasper Vergoote,Match Report,,20,B1
8.0,Sat,2019-09-21,20:30,Genk,3–1,Oostende,18114.0,Luminus Arena,Bram Van Driessche,Match Report,,20,B1
8.0,Sun,2019-09-22,14:30,Standard Liège,3–0,Eupen,25204.0,Stade Maurice Dufrasne,Wesley Alen,Match Report,,20,B1
8.0,Sun,2019-09-22,18:00,Club Brugge,2–1,Anderlecht,26500.0,Jan Breydelstadion,Alexandre Boucaut,Match Report,,20,B1
8.0,Sun,2019-09-22,20:00,Zulte Waregem,2–2,Gent,8237.0,Regenboogstadion,Wim Smet,Match Report,,20,B1
,,,,,,,,,,,,20,B1
9.0,Sat,2019-09-28,18:00,Mechelen,0–5,Club Brugge,16500.0,AFAS-stadion Achter de Kazerne,Nicolas Laforge,Match Report,,20,B1
9.0,Sat,2019-09-28,20:00,Cercle Brugge,1–2,Eupen,4215.0,Jan Breydelstadion,Wesli De Cremer,Match Report,,20,B1
9.0,Sat,2019-09-28,20:00,Excel Mouscron,2–2,Zulte Waregem,3622.0,Stade Le Canonnier,Christof Dierick,Match Report,,20,B1
9.0,Sat,2019-09-28,20:00,Gent,2–0,Kortrijk,18311.0,GHELAMCO-arena,Alexandre Boucaut,Match Report,,20,B1
9.0,Sat,2019-09-28,20:30,Sint-Truiden,3–3,Genk,8000.0,Stayen,Lawrence Visser,Match Report,,20,B1
9.0,Sun,2019-09-29,14:30,Anderlecht,0–0,Waasland-Bev,18751.0,Lotto Park,Jan Boterberg,Match Report,,20,B1
9.0,Sun,2019-09-29,18:00,Standard Liège,1–1,Charleroi,26932.0,Stade Maurice Dufrasne,Bram Van Driessche,Match Report,,20,B1
9.0,Sun,2019-09-29,20:00,Oostende,1–1,Antwerp,4721.0,Versluys Arena,Wim Smet,Match Report,,20,B1
,,,,,,,,,,,,20,B1
10.0,Fri,2019-10-04,20:30,Charleroi,1–2,Anderlecht,13332.0,Stade du Pays de Charleroi,Wesley Alen,Match Report,,20,B1
10.0,Sat,2019-10-05,18:00,Eupen,0–2,Mechelen,2693.0,Stadion am Kehrweg,Nathan Verboomen,Match Report,,20,B1
10.0,Sat,2019-10-05,20:00,Waasland-Bev,3–1,Oostende,3119.0,Freethiel-Stadion,Frederik Geldhof,Match Report,,20,B1
10.0,Sat,2019-10-05,20:00,Zulte Waregem,6–0,Cercle Brugge,7535.0,Regenboogstadion,Bert Put,Match Report,,20,B1
10.0,Sat,2019-10-05,20:30,Kortrijk,4–0,Sint-Truiden,5582.0,Guldensporenstadion,Lothar D'Hondt,Match Report,,20,B1
10.0,Sun,2019-10-06,14:30,Club Brugge,4–0,Gent,24382.0,Jan Breydelstadion,Jonathan Lardot,Match Report,,20,B1
10.0,Sun,2019-10-06,18:00,Antwerp,2–2,Standard Liège,12978.0,Bosuilstadion,Erik Lambrechts,Match Report,,20,B1
10.0,Sun,2019-10-06,20:00,Genk,2–1,Excel Mouscron,17834.0,Luminus Arena,Kevin Van Damme,Match Report,,20,B1
,,,,,,,,,,,,20,B1
11.0,Fri,2019-10-18,20:30,Excel Mouscron,0–1,Club Brugge,8500.0,Stade Le Canonnier,Lothar D'Hondt,Match Report,,20,B1
11.0,Sat,2019-10-19,18:00,Standard Liège,1–0,Genk,26876.0,Stade Maurice Dufrasne,Nicolas Laforge,Match Report,,20,B1
11.0,Sat,2019-10-19,20:00,Oostende,2–3,Eupen,3450.0,Versluys Arena,Christof Dierick,Match Report,,20,B1
11.0,Sat,2019-10-19,20:00,Kortrijk,2–0,Zulte Waregem,8784.0,Guldensporenstadion,Lawrence Visser,Match Report,,20,B1
11.0,Sat,2019-10-19,20:30,Gent,2–0,Waasland-Bev,19016.0,GHELAMCO-arena,Wim Smet,Match Report,,20,B1
11.0,Sun,2019-10-20,14:30,Mechelen,3–1,Antwerp,16500.0,AFAS-stadion Achter de Kazerne,Bram Van Driessche,Match Report,,20,B1
11.0,Sun,2019-10-20,18:00,Anderlecht,4–1,Sint-Truiden,19000.0,Lotto Park,Alexandre Boucaut,Match Report,,20,B1
11.0,Sun,2019-10-20,20:00,Cercle Brugge,0–3,Charleroi,2996.0,Jan Breydelstadion,Jasper Vergoote,Match Report,,20,B1
,,,,,,,,,,,,20,B1
12.0,Fri,2019-10-25,20:30,Eupen,0–0,Anderlecht,5082.0,Stadion am Kehrweg,Frederik Geldhof,Match Report,,20,B1
12.0,Sat,2019-10-26,18:00,Charleroi,1–0,Excel Mouscron,9026.0,Stade du Pays de Charleroi,Kevin Van Damme,Match Report,,20,B1
12.0,Sat,2019-10-26,20:00,Antwerp,3–1,Kortrijk,11426.0,Bosuilstadion,Alexandre Boucaut,Match Report,,20,B1
12.0,Sat,2019-10-26,20:00,Zulte Waregem,2–0,Oostende,7951.0,Regenboogstadion,Wesli De Cremer,Match Report,,20,B1
12.0,Sat,2019-10-26,20:30,Genk,1–0,Cercle Brugge,16745.0,Luminus Arena,Bert Put,Match Report,,20,B1
12.0,Sun,2019-10-27,14:30,Club Brugge,1–1,Standard Liège,25400.0,Jan Breydelstadion,Lawrence Visser,Match Report,,20,B1
12.0,Sun,2019-10-27,18:00,Sint-Truiden,0–0,Gent,6000.0,Stayen,Jan Boterberg,Match Report,,20,B1
12.0,Sun,2019-10-27,20:00,Waasland-Bev,1–3,Mechelen,4892.0,Freethiel-Stadion,Erik Lambrechts,Match Report,,20,B1
,,,,,,,,,,,,20,B1
13.0,Tue,2019-10-29,20:30,Oostende,0–1,Charleroi,3562.0,Versluys Arena,Lothar D'Hondt,Match Report,,20,B1
13.0,Tue,2019-10-29,20:30,Kortrijk,1–2,Eupen,4962.0,Guldensporenstadion,Jasper Vergoote,Match Report,,20,B1
13.0,Tue,2019-10-29,20:30,Cercle Brugge,2–2,Excel Mouscron,3000.0,Jan Breydelstadion,Christof Dierick,Match Report,,20,B1
13.0,Wed,2019-10-30,20:30,Genk,2–2,Antwerp,18974.0,Luminus Arena,Wesley Alen,Match Report,,20,B1
13.0,Wed,2019-10-30,20:30,Mechelen,1–2,Sint-Truiden,15627.0,AFAS-stadion Achter de Kazerne,Wim Smet,Match Report,,20,B1
13.0,Wed,2019-10-30,20:30,Zulte Waregem,0–2,Club Brugge,11000.0,Regenboogstadion,Erik Lambrechts,Match Report,,20,B1
13.0,Wed,2019-10-30,20:30,Standard Liège,2–0,Waasland-Bev,25536.0,Stade Maurice Dufrasne,Nathan Verboomen,Match Report,,20,B1
13.0,Thu,2019-10-31,20:30,Anderlecht,3–3,Gent,21500.0,Lotto Park,Bram Van Driessche,Match Report,,20,B1
,,,,,,,,,,,,20,B1
14.0,Sat,2019-11-02,18:00,Eupen,2–0,Genk,3407.0,Stadion am Kehrweg,Wesli De Cremer,Match Report,,20,B1
